146 10569
1 2 93226 
1 3 93294 
1 4 93294 
1 5 93294 
1 6 93294 
1 7 93294 
1 8 93294 
1 9 93294 
1 10 93294 
1 11 93294 
1 12 93294 
1 13 93294 
1 14 93294 
1 15 93294 
1 16 93294 
1 17 93294 
1 18 93226 
1 19 93226 
1 20 93226 
1 21 93226 
1 22 93226 
1 23 93226 
1 24 93226 
1 25 93226 
1 26 93226 
1 27 93226 
1 28 93226 
1 29 93226 
1 30 93226 
1 31 93226 
1 32 93226 
1 33 93294 
1 34 93294 
1 35 93294 
1 36 93294 
1 37 93294 
1 38 93294 
1 39 93294 
1 40 93294 
1 41 93294 
1 42 93294 
1 43 93294 
1 44 93294 
1 45 93294 
1 46 93294 
1 47 93294 
1 48 93294 
1 49 93294 
1 50 93294 
1 51 93294 
1 52 93294 
1 53 93294 
1 54 93294 
1 55 93294 
1 56 93294 
1 57 93294 
1 58 93294 
1 59 93294 
1 60 93294 
1 61 93294 
1 62 93294 
1 63 93294 
1 64 93294 
1 65 93294 
1 66 93294 
1 67 93294 
1 68 93294 
1 69 93294 
1 70 93294 
1 71 93294 
1 72 93294 
1 73 93294 
1 74 93294 
1 75 93294 
1 76 93294 
1 77 93294 
1 78 93294 
1 79 93294 
1 80 93294 
1 81 93294 
1 82 93294 
1 83 93294 
1 84 93294 
1 85 93294 
1 86 93294 
1 87 93294 
1 88 93294 
1 89 93294 
1 90 93294 
1 91 93294 
1 92 93294 
1 93 93294 
1 94 93294 
1 95 93294 
1 96 93294 
1 97 93294 
1 98 93294 
1 99 93294 
1 100 93294 
1 101 93294 
1 102 93294 
1 103 93294 
1 104 93294 
1 105 93294 
1 106 93294 
1 107 93294 
1 108 93294 
1 109 93294 
1 110 93294 
1 111 93294 
1 112 93294 
1 113 93294 
1 114 93294 
1 115 93294 
1 116 93294 
1 117 93294 
1 118 93294 
1 119 93294 
1 120 93294 
1 121 93294 
1 122 93294 
1 123 93294 
1 124 93294 
1 125 93294 
1 126 93294 
1 127 93294 
1 128 93294 
1 129 93294 
1 130 93294 
1 131 93294 
1 132 93294 
1 133 93294 
1 134 93294 
1 135 93294 
1 136 93294 
1 137 93294 
1 138 -46647 
1 139 -93294 
1 140 -186588 
1 141 -373176 
1 142 46647 
1 143 93294 
1 144 186588 
1 145 373176 
1 146 1212483 
2 3 93226 
2 4 93294 
2 5 93294 
2 6 93294 
2 7 93294 
2 8 93294 
2 9 93294 
2 10 93294 
2 11 93294 
2 12 93294 
2 13 93294 
2 14 93294 
2 15 93294 
2 16 93294 
2 17 93294 
2 18 93294 
2 19 93294 
2 20 93294 
2 21 93294 
2 22 93294 
2 23 93294 
2 24 93294 
2 25 93294 
2 26 93294 
2 27 93294 
2 28 93294 
2 29 93294 
2 30 93294 
2 31 93294 
2 32 93294 
2 33 93226 
2 34 93226 
2 35 93226 
2 36 93226 
2 37 93226 
2 38 93226 
2 39 93226 
2 40 93226 
2 41 93226 
2 42 93226 
2 43 93226 
2 44 93226 
2 45 93226 
2 46 93226 
2 47 93294 
2 48 93294 
2 49 93294 
2 50 93294 
2 51 93294 
