202 20276
1 2 215353 
1 3 215448 
1 4 215448 
1 5 215448 
1 6 215448 
1 7 215448 
1 8 215448 
1 9 215448 
1 10 215448 
1 11 215448 
1 12 215448 
1 13 215448 
1 14 215448 
1 15 215448 
1 16 215448 
1 17 215448 
1 18 215448 
1 19 215448 
1 20 215448 
1 21 215353 
1 22 215353 
1 23 215353 
1 24 215353 
1 25 215353 
1 26 215353 
1 27 215353 
1 28 215353 
1 29 215353 
1 30 215353 
1 31 215353 
1 32 215353 
1 33 215353 
1 34 215353 
1 35 215353 
1 36 215353 
1 37 215353 
1 38 215353 
1 39 215448 
1 40 215448 
1 41 215448 
1 42 215448 
1 43 215448 
1 44 215448 
1 45 215448 
1 46 215448 
1 47 215448 
1 48 215448 
1 49 215448 
1 50 215448 
1 51 215448 
1 52 215448 
1 53 215448 
1 54 215448 
1 55 215448 
1 56 215448 
1 57 215448 
1 58 215448 
1 59 215448 
1 60 215448 
1 61 215448 
1 62 215448 
1 63 215448 
1 64 215448 
1 65 215448 
1 66 215448 
1 67 215448 
1 68 215448 
1 69 215448 
1 70 215448 
1 71 215448 
1 72 215448 
1 73 215448 
1 74 215448 
1 75 215448 
1 76 215448 
1 77 215448 
1 78 215448 
1 79 215448 
1 80 215448 
1 81 215448 
1 82 215448 
1 83 215448 
1 84 215448 
1 85 215448 
1 86 215448 
1 87 215448 
1 88 215448 
1 89 215448 
1 90 215448 
1 91 215448 
1 92 215448 
1 93 215448 
1 94 215448 
1 95 215448 
1 96 215448 
1 97 215448 
1 98 215448 
1 99 215448 
1 100 215448 
1 101 215448 
1 102 215448 
1 103 215448 
1 104 215448 
1 105 215448 
1 106 215448 
1 107 215448 
1 108 215448 
1 109 215448 
1 110 215448 
1 111 215448 
1 112 215448 
1 113 215448 
1 114 215448 
1 115 215448 
1 116 215448 
1 117 215448 
1 118 215448 
1 119 215448 
1 120 215448 
1 121 215448 
1 122 215448 
1 123 215448 
1 124 215448 
1 125 215448 
1 126 215448 
1 127 215448 
1 128 215448 
1 129 215448 
1 130 215448 
1 131 215448 
1 132 215448 
1 133 215448 
1 134 215448 
1 135 215448 
1 136 215448 
1 137 215448 
1 138 215448 
1 139 215448 
1 140 215448 
1 141 215448 
1 142 215448 
1 143 215448 
1 144 215448 
1 145 215448 
1 146 215448 
1 147 215448 
1 148 215448 
1 149 215448 
1 150 215448 
1 151 215448 
1 152 215448 
1 153 215448 
1 154 215448 
1 155 215448 
1 156 215448 
1 157 215448 
1 158 215448 
1 159 215448 
1 160 215448 
1 161 215448 
1 162 215448 
1 163 215448 
1 164 215448 
1 165 215448 
1 166 215448 
1 167 215448 
1 168 215448 
1 169 215448 
1 170 215448 
1 171 215448 
1 172 215448 
1 173 215448 
1 174 215448 
1 175 215448 
1 176 215448 
1 177 215448 
1 178 215448 
1 179 215448 
1 180 215448 
1 181 215448 
1 182 215448 
1 183 215448 
1 184 215448 
1 185 215448 
1 186 215448 
1 187 215448 
1 188 215448 
1 189 215448 
1 190 215448 
1 191 215448 
1 192 -107724 
1 193 -215448 
1 194 -430896 
1 195 -861792 
1 196 -1723584 
1 197 107724 
1 198 215448 
1 199 430896 
1 200 861792 
1 201 1723584 
1 202 4308396 
2 3 215353 
2 4 215448 
2 5 215448 
2 6 215448 
2 7 215448 
2 8 215448 
2 9 215448 
2 10 215448 
2 11 215448 
2 12 215448 
2 13 215448 
2 14 215448 
2 15 215448 
2 16 215448 
2 17 215448 
2 18 215448 
2 19 215448 
2 20 215448 
2 21 215448 
2 22 215448 
2 23 215448 
2 24 215448 
2 25 215448 
2 26 215448 
2 27 215448 
2 28 215448 
2 29 215448 
2 30 215448 
2 31 215448 
2 32 215448 
2 33 215448 
2 34 215448 
2 35 215448 
2 36 215448 
2 37 215448 
2 38 215448 
2 39 215353 
2 40 215353 
