327 53301
1 2 24 
1 3 25 
1 4 25 
1 5 25 
1 6 25 
1 7 25 
1 8 25 
1 9 25 
1 10 25 
1 11 25 
1 12 25 
1 13 25 
1 14 25 
1 15 25 
1 16 25 
1 17 25 
1 18 25 
1 19 25 
1 20 25 
1 21 25 
1 22 25 
1 23 25 
1 24 25 
1 25 25 
1 26 25 
1 27 24 
1 28 24 
1 29 24 
1 30 24 
1 31 24 
1 32 24 
1 33 24 
1 34 24 
1 35 24 
1 36 24 
1 37 24 
1 38 24 
1 39 24 
1 40 24 
1 41 24 
1 42 24 
1 43 24 
1 44 24 
1 45 24 
1 46 24 
1 47 24 
1 48 24 
1 49 24 
1 50 24 
1 51 25 
1 52 25 
1 53 25 
1 54 25 
1 55 25 
1 56 25 
1 57 25 
1 58 25 
1 59 25 
1 60 25 
1 61 25 
1 62 25 
1 63 25 
1 64 25 
1 65 25 
1 66 25 
1 67 25 
1 68 25 
1 69 25 
1 70 25 
1 71 25 
1 72 25 
1 73 25 
1 74 25 
1 75 25 
1 76 25 
1 77 25 
1 78 25 
1 79 25 
1 80 25 
1 81 25 
1 82 25 
1 83 25 
1 84 25 
1 85 25 
1 86 25 
1 87 25 
1 88 25 
1 89 25 
1 90 25 
1 91 25 
1 92 25 
1 93 25 
1 94 25 
1 95 25 
1 96 25 
1 97 25 
1 98 25 
1 99 25 
1 100 25 
1 101 25 
1 102 25 
1 103 25 
1 104 25 
1 105 25 
1 106 25 
1 107 25 
1 108 25 
1 109 25 
1 110 25 
1 111 25 
1 112 25 
1 113 25 
1 114 25 
1 115 25 
1 116 25 
1 117 25 
1 118 25 
1 119 25 
1 120 25 
1 121 25 
1 122 25 
1 123 25 
1 124 25 
1 125 25 
1 126 25 
1 127 25 
1 128 25 
1 129 25 
1 130 25 
1 131 25 
1 132 25 
1 133 25 
1 134 25 
1 135 25 
1 136 25 
1 137 25 
1 138 25 
1 139 25 
1 140 25 
1 141 25 
1 142 25 
1 143 25 
1 144 25 
1 145 25 
1 146 25 
1 147 25 
1 148 25 
1 149 25 
1 150 25 
1 151 25 
1 152 25 
1 153 25 
1 154 25 
1 155 25 
1 156 25 
1 157 25 
1 158 25 
1 159 25 
1 160 25 
1 161 25 
1 162 25 
1 163 25 
1 164 25 
1 165 25 
1 166 25 
1 167 25 
1 168 25 
1 169 25 
1 170 25 
1 171 25 
1 172 25 
1 173 25 
1 174 25 
1 175 25 
1 176 25 
1 177 25 
1 178 25 
1 179 25 
1 180 25 
1 181 25 
1 182 25 
1 183 25 
1 184 25 
1 185 25 
1 186 25 
1 187 25 
1 188 25 
1 189 25 
1 190 25 
1 191 25 
1 192 25 
1 193 25 
1 194 25 
1 195 25 
1 196 25 
1 197 25 
1 198 25 
1 199 25 
1 200 25 
1 201 25 
1 202 25 
1 203 25 
1 204 25 
1 205 25 
1 206 25 
1 207 25 
1 208 25 
1 209 25 
1 210 25 
1 211 25 
1 212 25 
1 213 25 
1 214 25 
1 215 25 
1 216 25 
1 217 25 
1 218 25 
1 219 25 
1 220 25 
1 221 25 
1 222 25 
1 223 25 
1 224 25 
1 225 25 
1 226 25 
1 227 25 
1 228 25 
1 229 25 
1 230 25 
1 231 25 
1 232 25 
1 233 25 
1 234 25 
1 235 25 
1 236 25 
1 237 25 
1 238 25 
1 239 25 
1 240 25 
1 241 25 
1 242 25 
1 243 25 
1 244 25 
1 245 25 
1 246 25 
1 247 25 
1 248 25 
1 249 25 
1 250 25 
1 251 25 
1 252 25 
1 253 25 
1 254 25 
1 255 25 
1 256 25 
1 257 25 
1 258 25 
1 259 25 
1 260 25 
1 261 25 
1 262 25 
1 263 25 
1 264 25 
1 265 25 
1 266 25 
1 267 25 
1 268 25 
1 269 25 
1 270 25 
1 271 25 
1 272 25 
1 273 25 
1 274 25 
1 275 25 
1 276 25 
1 277 25 
1 278 25 
1 279 25 
1 280 25 
1 281 25 
1 282 25 
1 283 25 
1 284 25 
1 285 25 
1 286 25 
1 287 25 
1 288 25 
1 289 25 
1 290 25 
1 291 25 
1 292 25 
1 293 25 
1 294 25 
1 295 25 
1 296 25 
1 297 25 
1 298 25 
1 299 25 
1 300 25 
1 301 25 
1 302 25 
1 303 25 
1 304 25 
1 305 25 
1 306 25 
1 307 25 
1 308 25 
1 309 25 
1 310 25 
1 311 25 
1 312 25 
1 313 25 
1 314 25 
1 315 25 
1 316 25 
