192 18336
1 2 563 
1 3 564 
1 4 564 
1 5 564 
1 6 564 
1 7 564 
1 8 564 
1 9 564 
1 10 564 
1 11 564 
1 12 564 
1 13 564 
1 14 564 
1 15 564 
1 16 564 
1 17 564 
1 18 564 
1 19 564 
1 20 564 
1 21 563 
1 22 563 
1 23 563 
1 24 563 
1 25 563 
1 26 563 
1 27 563 
1 28 563 
1 29 563 
1 30 563 
1 31 563 
1 32 563 
1 33 563 
1 34 563 
1 35 563 
1 36 563 
1 37 563 
1 38 563 
1 39 564 
1 40 564 
1 41 564 
1 42 564 
1 43 564 
1 44 564 
1 45 564 
1 46 564 
1 47 564 
1 48 564 
1 49 564 
1 50 564 
1 51 564 
1 52 564 
1 53 564 
1 54 564 
1 55 564 
1 56 564 
1 57 564 
1 58 564 
1 59 564 
1 60 564 
1 61 564 
1 62 564 
1 63 564 
1 64 564 
1 65 564 
1 66 564 
1 67 564 
1 68 564 
1 69 564 
1 70 564 
1 71 564 
1 72 564 
1 73 564 
1 74 564 
1 75 564 
1 76 564 
1 77 564 
1 78 564 
1 79 564 
1 80 564 
1 81 564 
1 82 564 
1 83 564 
1 84 564 
1 85 564 
1 86 564 
1 87 564 
1 88 564 
1 89 564 
1 90 564 
1 91 564 
1 92 564 
1 93 564 
1 94 564 
1 95 564 
1 96 564 
1 97 564 
1 98 564 
1 99 564 
1 100 564 
1 101 564 
1 102 564 
1 103 564 
1 104 564 
1 105 564 
1 106 564 
1 107 564 
1 108 564 
1 109 564 
1 110 564 
1 111 564 
1 112 564 
1 113 564 
1 114 564 
1 115 564 
1 116 564 
1 117 564 
1 118 564 
1 119 564 
1 120 564 
1 121 564 
1 122 564 
1 123 564 
1 124 564 
1 125 564 
1 126 564 
1 127 564 
1 128 564 
1 129 564 
1 130 564 
1 131 564 
1 132 564 
1 133 564 
1 134 564 
1 135 564 
1 136 564 
1 137 564 
1 138 564 
1 139 564 
1 140 564 
1 141 564 
1 142 564 
1 143 564 
1 144 564 
1 145 564 
1 146 564 
1 147 564 
1 148 564 
1 149 564 
1 150 564 
1 151 564 
1 152 564 
1 153 564 
1 154 564 
1 155 564 
1 156 564 
1 157 564 
1 158 564 
1 159 564 
1 160 564 
1 161 564 
1 162 564 
1 163 564 
1 164 564 
1 165 564 
1 166 564 
1 167 564 
1 168 564 
1 169 564 
1 170 564 
1 171 564 
1 172 564 
1 173 564 
1 174 564 
1 175 564 
1 176 564 
1 177 564 
1 178 564 
1 179 564 
1 180 564 
1 181 564 
1 182 564 
1 183 564 
1 184 564 
1 185 564 
1 186 564 
1 187 564 
1 188 564 
1 189 564 
1 190 564 
1 191 564 
1 192 564 
2 3 563 
2 4 564 
2 5 564 
2 6 564 
2 7 564 
2 8 564 
2 9 564 
2 10 564 
2 11 564 
2 12 564 
2 13 564 
2 14 564 
2 15 564 
2 16 564 
2 17 564 
2 18 564 
2 19 564 
2 20 564 
2 21 564 
2 22 564 
2 23 564 
2 24 564 
2 25 564 
2 26 564 
2 27 564 
2 28 564 
2 29 564 
2 30 564 
2 31 564 
2 32 564 
2 33 564 
2 34 564 
2 35 564 
2 36 564 
2 37 564 
2 38 564 
2 39 563 
2 40 563 
2 41 563 
2 42 563 
2 43 563 
2 44 563 
2 45 563 
2 46 563 
2 47 563 
2 48 563 
2 49 563 
2 50 563 
2 51 563 
2 52 563 
2 53 563 
2 54 563 
2 55 563 
2 56 564 
2 57 564 
2 58 564 
2 59 564 
2 60 564 
2 61 564 
2 62 564 
2 63 564 
2 64 564 
2 65 564 
2 66 564 
2 67 564 
2 68 564 
2 69 564 
2 70 564 
2 71 564 
2 72 564 
2 73 564 
2 74 564 
2 75 564 
2 76 564 
2 77 564 
2 78 564 
2 79 564 
2 80 564 
2 81 564 
2 82 564 
2 83 564 
2 84 564 
2 85 564 
2 86 564 
2 87 564 
2 88 564 
2 89 564 
2 90 564 
2 91 564 
2 92 564 
2 93 564 
2 94 564 
2 95 564 
2 96 564 
2 97 564 
2 98 564 
2 99 564 
2 100 564 
2 101 564 
2 102 564 
2 103 564 
2 104 564 
2 105 564 
2 106 564 
2 107 564 
2 108 564 
2 109 564 
2 110 564 
2 111 564 
2 112 564 
2 113 564 
2 114 564 
2 115 564 
2 116 564 
2 117 564 
2 118 564 
2 119 564 
2 120 564 
2 121 564 
2 122 564 
2 123 564 
2 124 564 
2 125 564 
2 126 564 
2 127 564 
2 128 564 
2 129 564 
2 130 564 
2 131 564 
2 132 564 
2 133 564 
2 134 564 
2 135 564 
2 136 564 
2 137 564 
2 138 564 
2 139 564 
2 140 564 
2 141 564 
2 142 564 
2 143 564 
2 144 564 
2 145 564 
2 146 564 
2 147 564 
2 148 564 
2 149 564 
2 150 564 
2 151 564 
2 152 564 
2 153 564 
2 154 564 
2 155 564 
2 156 564 
2 157 564 
2 158 564 
2 159 564 
2 160 564 
2 161 564 
2 162 564 
2 163 564 
2 164 564 
2 165 564 
2 166 564 
2 167 564 
2 168 564 
2 169 564 
2 170 564 
2 171 564 
2 172 564 
2 173 564 
2 174 564 
2 175 564 
2 176 564 
2 177 564 
2 178 564 
2 179 564 
2 180 564 
2 181 564 
2 182 564 
2 183 564 
2 184 564 
2 185 564 
2 186 564 
2 187 564 
2 188 564 
2 189 564 
2 190 564 
2 191 564 
2 192 564 
3 4 563 
3 5 564 
3 6 564 
3 7 564 
3 8 564 
3 9 564 
3 10 564 
3 11 564 
3 12 564 
3 13 564 
3 14 564 
3 15 564 
3 16 564 
3 17 564 
3 18 564 
3 19 564 
3 20 564 
3 21 563 
3 22 564 
3 23 564 
3 24 564 
3 25 564 
3 26 564 
3 27 564 
3 28 564 
3 29 564 
3 30 564 
3 31 564 
3 32 564 
3 33 564 
3 34 564 
3 35 564 
3 36 564 
3 37 564 
3 38 564 
3 39 564 
3 40 564 
3 41 564 
3 42 564 
3 43 564 
3 44 564 
3 45 564 
3 46 564 
3 47 564 
3 48 564 
3 49 564 
3 50 564 
3 51 564 
3 52 564 
3 53 564 
3 54 564 
3 55 564 
3 56 563 
3 57 563 
3 58 563 
3 59 563 
3 60 563 
3 61 563 
3 62 563 
3 63 563 
3 64 563 
3 65 563 
3 66 563 
3 67 563 
3 68 563 
3 69 563 
3 70 563 
3 71 563 
3 72 564 
3 73 564 
3 74 564 
3 75 564 
3 76 564 
3 77 564 
3 78 564 
3 79 564 
3 80 564 
3 81 564 
3 82 564 
3 83 564 
3 84 564 
3 85 564 
3 86 564 
3 87 564 
3 88 564 
3 89 564 
3 90 564 
3 91 564 
3 92 564 
3 93 564 
3 94 564 
3 95 564 
3 96 564 
3 97 564 
3 98 564 
3 99 564 
3 100 564 
3 101 564 
3 102 564 
3 103 564 
3 104 564 
3 105 564 
3 106 564 
3 107 564 
3 108 564 
3 109 564 
3 110 564 
3 111 564 
3 112 564 
3 113 564 
3 114 564 
3 115 564 
3 116 564 
3 117 564 
3 118 564 
3 119 564 
3 120 564 
3 121 564 
3 122 564 
3 123 564 
3 124 564 
3 125 564 
3 126 564 
3 127 564 
3 128 564 
3 129 564 
3 130 564 
3 131 564 
3 132 564 
3 133 564 
3 134 564 
3 135 564 
3 136 564 
3 137 564 
3 138 564 
3 139 564 
3 140 564 
3 141 564 
3 142 564 
3 143 564 
3 144 564 
3 145 564 
3 146 564 
3 147 564 
3 148 564 
3 149 564 
3 150 564 
3 151 564 
3 152 564 
3 153 564 
3 154 564 
3 155 564 
3 156 564 
3 157 564 
3 158 564 
3 159 564 
3 160 564 
3 161 564 
3 162 564 
3 163 564 
3 164 564 
3 165 564 
3 166 564 
3 167 564 
