54 468
1 2 4 
1 3 4 
1 4 4 
1 7 4 
1 10 4 
1 13 4 
1 19 4 
1 23 4 
1 24 4 
1 25 4 
1 29 4 
1 50 4 
1 54 47 
2 3 4 
2 5 4 
2 8 4 
2 10 4 
2 15 4 
2 21 4 
2 23 4 
2 26 4 
2 27 4 
2 29 4 
2 51 4 
2 54 47 
3 6 4 
3 9 4 
3 10 4 
3 16 4 
3 22 4 
3 24 4 
3 26 4 
3 28 4 
3 29 4 
3 52 4 
3 54 47 
4 5 4 
4 6 4 
4 7 4 
4 10 4 
4 13 4 
4 32 4 
4 36 4 
4 37 4 
4 38 4 
4 42 4 
4 50 4 
4 54 47 
5 6 4 
5 8 4 
5 10 4 
5 15 4 
5 34 4 
5 36 4 
5 39 4 
5 40 4 
5 42 4 
5 51 4 
5 54 47 
6 9 4 
6 10 4 
6 16 4 
6 35 4 
6 37 4 
6 39 4 
6 41 4 
6 42 4 
6 52 4 
6 54 47 
7 8 4 
7 9 4 
7 10 4 
7 19 4 
7 32 4 
7 43 4 
7 44 4 
7 45 4 
7 49 4 
7 50 4 
7 54 47 
8 9 4 
8 10 4 
8 21 4 
8 34 4 
8 43 4 
8 46 4 
8 47 4 
8 49 4 
8 51 4 
8 54 47 
9 10 4 
9 22 4 
9 35 4 
9 44 4 
9 46 4 
9 48 4 
9 49 4 
9 52 4 
9 54 47 
10 29 4 
10 42 4 
10 49 4 
10 50 4 
10 51 4 
10 52 4 
10 53 4 
10 54 63 
11 12 4 
11 13 4 
11 14 4 
11 15 4 
11 17 4 
11 23 4 
11 25 4 
11 27 4 
11 30 4 
11 36 4 
11 38 4 
11 40 4 
11 54 47 
12 13 4 
12 14 4 
12 16 4 
12 18 4 
12 24 4 
12 25 4 
12 28 4 
12 31 4 
12 37 4 
12 38 4 
12 41 4 
12 54 47 
13 15 4 
13 16 4 
13 19 4 
13 23 4 
13 24 4 
13 25 4 
13 29 4 
13 32 4 
13 36 4 
13 37 4 
13 38 4 
13 42 4 
13 50 4 
13 54 67 
14 15 4 
14 16 4 
14 20 4 
14 26 4 
14 27 4 
14 28 4 
14 33 4 
14 39 4 
14 40 4 
14 41 4 
14 54 47 
15 16 4 
15 21 4 
15 23 4 
15 26 4 
15 27 4 
15 29 4 
15 34 4 
15 36 4 
15 39 4 
15 40 4 
15 42 4 
15 51 4 
15 54 67 
16 22 4 
16 24 4 
16 26 4 
16 28 4 
16 29 4 
16 35 4 
16 37 4 
16 39 4 
16 41 4 
16 42 4 
16 52 4 
16 54 67 
17 18 4 
17 19 4 
17 20 4 
17 21 4 
17 23 4 
17 25 4 
17 27 4 
17 30 4 
17 43 4 
17 45 4 
17 47 4 
17 54 47 
18 19 4 
18 20 4 
18 22 4 
18 24 4 
18 25 4 
18 28 4 
18 31 4 
18 44 4 
18 45 4 
18 48 4 
18 54 47 
19 21 4 
19 22 4 
19 23 4 
19 24 4 
19 25 4 
19 29 4 
19 32 4 
19 43 4 
19 44 4 
19 45 4 
19 49 4 
19 50 4 
19 54 67 
20 21 4 
20 22 4 
20 26 4 
20 27 4 
20 28 4 
20 33 4 
20 46 4 
20 47 4 
20 48 4 
20 54 47 
21 22 4 
21 23 4 
21 26 4 
21 27 4 
21 29 4 
21 34 4 
21 43 4 
21 46 4 
21 47 4 
21 49 4 
21 51 4 
21 54 67 
22 24 4 
22 26 4 
22 28 4 
22 29 4 
22 35 4 
22 44 4 
22 46 4 
22 48 4 
22 49 4 
22 52 4 
22 54 67 
23 24 4 
23 25 4 
23 26 4 
23 27 4 
23 29 4 
23 36 4 
23 43 4 
23 50 4 
23 51 4 
23 54 67 
24 25 4 
24 26 4 
24 28 4 
24 29 4 
24 37 4 
24 44 4 
24 50 4 
24 52 4 
24 54 67 
25 27 4 
25 28 4 
25 29 4 
25 38 4 
25 45 4 
25 50 4 
25 53 4 
25 54 63 
26 27 4 
26 28 4 
26 29 4 
26 39 4 
26 46 4 
26 51 4 
26 52 4 
26 54 67 
27 28 4 
27 29 4 
27 40 4 
27 47 4 
27 51 4 
27 53 4 
27 54 63 
28 29 4 
28 41 4 
28 48 4 
28 52 4 
28 53 4 
28 54 63 
29 42 4 
29 49 4 
29 50 4 
29 51 4 
29 52 4 
29 53 4 
29 54 87 
30 31 4 
30 32 4 
30 33 4 
30 34 4 
30 36 4 
30 38 4 
30 40 4 
30 43 4 
30 45 4 
30 47 4 
30 54 47 
31 32 4 
31 33 4 
31 35 4 
31 37 4 
31 38 4 
31 41 4 
31 44 4 
31 45 4 
31 48 4 
31 54 47 
32 34 4 
32 35 4 
32 36 4 
32 37 4 
32 38 4 
32 42 4 
32 43 4 
32 44 4 
32 45 4 
32 49 4 
32 50 4 
32 54 67 
33 34 4 
33 35 4 
33 39 4 
33 40 4 
33 41 4 
33 46 4 
33 47 4 
33 48 4 
33 54 47 
34 35 4 
34 36 4 
34 39 4 
34 40 4 
34 42 4 
34 43 4 
34 46 4 
34 47 4 
34 49 4 
34 51 4 
34 54 67 
35 37 4 
35 39 4 
35 41 4 
35 42 4 
35 44 4 
35 46 4 
35 48 4 
35 49 4 
35 52 4 
35 54 67 
36 37 4 
36 38 4 
36 39 4 
36 40 4 
36 42 4 
36 43 4 
36 50 4 
36 51 4 
36 54 67 
37 38 4 
37 39 4 
37 41 4 
37 42 4 
37 44 4 
37 50 4 
37 52 4 
37 54 67 
38 40 4 
38 41 4 
38 42 4 
38 45 4 
38 50 4 
38 53 4 
38 54 63 
39 40 4 
39 41 4 
39 42 4 
39 46 4 
39 51 4 
39 52 4 
39 54 67 
40 41 4 
40 42 4 
40 47 4 
40 51 4 
40 53 4 
40 54 63 
41 42 4 
41 48 4 
41 52 4 
41 53 4 
41 54 63 
42 49 4 
42 50 4 
42 51 4 
42 52 4 
42 53 4 
42 54 87 
43 44 4 
43 45 4 
43 46 4 
43 47 4 
43 49 4 
43 50 4 
43 51 4 
43 54 67 
44 45 4 
44 46 4 
44 48 4 
44 49 4 
44 50 4 
44 52 4 
44 54 67 
45 47 4 
45 48 4 
45 49 4 
45 50 4 
45 53 4 
45 54 63 
46 47 4 
46 48 4 
46 49 4 
46 51 4 
46 52 4 
46 54 67 
47 48 4 
47 49 4 
47 51 4 
47 53 4 
47 54 63 
48 49 4 
48 52 4 
48 53 4 
48 54 63 
49 50 4 
49 51 4 
49 52 4 
49 53 4 
49 54 87 
50 51 4 
50 52 4 
50 53 4 
50 54 87 
51 52 4 
51 53 4 
51 54 87 
52 53 4 
52 54 87 
53 54 63 
