173 14878
1 2 478 
1 3 479 
1 4 479 
1 5 479 
1 6 479 
1 7 479 
1 8 479 
1 9 479 
1 10 479 
1 11 479 
1 12 479 
1 13 479 
1 14 479 
1 15 479 
1 16 479 
1 17 479 
1 18 479 
1 19 479 
1 20 478 
1 21 478 
1 22 478 
1 23 478 
1 24 478 
1 25 478 
1 26 478 
1 27 478 
1 28 478 
1 29 478 
1 30 478 
1 31 478 
1 32 478 
1 33 478 
1 34 478 
1 35 478 
1 36 478 
1 37 479 
1 38 479 
1 39 479 
1 40 479 
1 41 479 
1 42 479 
1 43 479 
1 44 479 
1 45 479 
1 46 479 
1 47 479 
1 48 479 
1 49 479 
1 50 479 
1 51 479 
1 52 479 
1 53 479 
1 54 479 
1 55 479 
1 56 479 
1 57 479 
1 58 479 
1 59 479 
1 60 479 
1 61 479 
1 62 479 
1 63 479 
1 64 479 
1 65 479 
1 66 479 
1 67 479 
1 68 479 
1 69 479 
1 70 479 
1 71 479 
1 72 479 
1 73 479 
1 74 479 
1 75 479 
1 76 479 
1 77 479 
1 78 479 
1 79 479 
1 80 479 
1 81 479 
1 82 479 
1 83 479 
1 84 479 
1 85 479 
1 86 479 
1 87 479 
1 88 479 
1 89 479 
1 90 479 
1 91 479 
1 92 479 
1 93 479 
1 94 479 
1 95 479 
1 96 479 
1 97 479 
1 98 479 
1 99 479 
1 100 479 
1 101 479 
1 102 479 
1 103 479 
1 104 479 
1 105 479 
1 106 479 
1 107 479 
1 108 479 
1 109 479 
1 110 479 
1 111 479 
1 112 479 
1 113 479 
1 114 479 
1 115 479 
1 116 479 
1 117 479 
1 118 479 
1 119 479 
1 120 479 
1 121 479 
1 122 479 
1 123 479 
1 124 479 
1 125 479 
1 126 479 
1 127 479 
1 128 479 
1 129 479 
1 130 479 
1 131 479 
1 132 479 
1 133 479 
1 134 479 
1 135 479 
1 136 479 
1 137 479 
1 138 479 
1 139 479 
1 140 479 
1 141 479 
1 142 479 
1 143 479 
1 144 479 
1 145 479 
1 146 479 
1 147 479 
1 148 479 
1 149 479 
1 150 479 
1 151 479 
1 152 479 
1 153 479 
1 154 479 
1 155 479 
1 156 479 
1 157 479 
1 158 479 
1 159 479 
1 160 479 
1 161 479 
1 162 479 
1 163 479 
1 164 479 
1 165 479 
1 166 479 
1 167 479 
1 168 479 
1 169 479 
1 170 479 
1 171 479 
1 172 479 
1 173 2874 
2 3 478 
2 4 479 
2 5 479 
2 6 479 
2 7 479 
2 8 479 
2 9 479 
2 10 479 
2 11 479 
2 12 479 
2 13 479 
2 14 479 
2 15 479 
2 16 479 
2 17 479 
2 18 479 
2 19 479 
2 20 479 
2 21 479 
2 22 479 
2 23 479 
2 24 479 
2 25 479 
2 26 479 
2 27 479 
2 28 479 
2 29 479 
2 30 479 
2 31 479 
2 32 479 
2 33 479 
2 34 479 
2 35 479 
2 36 479 
2 37 478 
2 38 478 
2 39 478 
2 40 478 
2 41 478 
2 42 478 
2 43 478 
2 44 478 
2 45 478 
2 46 478 
2 47 478 
2 48 478 
2 49 478 
2 50 478 
2 51 478 
2 52 478 
2 53 479 
2 54 479 
2 55 479 
2 56 479 
2 57 479 
2 58 479 
2 59 479 
2 60 479 
2 61 479 
2 62 479 
2 63 479 
