301 5662
1 2 582 
1 3 582 
1 4 582 
1 5 582 
1 6 582 
1 11 582 
1 16 582 
1 21 582 
1 26 582 
1 31 582 
1 36 582 
1 41 582 
1 46 582 
1 51 582 
1 56 582 
1 61 582 
1 66 582 
1 71 582 
1 76 582 
1 81 582 
1 86 582 
1 91 582 
1 96 582 
1 101 582 
1 106 582 
1 111 582 
1 116 582 
1 121 582 
1 126 582 
1 131 582 
1 136 582 
1 141 582 
1 146 582 
1 151 582 
1 156 582 
1 161 582 
1 166 582 
1 171 582 
1 176 582 
1 181 582 
1 186 582 
1 191 582 
1 196 582 
1 201 582 
1 206 582 
1 211 582 
1 216 582 
1 221 582 
1 226 582 
1 231 582 
1 236 582 
1 241 582 
1 246 582 
1 251 582 
1 256 582 
1 261 582 
1 266 582 
1 271 582 
1 276 582 
1 281 582 
1 286 582 
1 291 582 
1 296 582 
1 301 25026 
2 3 582 
2 4 582 
2 5 582 
2 7 10 
2 8 2 
2 9 5 
2 10 8 
2 12 3 
2 13 1 
2 14 2 
2 15 2 
2 42 8 
2 43 2 
2 44 4 
2 45 6 
2 47 5 
2 48 1 
2 49 2 
2 50 4 
2 301 1811 
3 4 582 
3 5 582 
3 7 2 
3 8 10 
3 9 2 
3 10 5 
3 12 1 
3 13 3 
3 14 1 
3 15 2 
3 42 2 
3 43 8 
3 44 2 
3 45 4 
3 47 1 
3 48 5 
3 49 1 
3 50 2 
3 301 1798 
4 5 582 
4 7 5 
4 8 2 
4 9 10 
4 10 2 
4 12 2 
4 13 1 
4 14 3 
4 15 1 
4 42 4 
4 43 2 
4 44 8 
4 45 2 
4 47 2 
4 48 1 
4 49 5 
4 50 1 
4 301 1798 
5 7 8 
5 8 5 
5 9 2 
5 10 10 
5 12 2 
5 13 2 
5 14 1 
5 15 3 
5 42 6 
5 43 4 
5 44 2 
5 45 8 
5 47 4 
5 48 2 
5 49 1 
5 50 5 
5 301 1811 
6 7 582 
6 8 582 
6 9 582 
6 10 582 
6 11 582 
6 16 582 
6 21 582 
6 26 582 
6 31 582 
6 36 582 
6 41 582 
6 46 582 
6 51 582 
6 56 582 
6 61 582 
6 66 582 
6 71 582 
6 76 582 
6 81 582 
6 86 582 
6 91 582 
6 96 582 
6 101 582 
6 106 582 
6 111 582 
6 116 582 
6 121 582 
6 126 582 
6 131 582 
6 136 582 
6 141 582 
6 146 582 
6 151 582 
6 156 582 
6 161 582 
6 166 582 
6 171 582 
6 176 582 
6 181 582 
6 186 582 
6 191 582 
6 196 582 
6 201 582 
6 206 582 
6 211 582 
6 216 582 
6 221 582 
6 226 582 
6 231 582 
6 236 582 
6 241 582 
6 246 582 
6 251 582 
6 256 582 
6 261 582 
6 266 582 
6 271 582 
6 276 582 
6 281 582 
6 286 582 
6 291 582 
6 296 582 
6 301 25026 
7 8 582 
7 9 582 
7 10 582 
7 12 10 
7 13 2 
7 14 5 
7 15 8 
7 17 3 
7 18 1 
7 19 2 
7 20 2 
7 42 5 
7 43 1 
7 44 2 
7 45 4 
7 47 8 
7 48 2 
7 49 4 
7 50 6 
7 52 5 
7 53 1 
7 54 2 
7 55 4 
7 301 1848 
8 9 582 
8 10 582 
8 12 2 
8 13 10 
8 14 2 
8 15 5 
8 17 1 
8 18 3 
8 19 1 
8 20 2 
8 42 1 
8 43 5 
8 44 1 
8 45 2 
8 47 2 
8 48 8 
8 49 2 
8 50 4 
8 52 1 
8 53 5 
8 54 1 
8 55 2 
8 301 1828 
9 10 582 
9 12 5 
9 13 2 
9 14 10 
9 15 2 
9 17 2 
9 18 1 
9 19 3 
9 20 1 
9 42 2 
9 43 1 
9 44 5 
9 45 1 
9 47 4 
9 48 2 
9 49 8 
9 50 2 
9 52 2 
9 53 1 
9 54 5 
9 55 1 
9 301 1828 
10 12 8 
10 13 5 
10 14 2 
10 15 10 
10 17 2 
10 18 2 
10 19 1 
10 20 3 
10 42 4 
10 43 2 
10 44 1 
10 45 5 
10 47 6 
10 48 4 
10 49 2 
10 50 8 
10 52 4 
10 53 2 
10 54 1 
10 55 5 
10 301 1848 
11 12 582 
11 13 582 
11 14 582 
11 15 582 
11 16 582 
11 21 582 
11 26 582 
11 31 582 
11 36 582 
11 41 582 
11 46 582 
11 51 582 
11 56 582 
11 61 582 
11 66 582 
11 71 582 
11 76 582 
11 81 582 
11 86 582 
11 91 582 
11 96 582 
11 101 582 
11 106 582 
11 111 582 
11 116 582 
11 121 582 
11 126 582 
11 131 582 
11 136 582 
11 141 582 
11 146 582 
11 151 582 
11 156 582 
11 161 582 
11 166 582 
11 171 582 
11 176 582 
11 181 582 
11 186 582 
11 191 582 
11 196 582 
11 201 582 
11 206 582 
11 211 582 
11 216 582 
11 221 582 
11 226 582 
11 231 582 
11 236 582 
11 241 582 
11 246 582 
11 251 582 
11 256 582 
11 261 582 
11 266 582 
11 271 582 
11 276 582 
11 281 582 
11 286 582 
11 291 582 
11 296 582 
11 301 25026 
12 13 582 
12 14 582 
