130 8369
1 2 7012 
1 3 7018 
1 4 7018 
1 5 7018 
1 6 7018 
1 7 7018 
1 8 7018 
1 9 7018 
1 10 7018 
1 11 7018 
1 12 7018 
1 13 7018 
1 14 7018 
1 15 7018 
1 16 7018 
1 17 7012 
1 18 7012 
1 19 7012 
1 20 7012 
1 21 7012 
1 22 7012 
1 23 7012 
1 24 7012 
1 25 7012 
1 26 7012 
1 27 7012 
1 28 7012 
1 29 7012 
1 30 7012 
1 31 7018 
1 32 7018 
1 33 7018 
1 34 7018 
1 35 7018 
1 36 7018 
1 37 7018 
1 38 7018 
1 39 7018 
1 40 7018 
1 41 7018 
1 42 7018 
1 43 7018 
1 44 7018 
1 45 7018 
1 46 7018 
1 47 7018 
1 48 7018 
1 49 7018 
1 50 7018 
1 51 7018 
1 52 7018 
1 53 7018 
1 54 7018 
1 55 7018 
1 56 7018 
1 57 7018 
1 58 7018 
1 59 7018 
1 60 7018 
1 61 7018 
1 62 7018 
1 63 7018 
1 64 7018 
1 65 7018 
1 66 7018 
1 67 7018 
1 68 7018 
1 69 7018 
1 70 7018 
1 71 7018 
1 72 7018 
1 73 7018 
1 74 7018 
1 75 7018 
1 76 7018 
1 77 7018 
1 78 7018 
1 79 7018 
1 80 7018 
1 81 7018 
1 82 7018 
1 83 7018 
1 84 7018 
1 85 7018 
1 86 7018 
1 87 7018 
1 88 7018 
1 89 7018 
1 90 7018 
1 91 7018 
1 92 7018 
1 93 7018 
1 94 7018 
1 95 7018 
1 96 7018 
1 97 7018 
1 98 7018 
1 99 7018 
1 100 7018 
1 101 7018 
1 102 7018 
1 103 7018 
1 104 7018 
1 105 7018 
1 106 7018 
1 107 7018 
1 108 7018 
1 109 7018 
1 110 7018 
1 111 7018 
1 112 7018 
1 113 7018 
1 114 7018 
1 115 7018 
1 116 7018 
1 117 7018 
1 118 7018 
1 119 7018 
1 120 7018 
1 121 7018 
1 122 -3509 
1 123 -7018 
1 124 -14036 
1 125 -28072 
1 126 3509 
1 127 7018 
1 128 14036 
1 129 28072 
1 130 98223 
2 3 7012 
2 4 7018 
2 5 7018 
2 6 7018 
2 7 7018 
2 8 7018 
2 9 7018 
2 10 7018 
2 11 7018 
2 12 7018 
2 13 7018 
2 14 7018 
2 15 7018 
2 16 7018 
2 17 7018 
2 18 7018 
2 19 7018 
2 20 7018 
2 21 7018 
2 22 7018 
2 23 7018 
2 24 7018 
2 25 7018 
2 26 7018 
2 27 7018 
2 28 7018 
2 29 7018 
2 30 7018 
2 31 7012 
2 32 7012 
2 33 7012 
2 34 7012 
2 35 7012 
2 36 7012 
2 37 7012 
2 38 7012 
2 39 7012 
2 40 7012 
2 41 7012 
2 42 7012 
2 43 7012 
2 44 7018 
2 45 7018 
2 46 7018 
2 47 7018 
2 48 7018 
2 49 7018 
2 50 7018 
2 51 7018 
2 52 7018 
2 53 7018 
2 54 7018 
2 55 7018 
2 56 7018 
2 57 7018 
2 58 7018 
2 59 7018 
2 60 7018 
2 61 7018 
2 62 7018 
2 63 7018 
2 64 7018 
2 65 7018 
2 66 7018 
2 67 7018 
2 68 7018 
2 69 7018 
2 70 7018 
2 71 7018 
2 72 7018 
2 73 7018 
2 74 7018 
2 75 7018 
2 76 7018 
2 77 7018 
2 78 7018 
2 79 7018 
2 80 7018 
2 81 7018 
2 82 7018 
2 83 7018 
2 84 7018 
2 85 7018 
2 86 7018 
2 87 7018 
2 88 7018 
2 89 7018 
2 90 7018 
2 91 7018 
2 92 7018 
2 93 7018 
2 94 7018 
2 95 7018 
2 96 7018 
2 97 7018 
2 98 7018 
2 99 7018 
2 100 7018 
2 101 7018 
2 102 7018 
2 103 7018 
2 104 7018 
2 105 7018 
2 106 7018 
2 107 7018 
2 108 7018 
2 109 7018 
2 110 7018 
2 111 7018 
2 112 7018 
2 113 7018 
2 114 7018 
2 115 7018 
2 116 7018 
2 117 7018 
2 118 7018 
2 119 7018 
2 120 7018 
2 121 7018 
2 122 -3509 
2 123 -7018 
2 124 -14036 
2 125 -28072 
2 126 3509 
2 127 7018 
2 128 14036 
2 129 28072 
2 130 98223 
3 4 7012 
3 5 7018 
3 6 7018 
3 7 7018 
3 8 7018 
3 9 7018 
3 10 7018 
3 11 7018 
3 12 7018 
3 13 7018 
3 14 7018 
3 15 7018 
3 16 7018 
3 17 7012 
3 18 7018 
3 19 7018 
3 20 7018 
3 21 7018 
3 22 7018 
3 23 7018 
3 24 7018 
3 25 7018 
3 26 7018 
3 27 7018 
3 28 7018 
3 29 7018 
3 30 7018 
3 31 7018 
3 32 7018 
3 33 7018 
3 34 7018 
3 35 7018 
3 36 7018 
3 37 7018 
3 38 7018 
3 39 7018 
3 40 7018 
3 41 7018 
3 42 7018 
3 43 7018 
3 44 7012 
3 45 7012 
3 46 7012 
3 47 7012 
3 48 7012 
3 49 7012 
3 50 7012 
3 51 7012 
3 52 7012 
3 53 7012 
3 54 7012 
3 55 7012 
3 56 7018 
3 57 7018 
3 58 7018 
3 59 7018 
3 60 7018 
3 61 7018 
3 62 7018 
3 63 7018 
3 64 7018 
3 65 7018 
3 66 7018 
3 67 7018 
3 68 7018 
3 69 7018 
3 70 7018 
3 71 7018 
3 72 7018 
3 73 7018 
3 74 7018 
3 75 7018 
3 76 7018 
3 77 7018 
3 78 7018 
3 79 7018 
3 80 7018 
3 81 7018 
3 82 7018 
3 83 7018 
3 84 7018 
3 85 7018 
3 86 7018 
3 87 7018 
3 88 7018 
3 89 7018 
3 90 7018 
3 91 7018 
3 92 7018 
3 93 7018 
3 94 7018 
3 95 7018 
3 96 7018 
3 97 7018 
3 98 7018 
3 99 7018 
3 100 7018 
