278 38503
1 2 22 
1 3 23 
1 4 23 
1 5 23 
1 6 23 
1 7 23 
1 8 23 
1 9 23 
1 10 23 
1 11 23 
1 12 23 
1 13 23 
1 14 23 
1 15 23 
1 16 23 
1 17 23 
1 18 23 
1 19 23 
1 20 23 
1 21 23 
1 22 23 
1 23 23 
1 24 23 
1 25 22 
1 26 22 
1 27 22 
1 28 22 
1 29 22 
1 30 22 
1 31 22 
1 32 22 
1 33 22 
1 34 22 
1 35 22 
1 36 22 
1 37 22 
1 38 22 
1 39 22 
1 40 22 
1 41 22 
1 42 22 
1 43 22 
1 44 22 
1 45 22 
1 46 22 
1 47 23 
1 48 23 
1 49 23 
1 50 23 
1 51 23 
1 52 23 
1 53 23 
1 54 23 
1 55 23 
1 56 23 
1 57 23 
1 58 23 
1 59 23 
1 60 23 
1 61 23 
1 62 23 
1 63 23 
1 64 23 
1 65 23 
1 66 23 
1 67 23 
1 68 23 
1 69 23 
1 70 23 
1 71 23 
1 72 23 
1 73 23 
1 74 23 
1 75 23 
1 76 23 
1 77 23 
1 78 23 
1 79 23 
1 80 23 
1 81 23 
1 82 23 
1 83 23 
1 84 23 
1 85 23 
1 86 23 
1 87 23 
1 88 23 
1 89 23 
1 90 23 
1 91 23 
1 92 23 
1 93 23 
1 94 23 
1 95 23 
1 96 23 
1 97 23 
1 98 23 
1 99 23 
1 100 23 
1 101 23 
1 102 23 
1 103 23 
1 104 23 
1 105 23 
1 106 23 
1 107 23 
1 108 23 
1 109 23 
1 110 23 
1 111 23 
1 112 23 
1 113 23 
1 114 23 
1 115 23 
1 116 23 
1 117 23 
1 118 23 
1 119 23 
1 120 23 
1 121 23 
1 122 23 
1 123 23 
1 124 23 
1 125 23 
1 126 23 
1 127 23 
1 128 23 
1 129 23 
1 130 23 
1 131 23 
1 132 23 
1 133 23 
1 134 23 
1 135 23 
1 136 23 
1 137 23 
1 138 23 
1 139 23 
1 140 23 
1 141 23 
1 142 23 
1 143 23 
1 144 23 
1 145 23 
1 146 23 
1 147 23 
1 148 23 
1 149 23 
1 150 23 
1 151 23 
1 152 23 
1 153 23 
1 154 23 
1 155 23 
1 156 23 
1 157 23 
1 158 23 
1 159 23 
1 160 23 
1 161 23 
1 162 23 
1 163 23 
1 164 23 
1 165 23 
1 166 23 
1 167 23 
1 168 23 
1 169 23 
1 170 23 
1 171 23 
1 172 23 
1 173 23 
1 174 23 
1 175 23 
1 176 23 
1 177 23 
1 178 23 
1 179 23 
1 180 23 
1 181 23 
1 182 23 
1 183 23 
1 184 23 
1 185 23 
1 186 23 
1 187 23 
1 188 23 
1 189 23 
1 190 23 
1 191 23 
1 192 23 
1 193 23 
1 194 23 
1 195 23 
1 196 23 
1 197 23 
1 198 23 
1 199 23 
1 200 23 
1 201 23 
1 202 23 
1 203 23 
1 204 23 
1 205 23 
1 206 23 
1 207 23 
1 208 23 
1 209 23 
1 210 23 
1 211 23 
1 212 23 
1 213 23 
1 214 23 
1 215 23 
1 216 23 
1 217 23 
1 218 23 
1 219 23 
1 220 23 
1 221 23 
1 222 23 
1 223 23 
1 224 23 
1 225 23 
1 226 23 
1 227 23 
1 228 23 
1 229 23 
1 230 23 
1 231 23 
1 232 23 
1 233 23 
1 234 23 
1 235 23 
1 236 23 
1 237 23 
1 238 23 
1 239 23 
1 240 23 
1 241 23 
1 242 23 
1 243 23 
1 244 23 
1 245 23 
1 246 23 
1 247 23 
1 248 23 
1 249 23 
1 250 23 
1 251 23 
1 252 23 
1 253 23 
1 254 23 
1 255 23 
1 256 23 
1 257 23 
1 258 23 
1 259 23 
1 260 23 
1 261 23 
1 262 23 
1 263 23 
1 264 23 
1 265 23 
1 266 23 
1 267 23 
1 268 23 
1 269 23 
1 270 23 
1 271 23 
1 272 23 
1 273 23 
1 274 23 
1 275 23 
1 276 23 
1 277 23 
1 278 -6325 
2 3 22 
2 4 23 
2 5 23 
2 6 23 
2 7 23 
2 8 23 
2 9 23 
2 10 23 
2 11 23 
2 12 23 
2 13 23 
2 14 23 
2 15 23 
2 16 23 
2 17 23 
2 18 23 
2 19 23 
2 20 23 
2 21 23 
2 22 23 
2 23 23 
2 24 23 
2 25 23 
2 26 23 
2 27 23 
2 28 23 
2 29 23 
2 30 23 
2 31 23 
2 32 23 
2 33 23 
2 34 23 
2 35 23 
2 36 23 
2 37 23 
2 38 23 
2 39 23 
2 40 23 
2 41 23 
2 42 23 
2 43 23 
2 44 23 
2 45 23 
2 46 23 
2 47 22 
2 48 22 
2 49 22 
2 50 22 
2 51 22 
2 52 22 
2 53 22 
2 54 22 
2 55 22 
2 56 22 
2 57 22 
2 58 22 
2 59 22 
2 60 22 
2 61 22 
2 62 22 
2 63 22 
2 64 22 
2 65 22 
2 66 22 
2 67 22 
2 68 23 
2 69 23 
2 70 23 
2 71 23 
2 72 23 
2 73 23 
2 74 23 
2 75 23 
2 76 23 
2 77 23 
2 78 23 
2 79 23 
2 80 23 
2 81 23 
2 82 23 
2 83 23 
2 84 23 
2 85 23 
2 86 23 
2 87 23 
2 88 23 
2 89 23 
2 90 23 
2 91 23 
2 92 23 
2 93 23 
2 94 23 
2 95 23 
2 96 23 
2 97 23 
2 98 23 
2 99 23 
2 100 23 
2 101 23 
2 102 23 
2 103 23 
2 104 23 
2 105 23 
2 106 23 
2 107 23 
2 108 23 
2 109 23 
2 110 23 
2 111 23 
2 112 23 
2 113 23 
2 114 23 
2 115 23 
2 116 23 
2 117 23 
2 118 23 
2 119 23 
2 120 23 
2 121 23 
2 122 23 
2 123 23 
2 124 23 
2 125 23 
2 126 23 
2 127 23 
2 128 23 
2 129 23 
2 130 23 
2 131 23 
2 132 23 
2 133 23 
2 134 23 
2 135 23 
2 136 23 
2 137 23 
2 138 23 
2 139 23 
2 140 23 
2 141 23 
2 142 23 
2 143 23 
2 144 23 
2 145 23 
2 146 23 
2 147 23 
2 148 23 
2 149 23 
2 150 23 
2 151 23 
2 152 23 
2 153 23 
2 154 23 
2 155 23 
2 156 23 
2 157 23 
2 158 23 
2 159 23 
2 160 23 
2 161 23 
2 162 23 
2 163 23 
2 164 23 
2 165 23 
2 166 23 
2 167 23 
2 168 23 
2 169 23 
2 170 23 
2 171 23 
2 172 23 
2 173 23 
2 174 23 
2 175 23 
2 176 23 
2 177 23 
2 178 23 
2 179 23 
2 180 23 
2 181 23 
2 182 23 
2 183 23 
2 184 23 
2 185 23 
2 186 23 
2 187 23 
2 188 23 
2 189 23 
2 190 23 
2 191 23 
2 192 23 
2 193 23 
2 194 23 
2 195 23 
2 196 23 
2 197 23 
2 198 23 
2 199 23 
2 200 23 
2 201 23 
2 202 23 
2 203 23 
2 204 23 
2 205 23 
2 206 23 
2 207 23 
2 208 23 
2 209 23 
2 210 23 
2 211 23 
2 212 23 
2 213 23 
2 214 23 
2 215 23 
2 216 23 
2 217 23 
2 218 23 
2 219 23 
2 220 23 
2 221 23 
2 222 23 
2 223 23 
2 224 23 
2 225 23 
2 226 23 
2 227 23 
2 228 23 
2 229 23 
2 230 23 
2 231 23 
2 232 23 
2 233 23 
2 234 23 
2 235 23 
2 236 23 
2 237 23 
2 238 23 
2 239 23 
2 240 23 
2 241 23 
2 242 23 
2 243 23 
2 244 23 
2 245 23 
2 246 23 
2 247 23 
2 248 23 
2 249 23 
2 250 23 
2 251 23 
2 252 23 
2 253 23 
2 254 23 
2 255 23 
2 256 23 
2 257 23 
2 258 23 
2 259 23 
2 260 23 
2 261 23 
2 262 23 
2 263 23 
2 264 23 
2 265 23 
2 266 23 
2 267 23 
2 268 23 
2 269 23 
2 270 23 
2 271 23 
2 272 23 
2 273 23 
2 274 23 
2 275 23 
2 276 23 
2 277 23 
2 278 -6325 
3 4 22 
3 5 23 
3 6 23 
3 7 23 
3 8 23 
3 9 23 
3 10 23 
3 11 23 
3 12 23 
3 13 23 
3 14 23 
3 15 23 
3 16 23 
3 17 23 
3 18 23 
3 19 23 
3 20 23 
3 21 23 
3 22 23 
3 23 23 
3 24 23 
3 25 22 
3 26 23 
3 27 23 
3 28 23 
3 29 23 
3 30 23 
3 31 23 
3 32 23 
3 33 23 
3 34 23 
3 35 23 
3 36 23 
3 37 23 
3 38 23 
3 39 23 
3 40 23 
3 41 23 
3 42 23 
3 43 23 
3 44 23 
3 45 23 
3 46 23 
3 47 23 
3 48 23 
3 49 23 
3 50 23 
3 51 23 
3 52 23 
3 53 23 
3 54 23 
3 55 23 
3 56 23 
3 57 23 
3 58 23 
3 59 23 
3 60 23 
3 61 23 
3 62 23 
3 63 23 
3 64 23 
3 65 23 
3 66 23 
3 67 23 
3 68 22 
3 69 22 
3 70 22 
3 71 22 
3 72 22 
3 73 22 
3 74 22 
3 75 22 
3 76 22 
3 77 22 
3 78 22 
3 79 22 
3 80 22 
3 81 22 
3 82 22 
3 83 22 
3 84 22 
3 85 22 
3 86 22 
3 87 22 
3 88 23 
3 89 23 
3 90 23 
3 91 23 
3 92 23 
3 93 23 
3 94 23 
3 95 23 
3 96 23 
3 97 23 
3 98 23 
3 99 23 
3 100 23 
3 101 23 
3 102 23 
3 103 23 
3 104 23 
3 105 23 
3 106 23 
3 107 23 
3 108 23 
3 109 23 
3 110 23 
3 111 23 
3 112 23 
3 113 23 
3 114 23 
3 115 23 
3 116 23 
3 117 23 
3 118 23 
3 119 23 
3 120 23 
3 121 23 
3 122 23 
3 123 23 
3 124 23 
3 125 23 
3 126 23 
3 127 23 
3 128 23 
3 129 23 
3 130 23 
3 131 23 
3 132 23 
3 133 23 
3 134 23 
3 135 23 
3 136 23 
3 137 23 
3 138 23 
