59 550
1 6 4 
1 11 4 
1 12 4 
1 13 4 
1 14 4 
1 15 4 
1 20 4 
1 25 4 
1 26 4 
1 27 4 
1 28 4 
1 29 4 
1 57 4 
1 59 51 
2 3 4 
2 4 4 
2 6 4 
2 7 4 
2 12 4 
2 14 4 
2 16 4 
2 31 4 
2 36 4 
2 38 4 
2 39 4 
2 42 4 
2 53 4 
2 59 51 
3 5 4 
3 6 4 
3 8 4 
3 12 4 
3 15 4 
3 17 4 
3 32 4 
3 37 4 
3 38 4 
3 39 4 
3 43 4 
3 54 4 
3 59 51 
4 5 4 
4 6 4 
4 9 4 
4 13 4 
4 14 4 
4 18 4 
4 33 4 
4 36 4 
4 40 4 
4 41 4 
4 42 4 
4 55 4 
4 59 51 
5 6 4 
5 10 4 
5 13 4 
5 15 4 
5 19 4 
5 34 4 
5 37 4 
5 40 4 
5 41 4 
5 43 4 
5 56 4 
5 59 51 
6 11 4 
6 12 4 
6 13 4 
6 14 4 
6 15 4 
6 20 4 
6 35 4 
6 38 4 
6 40 4 
6 42 4 
6 43 4 
6 57 4 
6 59 67 
7 8 4 
7 9 4 
7 11 4 
7 12 4 
7 14 4 
7 21 4 
7 31 4 
7 44 4 
7 46 4 
7 47 4 
7 50 4 
7 53 4 
7 59 51 
8 10 4 
8 11 4 
8 12 4 
8 15 4 
8 22 4 
8 32 4 
8 45 4 
8 46 4 
8 47 4 
8 51 4 
8 54 4 
8 59 51 
9 10 4 
9 11 4 
9 13 4 
9 14 4 
9 23 4 
9 33 4 
9 44 4 
9 48 4 
9 49 4 
9 50 4 
9 55 4 
9 59 51 
10 11 4 
10 13 4 
10 15 4 
10 24 4 
10 34 4 
10 45 4 
10 48 4 
10 49 4 
10 51 4 
10 56 4 
10 59 51 
11 12 4 
11 13 4 
11 14 4 
11 15 4 
11 25 4 
11 35 4 
11 46 4 
11 48 4 
11 50 4 
11 51 4 
11 57 4 
11 59 67 
12 13 4 
12 14 4 
12 15 4 
12 26 4 
12 38 4 
12 46 4 
12 52 4 
12 53 4 
12 54 4 
12 57 4 
12 59 67 
13 14 4 
13 15 4 
13 27 4 
13 40 4 
13 48 4 
13 52 4 
13 55 4 
13 56 4 
13 57 4 
13 59 67 
14 15 4 
14 28 4 
14 42 4 
14 50 4 
14 53 4 
14 55 4 
14 57 4 
14 58 4 
14 59 67 
15 29 4 
15 43 4 
15 51 4 
15 54 4 
15 56 4 
15 57 4 
15 58 4 
15 59 67 
16 17 4 
16 18 4 
16 20 4 
16 21 4 
16 26 4 
16 28 4 
16 31 4 
16 36 4 
16 38 4 
16 39 4 
16 42 4 
16 53 4 
16 59 51 
17 19 4 
17 20 4 
17 22 4 
17 26 4 
17 29 4 
17 32 4 
17 37 4 
17 38 4 
17 39 4 
17 43 4 
17 54 4 
17 59 51 
18 19 4 
18 20 4 
18 23 4 
18 27 4 
18 28 4 
18 33 4 
18 36 4 
18 40 4 
18 41 4 
18 42 4 
18 55 4 
18 59 51 
19 20 4 
19 24 4 
19 27 4 
19 29 4 
19 34 4 
19 37 4 
19 40 4 
19 41 4 
19 43 4 
19 56 4 
19 59 51 
20 25 4 
20 26 4 
20 27 4 
20 28 4 
20 29 4 
20 35 4 
20 38 4 
20 40 4 
20 42 4 
20 43 4 
20 57 4 
20 59 67 
21 22 4 
21 23 4 
21 25 4 
21 26 4 
21 28 4 
21 31 4 
21 44 4 
21 46 4 
21 47 4 
21 50 4 
21 53 4 
21 59 51 
22 24 4 
22 25 4 
22 26 4 
22 29 4 
22 32 4 
22 45 4 
22 46 4 
22 47 4 
22 51 4 
22 54 4 
22 59 51 
23 24 4 
23 25 4 
23 27 4 
23 28 4 
23 33 4 
23 44 4 
23 48 4 
23 49 4 
23 50 4 
23 55 4 
23 59 51 
24 25 4 
24 27 4 
24 29 4 
24 34 4 
24 45 4 
24 48 4 
24 49 4 
24 51 4 
24 56 4 
24 59 51 
25 26 4 
25 27 4 
25 28 4 
25 29 4 
25 35 4 
25 46 4 
25 48 4 
25 50 4 
25 51 4 
25 57 4 
