327 53301
1 2 47 
1 3 48 
1 4 48 
1 5 48 
1 6 48 
1 7 48 
1 8 48 
1 9 48 
1 10 48 
1 11 48 
1 12 48 
1 13 48 
1 14 48 
1 15 48 
1 16 48 
1 17 48 
1 18 48 
1 19 48 
1 20 48 
1 21 48 
1 22 48 
1 23 48 
1 24 48 
1 25 48 
1 26 48 
1 27 47 
1 28 47 
1 29 47 
1 30 47 
1 31 47 
1 32 47 
1 33 47 
1 34 47 
1 35 47 
1 36 47 
1 37 47 
1 38 47 
1 39 47 
1 40 47 
1 41 47 
1 42 47 
1 43 47 
1 44 47 
1 45 47 
1 46 47 
1 47 47 
1 48 47 
1 49 47 
1 50 47 
1 51 48 
1 52 48 
1 53 48 
1 54 48 
1 55 48 
1 56 48 
1 57 48 
1 58 48 
1 59 48 
1 60 48 
1 61 48 
1 62 48 
1 63 48 
1 64 48 
1 65 48 
1 66 48 
1 67 48 
1 68 48 
1 69 48 
1 70 48 
1 71 48 
1 72 48 
1 73 48 
1 74 48 
1 75 48 
1 76 48 
1 77 48 
1 78 48 
1 79 48 
1 80 48 
1 81 48 
1 82 48 
1 83 48 
1 84 48 
1 85 48 
1 86 48 
1 87 48 
1 88 48 
1 89 48 
1 90 48 
1 91 48 
1 92 48 
1 93 48 
1 94 48 
1 95 48 
1 96 48 
1 97 48 
1 98 48 
1 99 48 
1 100 48 
1 101 48 
1 102 48 
1 103 48 
1 104 48 
1 105 48 
1 106 48 
1 107 48 
1 108 48 
1 109 48 
1 110 48 
1 111 48 
1 112 48 
1 113 48 
1 114 48 
1 115 48 
1 116 48 
1 117 48 
1 118 48 
1 119 48 
1 120 48 
1 121 48 
1 122 48 
1 123 48 
1 124 48 
1 125 48 
1 126 48 
1 127 48 
1 128 48 
1 129 48 
1 130 48 
1 131 48 
1 132 48 
1 133 48 
1 134 48 
1 135 48 
1 136 48 
1 137 48 
1 138 48 
1 139 48 
1 140 48 
1 141 48 
1 142 48 
1 143 48 
1 144 48 
1 145 48 
1 146 48 
1 147 48 
1 148 48 
1 149 48 
1 150 48 
1 151 48 
1 152 48 
1 153 48 
1 154 48 
1 155 48 
1 156 48 
1 157 48 
1 158 48 
1 159 48 
1 160 48 
1 161 48 
1 162 48 
1 163 48 
1 164 48 
1 165 48 
1 166 48 
1 167 48 
1 168 48 
1 169 48 
1 170 48 
1 171 48 
1 172 48 
1 173 48 
1 174 48 
1 175 48 
1 176 48 
1 177 48 
1 178 48 
1 179 48 
1 180 48 
1 181 48 
1 182 48 
1 183 48 
1 184 48 
1 185 48 
1 186 48 
1 187 48 
1 188 48 
1 189 48 
1 190 48 
1 191 48 
1 192 48 
1 193 48 
1 194 48 
1 195 48 
1 196 48 
1 197 48 
1 198 48 
1 199 48 
1 200 48 
1 201 48 
1 202 48 
1 203 48 
1 204 48 
1 205 48 
1 206 48 
1 207 48 
1 208 48 
1 209 48 
1 210 48 
1 211 48 
1 212 48 
1 213 48 
1 214 48 
1 215 48 
1 216 48 
1 217 48 
1 218 48 
1 219 48 
1 220 48 
1 221 48 
1 222 48 
1 223 48 
1 224 48 
1 225 48 
1 226 48 
1 227 48 
1 228 48 
1 229 48 
1 230 48 
1 231 48 
1 232 48 
1 233 48 
1 234 48 
1 235 48 
1 236 48 
1 237 48 
1 238 48 
1 239 48 
1 240 48 
1 241 48 
1 242 48 
1 243 48 
1 244 48 
1 245 48 
1 246 48 
1 247 48 
1 248 48 
1 249 48 
1 250 48 
1 251 48 
1 252 48 
1 253 48 
1 254 48 
1 255 48 
1 256 48 
1 257 48 
1 258 48 
1 259 48 
1 260 48 
1 261 48 
1 262 48 
1 263 48 
1 264 48 
1 265 48 
1 266 48 
1 267 48 
1 268 48 
1 269 48 
1 270 48 
1 271 48 
1 272 48 
1 273 48 
1 274 48 
1 275 48 
1 276 48 
1 277 48 
1 278 48 
1 279 48 
1 280 48 
1 281 48 
1 282 48 
1 283 48 
1 284 48 
1 285 48 
1 286 48 
1 287 48 
1 288 48 
1 289 48 
1 290 48 
1 291 48 
1 292 48 
1 293 48 
1 294 48 
1 295 48 
1 296 48 
1 297 48 
1 298 48 
1 299 48 
1 300 48 
1 301 48 
1 302 48 
1 303 48 
1 304 48 
1 305 48 
1 306 48 
1 307 48 
1 308 48 
1 309 48 
1 310 48 
1 311 48 
1 312 48 
1 313 48 
1 314 48 
1 315 48 
1 316 48 
1 317 48 
1 318 48 
1 319 48 
1 320 48 
1 321 48 
1 322 48 
1 323 48 
1 324 48 
1 325 48 
1 326 48 
1 327 -15456 
2 3 47 
2 4 48 
2 5 48 
2 6 48 
2 7 48 
2 8 48 
2 9 48 
2 10 48 
2 11 48 
2 12 48 
2 13 48 
2 14 48 
2 15 48 
2 16 48 
2 17 48 
2 18 48 
2 19 48 
2 20 48 
2 21 48 
2 22 48 
2 23 48 
2 24 48 
2 25 48 
2 26 48 
2 27 48 
2 28 48 
2 29 48 
2 30 48 
2 31 48 
2 32 48 
2 33 48 
2 34 48 
2 35 48 
2 36 48 
2 37 48 
2 38 48 
2 39 48 
2 40 48 
2 41 48 
2 42 48 
2 43 48 
2 44 48 
2 45 48 
2 46 48 
2 47 48 
2 48 48 
2 49 48 
2 50 48 
2 51 47 
2 52 47 
2 53 47 
2 54 47 
