47 282
1 4 1
1 7 1
1 8 1
1 12 1
1 17 1
1 23 1
1 26 1
1 32 1
1 37 1
1 41 1
1 42 1
1 45 1
2 5 1
2 8 1
2 9 1
2 13 1
2 18 1
2 24 1
2 27 1
2 33 1
2 38 1
2 42 1
2 43 1
2 46 1
3 6 1
3 9 1
3 10 1
3 14 1
3 19 1
3 25 1
3 28 1
3 34 1
3 39 1
3 43 1
3 44 1
3 47 1
4 7 1
4 10 1
4 11 1
4 15 1
4 20 1
4 26 1
4 29 1
4 35 1
4 40 1
4 44 1
4 45 1
5 8 1
5 11 1
5 12 1
5 16 1
5 21 1
5 27 1
5 30 1
5 36 1
5 41 1
5 45 1
5 46 1
6 9 1
6 12 1
6 13 1
6 17 1
6 22 1
6 28 1
6 31 1
6 37 1
6 42 1
6 46 1
6 47 1
7 10 1
7 13 1
7 14 1
7 18 1
7 23 1
7 29 1
7 32 1
7 38 1
7 43 1
7 47 1
8 11 1
8 14 1
8 15 1
8 19 1
8 24 1
8 30 1
8 33 1
8 39 1
8 44 1
9 12 1
9 15 1
9 16 1
9 20 1
9 25 1
9 31 1
9 34 1
9 40 1
9 45 1
10 13 1
10 16 1
10 17 1
10 21 1
10 26 1
10 32 1
10 35 1
10 41 1
10 46 1
11 14 1
11 17 1
11 18 1
11 22 1
11 27 1
11 33 1
11 36 1
11 42 1
11 47 1
12 15 1
12 18 1
12 19 1
12 23 1
12 28 1
12 34 1
12 37 1
12 43 1
13 16 1
13 19 1
13 20 1
13 24 1
13 29 1
13 35 1
13 38 1
13 44 1
14 17 1
14 20 1
14 21 1
14 25 1
14 30 1
14 36 1
14 39 1
14 45 1
15 18 1
15 21 1
15 22 1
15 26 1
15 31 1
15 37 1
15 40 1
15 46 1
16 19 1
16 22 1
16 23 1
16 27 1
16 32 1
16 38 1
16 41 1
16 47 1
17 20 1
17 23 1
17 24 1
17 28 1
17 33 1
17 39 1
17 42 1
18 21 1
18 24 1
18 25 1
18 29 1
18 34 1
18 40 1
18 43 1
19 22 1
19 25 1
19 26 1
19 30 1
19 35 1
19 41 1
19 44 1
20 23 1
20 26 1
20 27 1
20 31 1
20 36 1
20 42 1
20 45 1
21 24 1
21 27 1
21 28 1
21 32 1
21 37 1
21 43 1
21 46 1
22 25 1
22 28 1
22 29 1
22 33 1
22 38 1
22 44 1
22 47 1
23 26 1
23 29 1
23 30 1
23 34 1
23 39 1
23 45 1
24 27 1
24 30 1
24 31 1
24 35 1
24 40 1
24 46 1
25 28 1
25 31 1
25 32 1
25 36 1
25 41 1
25 47 1
26 29 1
26 32 1
26 33 1
26 37 1
26 42 1
27 30 1
27 33 1
27 34 1
27 38 1
27 43 1
28 31 1
28 34 1
28 35 1
28 39 1
28 44 1
29 32 1
29 35 1
29 36 1
29 40 1
29 45 1
30 33 1
30 36 1
30 37 1
30 41 1
30 46 1
31 34 1
31 37 1
31 38 1
31 42 1
31 47 1
32 35 1
32 38 1
32 39 1
32 43 1
33 36 1
33 39 1
33 40 1
33 44 1
34 37 1
34 40 1
34 41 1
34 45 1
35 38 1
35 41 1
35 42 1
35 46 1
36 39 1
36 42 1
36 43 1
36 47 1
37 40 1
37 43 1
37 44 1
38 41 1
38 44 1
38 45 1
39 42 1
39 45 1
39 46 1
40 43 1
40 46 1
40 47 1
41 44 1
41 47 1
42 45 1
43 46 1
44 47 1
