100 783
1 7 1
1 31 1
1 47 1
1 52 1
1 63 1
1 64 1
1 68 1
1 70 1
1 76 1
1 84 1
1 86 1
1 96 1
1 98 1
2 7 1
2 12 1
2 19 1
2 22 1
2 25 1
2 37 1
2 41 1
2 55 1
2 61 1
2 65 1
2 78 1
2 88 1
2 95 1
2 99 1
3 10 1
3 25 1
3 35 1
3 41 1
3 43 1
3 47 1
3 52 1
3 72 1
3 81 1
3 94 1
3 99 1
4 16 1
4 31 1
4 32 1
4 34 1
4 41 1
4 42 1
4 47 1
4 50 1
4 55 1
4 57 1
4 67 1
4 70 1
4 96 1
4 100 1
5 12 1
5 16 1
5 19 1
5 20 1
5 22 1
5 30 1
5 32 1
5 35 1
5 41 1
5 44 1
5 52 1
5 59 1
5 62 1
5 63 1
5 73 1
5 79 1
5 86 1
5 97 1
6 21 1
6 27 1
6 29 1
6 34 1
6 35 1
6 51 1
6 56 1
6 57 1
6 58 1
6 62 1
6 69 1
6 77 1
6 85 1
6 91 1
6 98 1
6 100 1
7 11 1
7 14 1
7 16 1
7 21 1
7 23 1
7 29 1
7 39 1
7 40 1
7 46 1
7 47 1
7 50 1
7 58 1
7 65 1
7 67 1
7 71 1
7 73 1
7 74 1
7 75 1
7 76 1
7 86 1
7 91 1
8 13 1
8 21 1
8 25 1
8 31 1
8 32 1
8 33 1
8 40 1
8 47 1
8 53 1
8 61 1
8 62 1
8 81 1
8 83 1
9 14 1
9 16 1
9 22 1
9 26 1
9 27 1
9 29 1
9 31 1
9 32 1
9 36 1
9 40 1
9 41 1
9 43 1
9 51 1
9 69 1
9 80 1
9 81 1
9 100 1
10 12 1
10 16 1
10 20 1
10 23 1
10 26 1
10 39 1
10 40 1
10 49 1
10 54 1
10 56 1
10 63 1
10 75 1
10 81 1
10 87 1
10 88 1
10 89 1
10 90 1
10 96 1
10 97 1
10 99 1
11 15 1
11 20 1
11 23 1
11 30 1
11 35 1
11 42 1
11 52 1
11 54 1
11 55 1
11 56 1
11 59 1
11 66 1
11 67 1
11 68 1
11 72 1
11 73 1
11 78 1
12 18 1
12 23 1
12 31 1
12 38 1
12 41 1
12 44 1
12 46 1
12 47 1
12 53 1
12 61 1
12 67 1
12 76 1
12 81 1
12 86 1
12 93 1
12 95 1
13 16 1
13 22 1
13 26 1
13 33 1
13 39 1
13 45 1
13 52 1
13 54 1
13 64 1
13 65 1
13 70 1
13 73 1
13 84 1
13 88 1
13 92 1
13 99 1
14 22 1
14 42 1
14 61 1
14 75 1
14 78 1
14 79 1
14 88 1
14 100 1
15 16 1
15 19 1
15 20 1
15 26 1
15 30 1
15 34 1
15 41 1
15 53 1
15 63 1
15 69 1
15 78 1
15 87 1
15 91 1
15 93 1
15 95 1
15 96 1
15 99 1
16 17 1
16 26 1
16 33 1
16 48 1
16 57 1
16 59 1
16 66 1
16 67 1
16 79 1
16 81 1
17 18 1
17 28 1
17 31 1
17 37 1
17 62 1
17 74 1
17 82 1
17 83 1
17 98 1
18 27 1
18 35 1
18 41 1
18 51 1
18 56 1
18 65 1
18 67 1
18 69 1
18 72 1
18 76 1
18 77 1
19 22 1
19 43 1
19 47 1
19 53 1
19 54 1
19 55 1
19 63 1
19 68 1
19 75 1
19 81 1
19 82 1
19 85 1
19 92 1
20 34 1
20 40 1
20 42 1
20 47 1
20 48 1
20 51 1
20 54 1
20 56 1
20 61 1
20 64 1
20 67 1
20 71 1
20 82 1
20 86 1
20 92 1
21 25 1
21 33 1
21 38 1
21 44 1
21 46 1
21 63 1
21 70 1
21 80 1
21 87 1
21 97 1
22 28 1
22 30 1
22 33 1
22 44 1
22 52 1
22 53 1
22 55 1
22 60 1
22 68 1
22 72 1
22 87 1
22 91 1
22 92 1
22 98 1
23 24 1
23 33 1
23 36 1
23 47 1
23 52 1
23 57 1
23 62 1
23 63 1
23 68 1
23 71 1
23 74 1
23 81 1
23 97 1
24 27 1
24 45 1
24 48 1
24 50 1
24 52 1
24 61 1
24 62 1
24 63 1
24 92 1
24 95 1
25 29 1
25 39 1
25 45 1
25 50 1
25 58 1
25 73 1
25 75 1
25 76 1
25 79 1
25 86 1
25 94 1
25 99 1
26 36 1
26 40 1
26 43 1
26 53 1
26 54 1
26 69 1
26 77 1
26 84 1
26 94 1
26 95 1
26 96 1
27 47 1
27 49 1
27 62 1
27 76 1
27 84 1
28 29 1
28 39 1
28 40 1
28 48 1
28 51 1
28 52 1
28 54 1
28 64 1
28 70 1
28 73 1
28 83 1
28 84 1
29 52 1
29 57 1
29 66 1
29 67 1
29 70 1
29 79 1
29 87 1
29 90 1
29 92 1
30 31 1
30 44 1
30 54 1
30 60 1
30 77 1
30 82 1
30 85 1
30 96 1
31 40 1
31 43 1
31 60 1
31 63 1
31 73 1
31 74 1
31 79 1
31 80 1
31 82 1
31 84 1
31 90 1
31 96 1
31 98 1
32 34 1
32 47 1
32 53 1
32 58 1
32 62 1
32 65 1
32 68 1
32 69 1
32 70 1
32 72 1
32 73 1
32 77 1
32 79 1
32 81 1
32 88 1
32 98 1
33 39 1
33 40 1
33 42 1
33 54 1
33 56 1
33 58 1
33 71 1
33 76 1
33 84 1
33 88 1
33 90 1
33 91 1
34 42 1
34 44 1
34 45 1
34 51 1
34 70 1
34 74 1
34 82 1
34 83 1
34 84 1
34 86 1
34 87 1
34 89 1
34 91 1
34 96 1
35 36 1
35 40 1
35 41 1
35 51 1
35 52 1
35 54 1
35 60 1
35 62 1
35 65 1
35 76 1
35 85 1
35 91 1
35 95 1
35 98 1
36 46 1
36 49 1
36 52 1
36 54 1
36 58 1
36 61 1
36 78 1
36 86 1
36 90 1
36 94 1
36 96 1
37 51 1
37 59 1
37 60 1
37 67 1
37 74 1
37 75 1
37 81 1
37 87 1
37 96 1
38 41 1
38 43 1
38 46 1
38 49 1
38 53 1
38 65 1
38 76 1
38 85 1
38 88 1
38 98 1
39 44 1
39 60 1
39 68 1
39 71 1
39 78 1
39 79 1
39 87 1
39 94 1
40 47 1
40 67 1
40 74 1
40 78 1
41 54 1
41 61 1
41 64 1
41 73 1
41 78 1
41 80 1
41 94 1
42 57 1
43 47 1
43 50 1
43 69 1
43 75 1
43 76 1
43 80 1
43 81 1
43 95 1
44 51 1
44 63 1
44 73 1
44 74 1
44 75 1
44 77 1
45 51 1
45 55 1
45 58 1
45 59 1
45 77 1
45 87 1
45 89 1
45 96 1
46 65 1
46 80 1
46 81 1
46 83 1
46 84 1
46 88 1
46 94 1
46 95 1
46 99 1
47 49 1
47 67 1
47 68 1
47 85 1
47 87 1
47 89 1
47 94 1
47 95 1
47 100 1
48 52 1
48 68 1
48 76 1
48 80 1
48 87 1
48 93 1
48 95 1
49 59 1
49 61 1
49 81 1
49 83 1
49 98 1
50 51 1
50 52 1
50 55 1
50 66 1
50 71 1
50 73 1
50 77 1
50 79 1
50 81 1
50 93 1
50 100 1
51 56 1
51 70 1
51 73 1
51 75 1
51 78 1
51 85 1
51 92 1
51 97 1
52 56 1
52 65 1
52 66 1
52 75 1
52 83 1
52 85 1
52 87 1
52 91 1
52 93 1
52 95 1
52 100 1
53 58 1
53 63 1
53 65 1
53 71 1
53 72 1
53 77 1
53 86 1
53 93 1
53 94 1
54 59 1
54 61 1
54 66 1
54 79 1
54 84 1
54 88 1
54 99 1
55 57 1
55 59 1
55 60 1
55 78 1
55 80 1
55 81 1
55 82 1
55 86 1
55 89 1
56 65 1
56 66 1
56 68 1
56 71 1
56 87 1
56 88 1
56 98 1
56 100 1
57 64 1
57 67 1
57 70 1
57 76 1
57 78 1
57 79 1
57 80 1
57 91 1
57 92 1
58 59 1
58 61 1
58 64 1
58 70 1
58 76 1
58 79 1
58 82 1
58 97 1
59 70 1
59 73 1
59 78 1
