100 720
1 5 1
1 12 1
1 30 1
1 43 1
1 54 1
1 56 1
1 60 1
1 69 1
1 73 1
1 94 1
2 9 1
2 18 1
2 19 1
2 30 1
2 43 1
2 50 1
2 64 1
2 65 1
2 66 1
2 67 1
2 78 1
2 80 1
2 84 1
3 6 1
3 35 1
3 54 1
3 58 1
3 76 1
3 79 1
3 81 1
3 84 1
3 85 1
3 95 1
3 97 1
4 9 1
4 23 1
4 24 1
4 27 1
4 38 1
4 45 1
4 52 1
4 60 1
4 61 1
4 62 1
4 64 1
4 66 1
4 67 1
4 76 1
4 77 1
4 84 1
4 86 1
4 91 1
5 9 1
5 10 1
5 12 1
5 13 1
5 21 1
5 27 1
5 39 1
5 51 1
5 53 1
5 63 1
5 66 1
5 67 1
5 73 1
5 77 1
5 83 1
5 89 1
5 90 1
5 92 1
6 11 1
6 15 1
6 16 1
6 17 1
6 21 1
6 23 1
6 24 1
6 43 1
6 45 1
6 49 1
6 59 1
6 70 1
6 75 1
6 80 1
6 81 1
6 85 1
6 87 1
6 91 1
7 19 1
7 25 1
7 26 1
7 35 1
7 41 1
7 45 1
7 49 1
7 61 1
8 16 1
8 20 1
8 32 1
8 47 1
8 49 1
8 62 1
8 68 1
8 82 1
8 85 1
8 86 1
8 93 1
8 95 1
8 97 1
8 99 1
9 18 1
9 30 1
9 32 1
9 33 1
9 36 1
9 39 1
9 43 1
9 48 1
9 53 1
9 57 1
9 60 1
9 65 1
9 68 1
9 77 1
9 80 1
9 84 1
9 87 1
9 93 1
9 95 1
9 98 1
10 12 1
10 23 1
10 35 1
10 39 1
10 40 1
10 43 1
10 51 1
10 54 1
10 68 1
10 82 1
10 99 1
10 100 1
11 31 1
11 36 1
11 38 1
11 39 1
11 50 1
11 55 1
11 70 1
12 13 1
12 21 1
12 27 1
12 36 1
12 53 1
12 57 1
12 63 1
12 93 1
12 99 1
12 100 1
13 29 1
13 37 1
13 41 1
13 52 1
13 60 1
13 65 1
13 72 1
13 80 1
13 83 1
13 88 1
13 92 1
13 96 1
13 97 1
14 19 1
14 20 1
14 27 1
14 30 1
14 31 1
14 35 1
14 36 1
14 41 1
14 46 1
14 47 1
14 48 1
14 52 1
14 65 1
14 66 1
14 70 1
14 76 1
14 80 1
15 17 1
15 21 1
15 24 1
15 27 1
15 37 1
15 43 1
15 45 1
15 51 1
15 60 1
15 63 1
15 74 1
15 76 1
15 87 1
15 93 1
16 17 1
16 21 1
16 22 1
16 66 1
16 79 1
16 91 1
16 92 1
16 95 1
16 97 1
16 98 1
17 21 1
17 22 1
17 25 1
17 41 1
17 51 1
17 57 1
17 58 1
17 70 1
17 71 1
17 78 1
17 79 1
17 86 1
17 91 1
17 93 1
17 94 1
17 96 1
18 26 1
18 31 1
18 34 1
18 36 1
18 43 1
18 59 1
18 62 1
18 66 1
18 75 1
18 83 1
18 98 1
19 20 1
19 32 1
19 35 1
19 48 1
19 49 1
19 63 1
19 73 1
19 96 1
20 25 1
20 34 1
20 35 1
20 43 1
20 46 1
20 51 1
20 54 1
20 62 1
20 72 1
20 77 1
20 80 1
20 90 1
20 99 1
20 100 1
21 25 1
21 29 1
21 31 1
21 35 1
21 36 1
21 40 1
21 44 1
21 68 1
21 69 1
21 80 1
21 88 1
21 92 1
21 94 1
22 27 1
22 34 1
22 38 1
22 44 1
22 47 1
22 53 1
22 65 1
22 68 1
22 91 1
23 32 1
23 45 1
23 48 1
23 55 1
23 56 1
23 69 1
23 75 1
23 77 1
23 92 1
23 93 1
23 94 1
24 26 1
24 32 1
24 36 1
24 45 1
24 49 1
24 50 1
24 52 1
24 55 1
24 64 1
24 66 1
24 72 1
24 74 1
24 83 1
24 85 1
24 89 1
24 100 1
25 41 1
25 47 1
25 56 1
25 68 1
25 74 1
25 75 1
25 89 1
25 93 1
25 97 1
25 100 1
26 32 1
26 37 1
26 40 1
26 46 1
26 48 1
26 75 1
26 98 1
27 33 1
27 38 1
27 41 1
27 44 1
27 52 1
27 56 1
27 58 1
27 62 1
27 64 1
27 67 1
27 69 1
27 71 1
27 72 1
27 73 1
27 78 1
27 87 1
27 96 1
27 98 1
27 99 1
28 29 1
28 32 1
28 33 1
28 36 1
28 41 1
28 56 1
28 58 1
28 80 1
28 98 1
29 38 1
29 48 1
29 57 1
29 63 1
29 64 1
29 71 1
29 77 1
29 85 1
29 93 1
29 94 1
30 44 1
30 48 1
30 51 1
30 53 1
30 56 1
30 60 1
30 75 1
30 91 1
30 92 1
30 100 1
31 44 1
31 47 1
31 55 1
31 67 1
31 84 1
31 90 1
31 91 1
31 93 1
31 97 1
31 100 1
32 42 1
32 43 1
32 58 1
32 76 1
32 85 1
32 92 1
32 93 1
33 50 1
33 51 1
33 55 1
33 59 1
33 63 1
33 66 1
33 70 1
33 81 1
33 82 1
34 36 1
34 55 1
34 64 1
34 66 1
34 70 1
34 77 1
35 36 1
35 46 1
35 55 1
35 64 1
35 67 1
35 71 1
35 79 1
35 84 1
35 93 1
36 47 1
36 55 1
36 68 1
36 71 1
36 75 1
36 82 1
36 97 1
36 100 1
37 54 1
37 64 1
37 65 1
37 67 1
37 84 1
38 39 1
38 41 1
38 49 1
38 60 1
38 66 1
38 76 1
38 88 1
38 90 1
38 94 1
39 52 1
39 68 1
39 71 1
39 87 1
39 89 1
39 93 1
39 98 1
40 46 1
40 47 1
40 50 1
40 61 1
40 96 1
40 100 1
41 42 1
41 43 1
41 66 1
41 67 1
41 68 1
41 70 1
41 72 1
41 73 1
41 74 1
41 76 1
41 81 1
41 85 1
41 87 1
41 93 1
42 46 1
42 47 1
42 57 1
42 81 1
42 92 1
42 97 1
43 50 1
43 58 1
43 68 1
43 96 1
43 99 1
44 49 1
44 52 1
44 64 1
44 66 1
44 70 1
44 74 1
44 79 1
44 83 1
44 84 1
44 89 1
44 95 1
45 61 1
45 62 1
45 64 1
45 87 1
46 50 1
46 70 1
46 77 1
46 83 1
46 88 1
47 53 1
47 62 1
47 79 1
47 85 1
47 86 1
47 92 1
48 51 1
48 53 1
48 54 1
48 55 1
48 59 1
48 61 1
48 62 1
48 63 1
48 68 1
48 79 1
48 80 1
48 92 1
48 96 1
49 52 1
49 58 1
49 59 1
49 77 1
49 78 1
49 86 1
49 89 1
49 92 1
49 94 1
49 100 1
50 51 1
50 67 1
50 73 1
50 87 1
50 95 1
50 99 1
51 53 1
51 54 1
51 57 1
51 62 1
51 71 1
51 87 1
51 96 1
52 55 1
52 78 1
53 60 1
53 61 1
53 98 1
54 74 1
54 78 1
54 92 1
54 100 1
55 62 1
55 63 1
55 64 1
55 76 1
55 94 1
55 96 1
55 99 1
56 59 1
56 61 1
56 62 1
56 64 1
56 67 1
56 70 1
56 71 1
56 73 1
56 76 1
56 93 1
57 67 1
57 82 1
57 88 1
57 100 1
58 65 1
58 67 1
58 80 1
58 81 1
58 86 1
58 88 1
58 91 1
58 92 1
59 60 1
59 63 1
59 80 1
59 87 1
59 94 1
59 96 1
59 99 1
59 100 1
60 61 1
60 85 1
60 87 1
60 90 1
60 91 1
60 97 1
61 66 1
61 72 1
61 81 1
61 85 1
61 92 1
61 94 1
62 70 1
62 77 1
62 79 1
62 80 1
62 93 1
62 94 1
62 95 1
62 98 1
63 65 1
63 74 1
63 88 1
63 91 1
63 93 1
63 96 1
63 98 1
64 65 1
64 72 1
64 73 1
64 77 1
64 79 1
64 80 1
64 87 1
64 90 1
64 97 1
65 74 1
66 69 1
66 71 1
66 75 1
66 79 1
67 72 1
67 85 1
67 89 1
67 93 1
67 99 1
67 100 1
68 69 1
68 70 1
68 84 1
68 93 1
68 98 1
68 99 1
69 74 1
69 78 1
69 79 1
69 82 1
69 88 1
69 92 1
69 99 1
70 74 1
70 75 1
70 85 1
70 87 1
70 90 1
70 92 1
71 76 1
72 75 1
72 79 1
72 82 1
72 84 1
72 93 1
72 100 1
73 80 1
73 83 1
73 84 1
73 85 1
73 88 1
73 95 1
74 89 1
74 97 1
75 87 1
75 91 1
75 95 1
75 97 1
76 80 1
76 81 1
76 84 1
76 88 1
76 91 1
76 94 1
76 95 1
77 83 1
77 85 1
77 87 1
78 86 1
79 80 1
79 81 1
79 85 1
79 91 1
79 100 1
80 87 1
80 92 1
81 83 1
81 85 1
81 88 1
81 90 1
81 92 1
82 100 1
84 85 1
84 88 1
84 96 1
84 100 1
85 87 1
85 90 1
85 99 1
86 87 1
86 90 1
86 98 1
87 95 1
87 96 1
87 97 1
87 99 1
88 89 1
88 92 1
88 94 1
88 97 1
89 95 1
91 93 1
92 95 1
93 100 1
95 100 1
96 97 1
97 99 1
98 99 1
