1000 244799
2 1 1
3 1 1
5 2 1
5 4 1
6 1 1
7 3 1
7 5 1
8 1 1
8 3 1
8 5 1
8 6 1
9 3 1
9 4 1
9 6 1
9 8 1
10 1 1
10 3 1
10 8 1
11 2 1
11 3 1
11 4 1
11 5 1
11 9 1
11 10 1
12 2 1
12 8 1
12 10 1
13 2 1
13 3 1
13 8 1
13 9 1
13 12 1
14 1 1
14 2 1
14 7 1
14 9 1
15 2 1
15 3 1
15 6 1
15 7 1
15 8 1
15 9 1
15 11 1
15 12 1
16 3 1
16 5 1
16 9 1
16 11 1
17 1 1
17 2 1
17 4 1
17 8 1
17 9 1
17 11 1
17 12 1
17 14 1
17 15 1
17 16 1
18 2 1
18 4 1
18 5 1
18 7 1
18 9 1
18 10 1
18 11 1
18 12 1
18 14 1
18 15 1
19 2 1
19 3 1
19 4 1
19 8 1
19 15 1
19 17 1
20 1 1
20 2 1
20 4 1
20 5 1
20 6 1
20 8 1
20 9 1
20 12 1
20 14 1
20 15 1
20 16 1
20 17 1
20 18 1
20 19 1
21 2 1
21 3 1
21 5 1
21 7 1
21 8 1
21 11 1
21 12 1
21 13 1
21 15 1
21 18 1
21 19 1
21 20 1
22 2 1
22 4 1
22 7 1
22 9 1
22 14 1
22 15 1
22 19 1
22 20 1
22 21 1
23 4 1
23 8 1
23 10 1
23 11 1
23 15 1
23 18 1
23 19 1
23 20 1
23 21 1
23 22 1
24 2 1
24 3 1
24 4 1
24 5 1
24 8 1
24 10 1
24 11 1
24 16 1
24 17 1
24 18 1
24 19 1
24 20 1
24 22 1
24 23 1
25 4 1
25 6 1
25 8 1
25 9 1
25 10 1
25 11 1
25 15 1
25 18 1
25 20 1
25 21 1
25 23 1
25 24 1
26 1 1
26 3 1
26 8 1
26 9 1
26 13 1
26 19 1
26 20 1
26 23 1
26 24 1
27 3 1
27 4 1
27 5 1
27 6 1
27 8 1
27 10 1
27 12 1
27 13 1
27 15 1
27 16 1
27 17 1
27 18 1
27 21 1
27 22 1
27 23 1
27 24 1
27 25 1
27 26 1
28 2 1
28 8 1
28 11 1
28 19 1
28 20 1
28 21 1
28 22 1
28 23 1
28 25 1
29 1 1
29 2 1
29 3 1
29 8 1
29 9 1
29 11 1
29 12 1
29 14 1
29 15 1
29 16 1
29 17 1
29 18 1
29 20 1
29 21 1
29 22 1
29 23 1
29 24 1
29 25 1
29 27 1
29 28 1
30 2 1
30 8 1
30 9 1
30 16 1
30 19 1
30 20 1
30 21 1
30 23 1
30 28 1
31 1 1
31 8 1
31 10 1
31 11 1
31 19 1
31 20 1
31 25 1
31 27 1
32 4 1
32 8 1
32 9 1
32 11 1
32 15 1
32 16 1
32 18 1
32 19 1
32 20 1
32 21 1
32 23 1
32 26 1
32 28 1
32 29 1
33 2 1
33 5 1
33 6 1
33 7 1
33 8 1
33 9 1
33 10 1
33 11 1
33 12 1
33 13 1
33 14 1
33 15 1
33 16 1
33 17 1
33 18 1
33 20 1
33 23 1
33 24 1
33 25 1
33 27 1
33 28 1
33 29 1
34 1 1
34 2 1
34 9 1
34 10 1
34 12 1
34 18 1
34 19 1
34 20 1
34 21 1
34 22 1
34 23 1
34 24 1
34 25 1
34 26 1
34 27 1
34 28 1
34 33 1
35 1 1
35 2 1
35 4 1
35 5 1
35 6 1
35 7 1
35 8 1
35 9 1
35 10 1
35 11 1
35 12 1
35 15 1
35 16 1
35 18 1
35 19 1
35 20 1
35 23 1
35 24 1
35 26 1
35 27 1
35 29 1
35 34 1
36 3 1
36 4 1
36 8 1
36 9 1
36 12 1
36 16 1
36 18 1
36 20 1
36 22 1
36 25 1
36 27 1
36 29 1
36 34 1
37 1 1
37 3 1
37 4 1
37 5 1
37 8 1
37 9 1
37 10 1
37 11 1
37 12 1
37 13 1
37 15 1
37 17 1
37 18 1
37 20 1
37 25 1
37 28 1
37 29 1
37 30 1
37 35 1
37 36 1
38 1 1
38 2 1
38 3 1
38 5 1
38 6 1
38 7 1
38 8 1
38 9 1
38 10 1
38 11 1
38 14 1
38 15 1
38 16 1
38 17 1
38 18 1
38 19 1
38 20 1
38 21 1
38 22 1
38 23 1
38 27 1
38 28 1
38 29 1
38 30 1
38 31 1
38 32 1
38 33 1
38 34 1
38 35 1
38 36 1
38 37 1
39 1 1
39 5 1
39 6 1
39 8 1
39 9 1
39 11 1
39 17 1
39 18 1
39 19 1
39 20 1
39 21 1
39 23 1
39 24 1
39 27 1
39 29 1
39 31 1
39 33 1
39 37 1
39 38 1
40 5 1
40 6 1
40 9 1
40 11 1
40 13 1
40 15 1
40 18 1
40 19 1
40 20 1
40 22 1
40 27 1
40 33 1
40 35 1
40 38 1
40 39 1
41 6 1
41 8 1
41 11 1
41 12 1
41 15 1
41 16 1
41 17 1
41 20 1
41 24 1
41 27 1
41 33 1
41 37 1
41 38 1
42 9 1
42 12 1
42 20 1
42 27 1
42 32 1
42 35 1
42 36 1
43 3 1
43 4 1
43 9 1
43 13 1
43 15 1
43 16 1
43 18 1
43 19 1
43 20 1
43 23 1
43 24 1
43 27 1
43 29 1
43 31 1
43 32 1
43 33 1
43 34 1
43 38 1
43 39 1
43 40 1
43 42 1
44 4 1
44 7 1
44 8 1
44 12 1
44 13 1
44 14 1
44 15 1
44 17 1
44 19 1
44 23 1
44 27 1
44 34 1
44 39 1
44 43 1
45 1 1
45 2 1
45 5 1
45 15 1
45 16 1
45 18 1
45 25 1
45 29 1
45 32 1
45 33 1
45 38 1
45 39 1
45 43 1
45 44 1
46 1 1
46 2 1
46 8 1
46 9 1
46 12 1
46 19 1
46 20 1
46 22 1
46 25 1
46 27 1
46 33 1
46 34 1
46 38 1
46 43 1
46 44 1
47 4 1
47 8 1
47 9 1
47 13 1
47 15 1
47 17 1
47 21 1
47 22 1
47 25 1
47 26 1
47 28 1
47 29 1
47 31 1
47 33 1
47 38 1
47 39 1
47 42 1
48 1 1
48 2 1
48 4 1
48 6 1
48 7 1
48 8 1
48 9 1
48 10 1
48 11 1
48 12 1
48 13 1
48 18 1
48 20 1
48 21 1
48 24 1
48 25 1
48 26 1
48 27 1
48 29 1
48 30 1
48 31 1
48 32 1
48 33 1
48 34 1
48 37 1
48 39 1
48 41 1
48 42 1
48 43 1
49 1 1
49 5 1
49 8 1
49 10 1
49 11 1
49 17 1
49 20 1
49 24 1
49 25 1
49 27 1
49 29 1
49 31 1
49 35 1
49 36 1
49 41 1
49 43 1
49 48 1
50 2 1
50 3 1
50 7 1
50 8 1
50 10 1
50 14 1
50 15 1
50 20 1
50 21 1
50 23 1
50 24 1
50 34 1
50 35 1
50 37 1
50 43 1
50 44 1
50 45 1
50 47 1
51 1 1
51 5 1
51 6 1
51 7 1
51 8 1
51 9 1
51 10 1
51 11 1
51 15 1
51 16 1
51 18 1
51 19 1
51 20 1
51 22 1
51 23 1
51 27 1
51 28 1
51 32 1
51 33 1
51 34 1
51 35 1
51 36 1
51 37 1
51 38 1
51 41 1
51 43 1
51 44 1
51 45 1
51 46 1
51 48 1
52 1 1
52 5 1
52 6 1
52 8 1
52 9 1
52 16 1
52 17 1
52 18 1
52 19 1
52 20 1
52 22 1
52 27 1
52 30 1
52 32 1
52 33 1
52 37 1
52 39 1
52 40 1
52 41 1
52 43 1
52 44 1
52 45 1
52 47 1
52 50 1
53 1 1
53 3 1
53 4 1
53 6 1
53 8 1
53 9 1
53 12 1
53 14 1
53 15 1
53 16 1
53 18 1
53 19 1
53 20 1
53 21 1
53 22 1
53 24 1
53 25 1
53 26 1
53 27 1
53 28 1
53 30 1
53 32 1
53 33 1
53 35 1
53 37 1
53 39 1
53 41 1
53 43 1
53 44 1
53 48 1
53 50 1
53 52 1
54 1 1
54 4 1
54 6 1
54 8 1
54 10 1
54 15 1
54 16 1
54 18 1
54 19 1
54 20 1
54 21 1
54 23 1
54 24 1
54 28 1
54 29 1
54 35 1
54 36 1
54 38 1
54 39 1
54 43 1
54 46 1
54 48 1
54 51 1
55 2 1
55 7 1
55 9 1
55 11 1
55 14 1
55 17 1
55 23 1
55 28 1
55 29 1
55 32 1
55 33 1
55 41 1
55 43 1
55 47 1
55 53 1
56 7 1
56 8 1
56 10 1
56 15 1
56 20 1
56 22 1
56 23 1
56 27 1
56 29 1
56 30 1
56 33 1
56 38 1
56 43 1
56 46 1
56 47 1
56 49 1
56 51 1
56 52 1
56 54 1
57 1 1
57 5 1
57 8 1
57 10 1
57 12 1
57 15 1
57 20 1
57 23 1
57 25 1
57 29 1
57 33 1
57 34 1
57 36 1
57 37 1
57 38 1
57 39 1
57 40 1
57 44 1
57 48 1
57 53 1
58 2 1
58 3 1
58 4 1
58 9 1
58 11 1
58 15 1
58 21 1
58 25 1
58 26 1
58 28 1
58 29 1
58 30 1
58 33 1
58 35 1
58 38 1
58 46 1
58 48 1
58 51 1
58 57 1
59 2 1
59 3 1
59 4 1
59 5 1
59 8 1
59 9 1
59 11 1
59 17 1
59 18 1
59 20 1
59 22 1
59 23 1
59 24 1
59 26 1
59 28 1
59 29 1
59 33 1
59 34 1
59 35 1
59 37 1
59 38 1
59 39 1
59 40 1
59 41 1
59 42 1
59 45 1
59 49 1
59 51 1
59 52 1
59 56 1
60 2 1
60 8 1
60 9 1
60 10 1
60 15 1
60 16 1
