150 2031
2 5 1
1 6 1
4 7 1
1 8 1
4 10 1
1 11 1
4 11 1
5 11 1
9 11 1
1 12 1
9 13 1
2 15 1
3 16 1
4 16 1
1 17 1
2 17 1
3 17 1
4 17 1
11 17 1
13 18 1
14 18 1
16 18 1
6 19 1
8 19 1
11 19 1
18 19 1
7 20 1
17 20 1
1 22 1
3 22 1
5 22 1
9 22 1
14 22 1
15 22 1
2 23 1
5 23 1
9 23 1
17 23 1
19 23 1
22 23 1
1 24 1
2 24 1
3 24 1
7 24 1
12 24 1
18 24 1
1 25 1
7 25 1
11 25 1
12 25 1
20 25 1
22 25 1
23 25 1
24 25 1
10 26 1
15 26 1
22 26 1
23 26 1
9 27 1
10 27 1
14 27 1
17 27 1
20 27 1
23 27 1
2 28 1
6 28 1
11 28 1
3 29 1
8 29 1
12 29 1
19 29 1
21 29 1
23 29 1
7 30 1
9 30 1
10 30 1
14 30 1
28 30 1
4 31 1
14 31 1
5 32 1
10 32 1
15 32 1
16 32 1
23 32 1
13 33 1
20 33 1
21 33 1
28 33 1
29 33 1
32 33 1
2 34 1
3 34 1
10 34 1
15 34 1
18 34 1
20 34 1
28 34 1
2 35 1
14 35 1
17 35 1
23 35 1
28 35 1
30 35 1
31 35 1
3 36 1
9 36 1
14 36 1
21 36 1
31 36 1
6 37 1
7 37 1
18 37 1
19 37 1
24 37 1
32 37 1
3 38 1
12 38 1
17 38 1
18 38 1
20 38 1
24 38 1
25 38 1
29 38 1
35 38 1
37 38 1
8 39 1
11 39 1
12 39 1
22 39 1
28 39 1
6 40 1
12 40 1
16 40 1
22 40 1
24 40 1
30 40 1
36 40 1
38 40 1
9 41 1
11 41 1
29 41 1
31 41 1
35 41 1
27 42 1
38 42 1
41 42 1
8 43 1
9 43 1
11 43 1
16 43 1
22 43 1
24 43 1
27 43 1
33 43 1
36 43 1
39 43 1
42 43 1
5 44 1
9 44 1
10 44 1
15 44 1
16 44 1
20 44 1
21 44 1
23 44 1
28 44 1
41 44 1
42 44 1
43 44 1
4 45 1
7 45 1
9 45 1
14 45 1
15 45 1
18 45 1
21 45 1
31 45 1
41 45 1
44 45 1
5 46 1
6 46 1
7 46 1
17 46 1
20 46 1
29 46 1
35 46 1
37 46 1
39 46 1
2 47 1
4 47 1
6 47 1
24 47 1
26 47 1
27 47 1
31 47 1
42 47 1
3 48 1
5 48 1
11 48 1
12 48 1
22 48 1
24 48 1
38 48 1
39 48 1
46 48 1
47 48 1
8 49 1
19 49 1
22 49 1
25 49 1
26 49 1
27 49 1
31 49 1
37 49 1
38 49 1
48 49 1
13 50 1
23 50 1
25 50 1
29 50 1
36 50 1
43 50 1
2 51 1
7 51 1
24 51 1
33 51 1
35 51 1
36 51 1
37 51 1
39 51 1
41 51 1
47 51 1
3 52 1
10 52 1
18 52 1
20 52 1
26 52 1
33 52 1
37 52 1
44 52 1
48 52 1
5 53 1
8 53 1
11 53 1
14 53 1
16 53 1
18 53 1
19 53 1
23 53 1
34 53 1
36 53 1
45 53 1
47 53 1
1 54 1
2 54 1
3 54 1
26 54 1
39 54 1
42 54 1
47 54 1
50 54 1
53 54 1
9 55 1
14 55 1
18 55 1
22 55 1
29 55 1
33 55 1
36 55 1
43 55 1
51 55 1
54 55 1
3 56 1
4 56 1
25 56 1
26 56 1
40 56 1
1 57 1
11 57 1
18 57 1
19 57 1
23 57 1
26 57 1
27 57 1
38 57 1
46 57 1
53 57 1
54 57 1
1 58 1
6 58 1
20 58 1
32 58 1
37 58 1
40 58 1
45 58 1
52 58 1
3 59 1
7 59 1
9 59 1
10 59 1
14 59 1
20 59 1
24 59 1
29 59 1
32 59 1
42 59 1
44 59 1
45 59 1
46 59 1
47 59 1
48 59 1
49 59 1
50 59 1
53 59 1
6 60 1
9 60 1
10 60 1
21 60 1
23 60 1
24 60 1
30 60 1
40 60 1
45 60 1
52 60 1
57 60 1
13 61 1
22 61 1
28 61 1
29 61 1
30 61 1
32 61 1
33 61 1
43 61 1
57 61 1
60 61 1
1 62 1
2 62 1
14 62 1
