302 45451
1 2 66 
1 3 67 
1 4 67 
1 5 67 
1 6 67 
1 7 67 
1 8 67 
1 9 67 
1 10 67 
1 11 67 
1 12 67 
1 13 67 
1 14 67 
1 15 67 
1 16 67 
1 17 67 
1 18 67 
1 19 67 
1 20 67 
1 21 67 
1 22 67 
1 23 67 
1 24 67 
1 25 67 
1 26 66 
1 27 66 
1 28 66 
1 29 66 
1 30 66 
1 31 66 
1 32 66 
1 33 66 
1 34 66 
1 35 66 
1 36 66 
1 37 66 
1 38 66 
1 39 66 
1 40 66 
1 41 66 
1 42 66 
1 43 66 
1 44 66 
1 45 66 
1 46 66 
1 47 66 
1 48 66 
1 49 67 
1 50 67 
1 51 67 
1 52 67 
1 53 67 
1 54 67 
1 55 67 
1 56 67 
1 57 67 
1 58 67 
1 59 67 
1 60 67 
1 61 67 
1 62 67 
1 63 67 
1 64 67 
1 65 67 
1 66 67 
1 67 67 
1 68 67 
1 69 67 
1 70 67 
1 71 67 
1 72 67 
1 73 67 
1 74 67 
1 75 67 
1 76 67 
1 77 67 
1 78 67 
1 79 67 
1 80 67 
1 81 67 
1 82 67 
1 83 67 
1 84 67 
1 85 67 
1 86 67 
1 87 67 
1 88 67 
1 89 67 
1 90 67 
1 91 67 
1 92 67 
1 93 67 
1 94 67 
1 95 67 
1 96 67 
1 97 67 
1 98 67 
1 99 67 
1 100 67 
1 101 67 
1 102 67 
1 103 67 
1 104 67 
1 105 67 
1 106 67 
1 107 67 
1 108 67 
1 109 67 
1 110 67 
1 111 67 
1 112 67 
1 113 67 
1 114 67 
1 115 67 
1 116 67 
1 117 67 
1 118 67 
1 119 67 
1 120 67 
1 121 67 
1 122 67 
1 123 67 
1 124 67 
1 125 67 
1 126 67 
1 127 67 
1 128 67 
1 129 67 
1 130 67 
1 131 67 
1 132 67 
1 133 67 
1 134 67 
1 135 67 
1 136 67 
1 137 67 
1 138 67 
1 139 67 
1 140 67 
1 141 67 
1 142 67 
1 143 67 
1 144 67 
1 145 67 
1 146 67 
1 147 67 
1 148 67 
1 149 67 
1 150 67 
1 151 67 
1 152 67 
1 153 67 
1 154 67 
1 155 67 
1 156 67 
1 157 67 
1 158 67 
1 159 67 
1 160 67 
1 161 67 
1 162 67 
1 163 67 
1 164 67 
1 165 67 
1 166 67 
1 167 67 
1 168 67 
1 169 67 
1 170 67 
1 171 67 
1 172 67 
1 173 67 
1 174 67 
1 175 67 
1 176 67 
1 177 67 
1 178 67 
1 179 67 
1 180 67 
1 181 67 
1 182 67 
1 183 67 
1 184 67 
1 185 67 
1 186 67 
1 187 67 
1 188 67 
1 189 67 
1 190 67 
1 191 67 
1 192 67 
1 193 67 
1 194 67 
1 195 67 
1 196 67 
1 197 67 
1 198 67 
1 199 67 
1 200 67 
1 201 67 
1 202 67 
1 203 67 
1 204 67 
1 205 67 
1 206 67 
1 207 67 
1 208 67 
1 209 67 
1 210 67 
1 211 67 
1 212 67 
1 213 67 
1 214 67 
1 215 67 
1 216 67 
1 217 67 
1 218 67 
1 219 67 
1 220 67 
1 221 67 
1 222 67 
