173 14878
1 2 485 
1 3 486 
1 4 486 
1 5 486 
1 6 486 
1 7 486 
1 8 486 
1 9 486 
1 10 486 
1 11 486 
1 12 486 
1 13 486 
1 14 486 
1 15 486 
1 16 486 
1 17 486 
1 18 486 
1 19 486 
1 20 485 
1 21 485 
1 22 485 
1 23 485 
1 24 485 
1 25 485 
1 26 485 
1 27 485 
1 28 485 
1 29 485 
1 30 485 
1 31 485 
1 32 485 
1 33 485 
1 34 485 
1 35 485 
1 36 485 
1 37 486 
1 38 486 
1 39 486 
1 40 486 
1 41 486 
1 42 486 
1 43 486 
1 44 486 
1 45 486 
1 46 486 
1 47 486 
1 48 486 
1 49 486 
1 50 486 
1 51 486 
1 52 486 
1 53 486 
1 54 486 
1 55 486 
1 56 486 
1 57 486 
1 58 486 
1 59 486 
1 60 486 
1 61 486 
1 62 486 
1 63 486 
1 64 486 
1 65 486 
1 66 486 
1 67 486 
1 68 486 
1 69 486 
1 70 486 
1 71 486 
1 72 486 
1 73 486 
1 74 486 
1 75 486 
1 76 486 
1 77 486 
1 78 486 
1 79 486 
1 80 486 
1 81 486 
1 82 486 
1 83 486 
1 84 486 
1 85 486 
1 86 486 
1 87 486 
1 88 486 
1 89 486 
1 90 486 
1 91 486 
1 92 486 
1 93 486 
1 94 486 
1 95 486 
1 96 486 
1 97 486 
1 98 486 
1 99 486 
1 100 486 
1 101 486 
1 102 486 
1 103 486 
1 104 486 
1 105 486 
1 106 486 
1 107 486 
1 108 486 
1 109 486 
1 110 486 
1 111 486 
1 112 486 
1 113 486 
1 114 486 
1 115 486 
1 116 486 
1 117 486 
1 118 486 
1 119 486 
1 120 486 
1 121 486 
1 122 486 
1 123 486 
1 124 486 
1 125 486 
1 126 486 
1 127 486 
1 128 486 
1 129 486 
1 130 486 
1 131 486 
1 132 486 
1 133 486 
1 134 486 
1 135 486 
1 136 486 
1 137 486 
1 138 486 
1 139 486 
1 140 486 
1 141 486 
1 142 486 
1 143 486 
1 144 486 
1 145 486 
1 146 486 
1 147 486 
1 148 486 
1 149 486 
1 150 486 
1 151 486 
1 152 486 
1 153 486 
1 154 486 
1 155 486 
1 156 486 
1 157 486 
1 158 486 
1 159 486 
1 160 486 
1 161 486 
1 162 486 
1 163 486 
1 164 486 
1 165 486 
1 166 486 
1 167 486 
1 168 486 
1 169 486 
1 170 486 
1 171 486 
1 172 486 
1 173 972 
2 3 485 
2 4 486 
2 5 486 
2 6 486 
2 7 486 
2 8 486 
2 9 486 
2 10 486 
2 11 486 
2 12 486 
2 13 486 
2 14 486 
2 15 486 
2 16 486 
2 17 486 
2 18 486 
2 19 486 
2 20 486 
2 21 486 
2 22 486 
2 23 486 
2 24 486 
2 25 486 
2 26 486 
2 27 486 
2 28 486 
2 29 486 
2 30 486 
2 31 486 
2 32 486 
2 33 486 
2 34 486 
2 35 486 
2 36 486 
2 37 485 
2 38 485 
2 39 485 
2 40 485 
2 41 485 
2 42 485 
2 43 485 
2 44 485 
2 45 485 
2 46 485 
2 47 485 
2 48 485 
2 49 485 
2 50 485 
