353 62128
1 2 72 
1 3 73 
1 4 73 
1 5 73 
1 6 73 
1 7 73 
1 8 73 
1 9 73 
1 10 73 
1 11 73 
1 12 73 
1 13 73 
1 14 73 
1 15 73 
1 16 73 
1 17 73 
1 18 73 
1 19 73 
1 20 73 
1 21 73 
1 22 73 
1 23 73 
1 24 73 
1 25 73 
1 26 73 
1 27 73 
1 28 72 
1 29 72 
1 30 72 
1 31 72 
1 32 72 
1 33 72 
1 34 72 
1 35 72 
1 36 72 
1 37 72 
1 38 72 
1 39 72 
1 40 72 
1 41 72 
1 42 72 
1 43 72 
1 44 72 
1 45 72 
1 46 72 
1 47 72 
1 48 72 
1 49 72 
1 50 72 
1 51 72 
1 52 72 
1 53 73 
1 54 73 
1 55 73 
1 56 73 
1 57 73 
1 58 73 
1 59 73 
1 60 73 
1 61 73 
1 62 73 
1 63 73 
1 64 73 
1 65 73 
1 66 73 
1 67 73 
1 68 73 
1 69 73 
1 70 73 
1 71 73 
1 72 73 
1 73 73 
1 74 73 
1 75 73 
1 76 73 
1 77 73 
1 78 73 
1 79 73 
1 80 73 
1 81 73 
1 82 73 
1 83 73 
1 84 73 
1 85 73 
1 86 73 
1 87 73 
1 88 73 
1 89 73 
1 90 73 
1 91 73 
1 92 73 
1 93 73 
1 94 73 
1 95 73 
1 96 73 
1 97 73 
1 98 73 
1 99 73 
1 100 73 
1 101 73 
1 102 73 
1 103 73 
1 104 73 
1 105 73 
1 106 73 
1 107 73 
1 108 73 
1 109 73 
1 110 73 
1 111 73 
1 112 73 
1 113 73 
1 114 73 
1 115 73 
1 116 73 
1 117 73 
1 118 73 
1 119 73 
1 120 73 
1 121 73 
1 122 73 
1 123 73 
1 124 73 
1 125 73 
1 126 73 
1 127 73 
1 128 73 
1 129 73 
1 130 73 
1 131 73 
1 132 73 
1 133 73 
1 134 73 
1 135 73 
1 136 73 
1 137 73 
1 138 73 
1 139 73 
1 140 73 
1 141 73 
1 142 73 
1 143 73 
1 144 73 
1 145 73 
1 146 73 
1 147 73 
1 148 73 
1 149 73 
1 150 73 
1 151 73 
1 152 73 
1 153 73 
1 154 73 
1 155 73 
1 156 73 
1 157 73 
1 158 73 
1 159 73 
1 160 73 
1 161 73 
1 162 73 
1 163 73 
1 164 73 
1 165 73 
1 166 73 
1 167 73 
1 168 73 
1 169 73 
1 170 73 
1 171 73 
1 172 73 
1 173 73 
1 174 73 
1 175 73 
1 176 73 
1 177 73 
1 178 73 
1 179 73 
1 180 73 
1 181 73 
1 182 73 
1 183 73 
1 184 73 
1 185 73 
1 186 73 
1 187 73 
1 188 73 
1 189 73 
1 190 73 
1 191 73 
1 192 73 
1 193 73 
1 194 73 
1 195 73 
1 196 73 
1 197 73 
1 198 73 
1 199 73 
1 200 73 
1 201 73 
1 202 73 
1 203 73 
1 204 73 
1 205 73 
1 206 73 
1 207 73 
1 208 73 
1 209 73 
1 210 73 
1 211 73 
1 212 73 
1 213 73 
1 214 73 
1 215 73 
1 216 73 
1 217 73 
1 218 73 
1 219 73 
1 220 73 
1 221 73 
1 222 73 
1 223 73 
1 224 73 
1 225 73 
1 226 73 
1 227 73 
1 228 73 
1 229 73 
1 230 73 
1 231 73 
1 232 73 
1 233 73 
1 234 73 
1 235 73 
1 236 73 
1 237 73 
1 238 73 
1 239 73 
1 240 73 
1 241 73 
1 242 73 
1 243 73 
1 244 73 
1 245 73 
1 246 73 
1 247 73 
1 248 73 
1 249 73 
1 250 73 
1 251 73 
1 252 73 
1 253 73 
1 254 73 
1 255 73 
1 256 73 
1 257 73 
