192 18336
1 2 560 
1 3 561 
1 4 561 
1 5 561 
1 6 561 
1 7 561 
1 8 561 
1 9 561 
1 10 561 
1 11 561 
1 12 561 
1 13 561 
1 14 561 
1 15 561 
1 16 561 
1 17 561 
1 18 561 
1 19 561 
1 20 561 
1 21 560 
1 22 560 
1 23 560 
1 24 560 
1 25 560 
1 26 560 
1 27 560 
1 28 560 
1 29 560 
1 30 560 
1 31 560 
1 32 560 
1 33 560 
1 34 560 
1 35 560 
1 36 560 
1 37 560 
1 38 560 
1 39 561 
1 40 561 
1 41 561 
1 42 561 
1 43 561 
1 44 561 
1 45 561 
1 46 561 
1 47 561 
1 48 561 
1 49 561 
1 50 561 
1 51 561 
1 52 561 
1 53 561 
1 54 561 
1 55 561 
1 56 561 
1 57 561 
1 58 561 
1 59 561 
1 60 561 
1 61 561 
1 62 561 
1 63 561 
1 64 561 
1 65 561 
1 66 561 
1 67 561 
1 68 561 
1 69 561 
1 70 561 
1 71 561 
1 72 561 
1 73 561 
1 74 561 
1 75 561 
1 76 561 
1 77 561 
1 78 561 
1 79 561 
1 80 561 
1 81 561 
1 82 561 
1 83 561 
1 84 561 
1 85 561 
1 86 561 
1 87 561 
1 88 561 
1 89 561 
1 90 561 
1 91 561 
1 92 561 
1 93 561 
1 94 561 
1 95 561 
1 96 561 
1 97 561 
1 98 561 
1 99 561 
1 100 561 
1 101 561 
1 102 561 
1 103 561 
1 104 561 
1 105 561 
1 106 561 
1 107 561 
1 108 561 
1 109 561 
1 110 561 
1 111 561 
1 112 561 
1 113 561 
1 114 561 
1 115 561 
1 116 561 
1 117 561 
1 118 561 
1 119 561 
1 120 561 
1 121 561 
1 122 561 
1 123 561 
1 124 561 
1 125 561 
1 126 561 
1 127 561 
1 128 561 
1 129 561 
1 130 561 
1 131 561 
1 132 561 
1 133 561 
1 134 561 
1 135 561 
1 136 561 
1 137 561 
1 138 561 
1 139 561 
1 140 561 
1 141 561 
1 142 561 
1 143 561 
1 144 561 
1 145 561 
1 146 561 
1 147 561 
1 148 561 
1 149 561 
1 150 561 
1 151 561 
1 152 561 
1 153 561 
1 154 561 
1 155 561 
1 156 561 
1 157 561 
1 158 561 
1 159 561 
1 160 561 
1 161 561 
1 162 561 
1 163 561 
1 164 561 
1 165 561 
1 166 561 
1 167 561 
1 168 561 
1 169 561 
1 170 561 
1 171 561 
1 172 561 
1 173 561 
1 174 561 
1 175 561 
1 176 561 
1 177 561 
1 178 561 
1 179 561 
1 180 561 
1 181 561 
1 182 561 
1 183 561 
1 184 561 
1 185 561 
1 186 561 
1 187 561 
1 188 561 
1 189 561 
1 190 561 
1 191 561 
1 192 1683 
2 3 560 
2 4 561 
2 5 561 
2 6 561 
2 7 561 
2 8 561 
2 9 561 
2 10 561 
2 11 561 
2 12 561 
2 13 561 
2 14 561 
2 15 561 
2 16 561 
2 17 561 
2 18 561 
2 19 561 
2 20 561 
2 21 561 
2 22 561 
2 23 561 
2 24 561 
2 25 561 
2 26 561 
2 27 561 
2 28 561 
2 29 561 
2 30 561 
2 31 561 
2 32 561 
2 33 561 
2 34 561 
2 35 561 
2 36 561 
2 37 561 
2 38 561 
2 39 560 
2 40 560 
2 41 560 
2 42 560 
2 43 560 
2 44 560 
2 45 560 
2 46 560 
2 47 560 
2 48 560 
