30 435
1 2 34 
1 3 35 
1 4 35 
1 5 35 
1 6 35 
1 7 35 
1 8 35 
1 9 34 
1 10 34 
1 11 34 
1 12 34 
1 13 34 
1 14 34 
1 15 35 
1 16 35 
1 17 35 
1 18 35 
1 19 35 
1 20 35 
1 21 35 
1 22 35 
1 23 35 
1 24 35 
1 25 35 
1 26 35 
1 27 35 
1 28 35 
1 29 35 
1 30 35 
2 3 34 
2 4 35 
2 5 35 
2 6 35 
2 7 35 
2 8 35 
2 9 35 
2 10 35 
2 11 35 
2 12 35 
2 13 35 
2 14 35 
2 15 34 
2 16 34 
2 17 34 
2 18 34 
2 19 34 
2 20 35 
2 21 35 
2 22 35 
2 23 35 
2 24 35 
2 25 35 
2 26 35 
2 27 35 
2 28 35 
2 29 35 
2 30 35 
3 4 34 
3 5 35 
3 6 35 
3 7 35 
3 8 35 
3 9 34 
3 10 35 
3 11 35 
3 12 35 
3 13 35 
3 14 35 
3 15 35 
3 16 35 
3 17 35 
3 18 35 
3 19 35 
3 20 34 
3 21 34 
3 22 34 
3 23 34 
3 24 35 
3 25 35 
3 26 35 
3 27 35 
3 28 35 
3 29 35 
3 30 35 
4 5 34 
4 6 35 
4 7 35 
4 8 35 
4 9 35 
4 10 34 
4 11 35 
4 12 35 
4 13 35 
4 14 35 
4 15 34 
4 16 35 
4 17 35 
4 18 35 
4 19 35 
4 20 35 
4 21 35 
4 22 35 
4 23 35 
4 24 34 
4 25 34 
4 26 34 
4 27 35 
4 28 35 
4 29 35 
4 30 35 
5 6 34 
5 7 35 
5 8 35 
5 9 35 
5 10 35 
5 11 34 
5 12 35 
5 13 35 
5 14 35 
5 15 35 
5 16 34 
5 17 35 
5 18 35 
5 19 35 
5 20 34 
5 21 35 
5 22 35 
5 23 35 
5 24 35 
5 25 35 
5 26 35 
5 27 34 
5 28 34 
5 29 35 
5 30 35 
6 7 34 
6 8 35 
6 9 35 
6 10 35 
6 11 35 
6 12 34 
6 13 35 
6 14 35 
6 15 35 
6 16 35 
6 17 34 
6 18 35 
6 19 35 
6 20 35 
6 21 34 
6 22 35 
6 23 35 
6 24 34 
6 25 35 
6 26 35 
6 27 35 
6 28 35 
6 29 34 
6 30 35 
7 8 34 
7 9 35 
7 10 35 
7 11 35 
7 12 35 
7 13 34 
7 14 35 
7 15 35 
7 16 35 
7 17 35 
7 18 34 
7 19 35 
7 20 35 
7 21 35 
7 22 34 
7 23 35 
7 24 35 
7 25 34 
7 26 35 
7 27 34 
7 28 35 
7 29 35 
7 30 35 
8 9 35 
8 10 35 
8 11 35 
8 12 35 
8 13 35 
8 14 34 
8 15 35 
8 16 35 
8 17 35 
8 18 35 
8 19 34 
8 20 35 
8 21 35 
8 22 35 
8 23 34 
8 24 35 
8 25 35 
8 26 34 
8 27 35 
8 28 34 
8 29 34 
8 30 35 
9 10 34 
9 11 34 
9 12 34 
9 13 34 
9 14 34 
9 15 35 
9 16 35 
9 17 35 
9 18 35 
9 19 35 
9 20 35 
9 21 35 
9 22 35 
9 23 35 
9 24 35 
9 25 35 
9 26 35 
9 27 35 
9 28 35 
9 29 35 
9 30 35 
10 11 34 
10 12 34 
10 13 34 
10 14 34 
10 15 34 
10 16 35 
10 17 35 
10 18 35 
10 19 35 
10 20 35 
10 21 35 
10 22 35 
10 23 35 
10 24 35 
10 25 35 
10 26 35 
10 27 35 
10 28 35 
10 29 35 
10 30 35 
11 12 34 
11 13 34 
11 14 34 
11 15 35 
11 16 34 
11 17 35 
11 18 35 
11 19 35 
11 20 34 
11 21 35 
11 22 35 
11 23 35 
11 24 35 
11 25 35 
11 26 35 
11 27 35 
11 28 35 
11 29 35 
11 30 35 
12 13 34 
12 14 34 
12 15 35 
12 16 35 
12 17 34 
12 18 35 
12 19 35 
12 20 35 
12 21 34 
12 22 35 
12 23 35 
12 24 34 
12 25 35 
12 26 35 
12 27 35 
12 28 35 
12 29 35 
12 30 35 
13 14 34 
13 15 35 
13 16 35 
13 17 35 
13 18 34 
13 19 35 
13 20 35 
13 21 35 
13 22 34 
13 23 35 
13 24 35 
13 25 34 
13 26 35 
13 27 34 
13 28 35 
13 29 35 
13 30 35 
14 15 35 
14 16 35 
14 17 35 
14 18 35 
14 19 34 
14 20 35 
14 21 35 
14 22 35 
14 23 34 
14 24 35 
14 25 35 
14 26 34 
14 27 35 
14 28 34 
14 29 34 
14 30 35 
15 16 34 
15 17 34 
15 18 34 
15 19 34 
15 20 35 
15 21 35 
15 22 35 
15 23 35 
15 24 35 
15 25 35 
15 26 35 
15 27 35 
15 28 35 
15 29 35 
15 30 35 
16 17 34 
16 18 34 
16 19 34 
16 20 34 
16 21 35 
16 22 35 
16 23 35 
16 24 35 
16 25 35 
16 26 35 
16 27 35 
16 28 35 
16 29 35 
16 30 35 
17 18 34 
17 19 34 
17 20 35 
17 21 34 
17 22 35 
17 23 35 
17 24 34 
17 25 35 
17 26 35 
17 27 35 
17 28 35 
17 29 35 
17 30 35 
18 19 34 
18 20 35 
18 21 35 
18 22 34 
18 23 35 
18 24 35 
18 25 34 
18 26 35 
18 27 34 
18 28 35 
18 29 35 
18 30 35 
19 20 35 
19 21 35 
19 22 35 
19 23 34 
19 24 35 
19 25 35 
19 26 34 
19 27 35 
19 28 34 
19 29 34 
19 30 35 
20 21 34 
20 22 34 
20 23 34 
20 24 35 
20 25 35 
20 26 35 
20 27 35 
20 28 35 
20 29 35 
20 30 35 
21 22 34 
21 23 34 
21 24 34 
21 25 35 
21 26 35 
21 27 35 
21 28 35 
21 29 35 
21 30 35 
22 23 34 
22 24 35 
22 25 34 
22 26 35 
22 27 34 
22 28 35 
22 29 35 
22 30 35 
23 24 35 
23 25 35 
23 26 34 
23 27 35 
23 28 34 
23 29 34 
23 30 35 
24 25 34 
24 26 34 
24 27 35 
24 28 35 
24 29 35 
24 30 35 
25 26 34 
25 27 34 
25 28 35 
25 29 35 
25 30 35 
26 27 35 
26 28 34 
26 29 34 
26 30 35 
27 28 34 
27 29 35 
27 30 35 
28 29 34 
28 30 35 
29 30 35 
