192 18336
1 2 551 
1 3 552 
1 4 552 
1 5 552 
1 6 552 
1 7 552 
1 8 552 
1 9 552 
1 10 552 
1 11 552 
1 12 552 
1 13 552 
1 14 552 
1 15 552 
1 16 552 
1 17 552 
1 18 552 
1 19 552 
1 20 552 
1 21 551 
1 22 551 
1 23 551 
1 24 551 
1 25 551 
1 26 551 
1 27 551 
1 28 551 
1 29 551 
1 30 551 
1 31 551 
1 32 551 
1 33 551 
1 34 551 
1 35 551 
1 36 551 
1 37 551 
1 38 551 
1 39 552 
1 40 552 
1 41 552 
1 42 552 
1 43 552 
1 44 552 
1 45 552 
1 46 552 
1 47 552 
1 48 552 
1 49 552 
1 50 552 
1 51 552 
1 52 552 
1 53 552 
1 54 552 
1 55 552 
1 56 552 
1 57 552 
1 58 552 
1 59 552 
1 60 552 
1 61 552 
1 62 552 
1 63 552 
1 64 552 
1 65 552 
1 66 552 
1 67 552 
1 68 552 
1 69 552 
1 70 552 
1 71 552 
1 72 552 
1 73 552 
1 74 552 
1 75 552 
1 76 552 
1 77 552 
1 78 552 
1 79 552 
1 80 552 
1 81 552 
1 82 552 
1 83 552 
1 84 552 
1 85 552 
1 86 552 
1 87 552 
1 88 552 
1 89 552 
1 90 552 
1 91 552 
1 92 552 
1 93 552 
1 94 552 
1 95 552 
1 96 552 
1 97 552 
1 98 552 
1 99 552 
1 100 552 
1 101 552 
1 102 552 
1 103 552 
1 104 552 
1 105 552 
1 106 552 
1 107 552 
1 108 552 
1 109 552 
1 110 552 
1 111 552 
1 112 552 
1 113 552 
1 114 552 
1 115 552 
1 116 552 
1 117 552 
1 118 552 
1 119 552 
1 120 552 
1 121 552 
1 122 552 
1 123 552 
1 124 552 
1 125 552 
1 126 552 
1 127 552 
1 128 552 
1 129 552 
1 130 552 
1 131 552 
1 132 552 
1 133 552 
1 134 552 
1 135 552 
1 136 552 
1 137 552 
1 138 552 
1 139 552 
1 140 552 
1 141 552 
1 142 552 
1 143 552 
1 144 552 
1 145 552 
1 146 552 
1 147 552 
1 148 552 
1 149 552 
1 150 552 
1 151 552 
1 152 552 
1 153 552 
1 154 552 
1 155 552 
1 156 552 
1 157 552 
1 158 552 
1 159 552 
1 160 552 
1 161 552 
1 162 552 
1 163 552 
1 164 552 
1 165 552 
1 166 552 
1 167 552 
1 168 552 
1 169 552 
1 170 552 
1 171 552 
1 172 552 
1 173 552 
1 174 552 
1 175 552 
1 176 552 
1 177 552 
1 178 552 
1 179 552 
1 180 552 
1 181 552 
1 182 552 
1 183 552 
1 184 552 
1 185 552 
1 186 552 
1 187 552 
1 188 552 
1 189 552 
1 190 552 
1 191 552 
1 192 3864 
2 3 551 
2 4 552 
2 5 552 
2 6 552 
2 7 552 
2 8 552 
2 9 552 
2 10 552 
2 11 552 
2 12 552 
2 13 552 
2 14 552 
2 15 552 
2 16 552 
2 17 552 
2 18 552 
2 19 552 
2 20 552 
2 21 552 
2 22 552 
2 23 552 
2 24 552 
2 25 552 
2 26 552 
2 27 552 
2 28 552 
2 29 552 
2 30 552 
2 31 552 
2 32 552 
2 33 552 
2 34 552 
2 35 552 
2 36 552 
2 37 552 
2 38 552 
2 39 551 
2 40 551 
2 41 551 
2 42 551 
2 43 551 
2 44 551 
2 45 551 
2 46 551 
2 47 551 
2 48 551 
2 49 551 
2 50 551 
2 51 551 
2 52 551 
2 53 551 
2 54 551 
2 55 551 
2 56 552 
2 57 552 
2 58 552 
2 59 552 
2 60 552 
2 61 552 
2 62 552 
2 63 552 
2 64 552 
2 65 552 
2 66 552 
2 67 552 
2 68 552 
2 69 552 
2 70 552 
2 71 552 
2 72 552 
2 73 552 
2 74 552 
2 75 552 
2 76 552 
2 77 552 
2 78 552 
2 79 552 
2 80 552 
2 81 552 
2 82 552 
2 83 552 
2 84 552 
2 85 552 
2 86 552 
2 87 552 
2 88 552 
2 89 552 
2 90 552 
2 91 552 
2 92 552 
2 93 552 
2 94 552 
2 95 552 
2 96 552 
2 97 552 
2 98 552 
2 99 552 
2 100 552 
2 101 552 
2 102 552 
2 103 552 
2 104 552 
2 105 552 
2 106 552 
2 107 552 
2 108 552 
2 109 552 
2 110 552 
2 111 552 
2 112 552 
2 113 552 
2 114 552 
2 115 552 
2 116 552 
2 117 552 
2 118 552 
2 119 552 
2 120 552 
2 121 552 
2 122 552 
2 123 552 
2 124 552 
2 125 552 
2 126 552 
2 127 552 
2 128 552 
2 129 552 
2 130 552 
2 131 552 
2 132 552 
2 133 552 
2 134 552 
2 135 552 
2 136 552 
2 137 552 
2 138 552 
2 139 552 
2 140 552 
2 141 552 
2 142 552 
2 143 552 
2 144 552 
2 145 552 
2 146 552 
2 147 552 
2 148 552 
2 149 552 
2 150 552 
2 151 552 
2 152 552 
2 153 552 
2 154 552 
2 155 552 
2 156 552 
2 157 552 
2 158 552 
2 159 552 
2 160 552 
2 161 552 
2 162 552 
2 163 552 
2 164 552 
2 165 552 
2 166 552 
2 167 552 
2 168 552 
2 169 552 
2 170 552 
2 171 552 
2 172 552 
2 173 552 
2 174 552 
2 175 552 
2 176 552 
2 177 552 
2 178 552 
2 179 552 
2 180 552 
2 181 552 
2 182 552 
2 183 552 
2 184 552 
2 185 552 
2 186 552 
2 187 552 
2 188 552 
2 189 552 
2 190 552 
2 191 552 
2 192 3864 
3 4 551 
3 5 552 
3 6 552 
3 7 552 
3 8 552 
3 9 552 
3 10 552 
3 11 552 
3 12 552 
3 13 552 
3 14 552 
3 15 552 
3 16 552 
3 17 552 
3 18 552 
3 19 552 
3 20 552 
3 21 551 
3 22 552 
3 23 552 
3 24 552 
3 25 552 
3 26 552 
3 27 552 
3 28 552 
3 29 552 
3 30 552 
3 31 552 
3 32 552 
3 33 552 
3 34 552 
3 35 552 
3 36 552 
3 37 552 
3 38 552 
3 39 552 
3 40 552 
3 41 552 
3 42 552 
3 43 552 
3 44 552 
3 45 552 
3 46 552 
3 47 552 
3 48 552 
3 49 552 
3 50 552 
3 51 552 
3 52 552 
3 53 552 
3 54 552 
3 55 552 
3 56 551 
3 57 551 
3 58 551 
3 59 551 
3 60 551 
3 61 551 
3 62 551 
3 63 551 
3 64 551 
3 65 551 
3 66 551 
3 67 551 
3 68 551 
3 69 551 
3 70 551 
3 71 551 
3 72 552 
3 73 552 
3 74 552 
3 75 552 
3 76 552 
3 77 552 
3 78 552 
3 79 552 
3 80 552 
3 81 552 
3 82 552 
3 83 552 
3 84 552 
3 85 552 
3 86 552 
3 87 552 
3 88 552 
3 89 552 
3 90 552 
3 91 552 
3 92 552 
3 93 552 
3 94 552 
3 95 552 
3 96 552 
3 97 552 
3 98 552 
3 99 552 
3 100 552 
3 101 552 
3 102 552 
3 103 552 
3 104 552 
3 105 552 
3 106 552 
3 107 552 
3 108 552 
3 109 552 
3 110 552 
3 111 552 
3 112 552 
3 113 552 
3 114 552 
3 115 552 
3 116 552 
3 117 552 
3 118 552 
3 119 552 
3 120 552 
3 121 552 
3 122 552 
3 123 552 
3 124 552 
3 125 552 
3 126 552 
3 127 552 
3 128 552 
3 129 552 
3 130 552 
3 131 552 
3 132 552 
3 133 552 
3 134 552 
3 135 552 
3 136 552 
3 137 552 
3 138 552 
3 139 552 
3 140 552 
3 141 552 
3 142 552 
3 143 552 
3 144 552 
3 145 552 
3 146 552 
3 147 552 
3 148 552 
3 149 552 
3 150 552 
3 151 552 
3 152 552 
3 153 552 
3 154 552 
3 155 552 
3 156 552 
3 157 552 
3 158 552 
3 159 552 
3 160 552 
3 161 552 
3 162 552 
3 163 552 
3 164 552 
3 165 552 
3 166 552 
3 167 552 
3 168 552 
3 169 552 
3 170 552 
3 171 552 
3 172 552 
3 173 552 
3 174 552 
3 175 552 
3 176 552 
3 177 552 
3 178 552 
3 179 552 
3 180 552 
3 181 552 
3 182 552 
3 183 552 
3 184 552 
3 185 552 
3 186 552 
3 187 552 
3 188 552 
3 189 552 
3 190 552 
3 191 552 
3 192 3864 
4 5 551 
4 6 552 
4 7 552 
4 8 552 
4 9 552 
4 10 552 
4 11 552 
4 12 552 
4 13 552 
4 14 552 
4 15 552 
4 16 552 
4 17 552 
4 18 552 
4 19 552 
4 20 552 
4 21 552 
4 22 551 
4 23 552 
4 24 552 
4 25 552 
4 26 552 
4 27 552 
4 28 552 
4 29 552 
4 30 552 
4 31 552 
4 32 552 
4 33 552 
4 34 552 
4 35 552 
4 36 552 
4 37 552 
4 38 552 
4 39 551 
4 40 552 
4 41 552 
4 42 552 
4 43 552 
4 44 552 
4 45 552 
4 46 552 
4 47 552 
4 48 552 
4 49 552 
4 50 552 
4 51 552 
4 52 552 
4 53 552 
4 54 552 
4 55 552 
4 56 552 
4 57 552 
4 58 552 
4 59 552 
4 60 552 
4 61 552 
4 62 552 
4 63 552 
4 64 552 
4 65 552 
4 66 552 
4 67 552 
4 68 552 
4 69 552 
4 70 552 
4 71 552 
4 72 551 
4 73 551 
4 74 551 
4 75 551 
4 76 551 
4 77 551 
4 78 551 
4 79 551 
4 80 551 
4 81 551 
4 82 551 
4 83 551 
4 84 551 
4 85 551 
4 86 551 
4 87 552 
4 88 552 
4 89 552 
4 90 552 
4 91 552 
4 92 552 
4 93 552 
4 94 552 
4 95 552 
4 96 552 
4 97 552 
4 98 552 
4 99 552 
4 100 552 
4 101 552 
4 102 552 
4 103 552 
4 104 552 
4 105 552 
4 106 552 
4 107 552 
4 108 552 
4 109 552 
4 110 552 
4 111 552 
4 112 552 
4 113 552 
4 114 552 
4 115 552 
4 116 552 
4 117 552 
4 118 552 
4 119 552 
4 120 552 
4 121 552 
4 122 552 
4 123 552 
4 124 552 
4 125 552 
4 126 552 
4 127 552 
4 128 552 
4 129 552 
4 130 552 
4 131 552 
4 132 552 
4 133 552 
4 134 552 
4 135 552 
4 136 552 
4 137 552 
4 138 552 
4 139 552 
4 140 552 
4 141 552 
4 142 552 
4 143 552 
4 144 552 
4 145 552 
4 146 552 
4 147 552 
4 148 552 
4 149 552 
4 150 552 
4 151 552 
4 152 552 
4 153 552 
4 154 552 
4 155 552 
4 156 552 
4 157 552 
4 158 552 
4 159 552 
4 160 552 
4 161 552 
4 162 552 
4 163 552 
4 164 552 
4 165 552 
4 166 552 
4 167 552 
4 168 552 
4 169 552 
4 170 552 
4 171 552 
4 172 552 
4 173 552 
4 174 552 
4 175 552 
4 176 552 
4 177 552 
4 178 552 
4 179 552 
4 180 552 
4 181 552 
4 182 552 
4 183 552 
4 184 552 
4 185 552 
4 186 552 
4 187 552 
4 188 552 
4 189 552 
4 190 552 
4 191 552 
4 192 3864 
5 6 551 
5 7 552 
5 8 552 
5 9 552 
5 10 552 
5 11 552 
5 12 552 
5 13 552 
5 14 552 
5 15 552 
5 16 552 
5 17 552 
5 18 552 
5 19 552 
5 20 552 
5 21 552 
5 22 552 
5 23 551 
5 24 552 
5 25 552 
5 26 552 
5 27 552 
5 28 552 
5 29 552 
5 30 552 
5 31 552 
5 32 552 
5 33 552 
5 34 552 
5 35 552 
5 36 552 
5 37 552 
5 38 552 
5 39 552 
5 40 551 
5 41 552 
5 42 552 
5 43 552 
5 44 552 
5 45 552 
5 46 552 
5 47 552 
5 48 552 
5 49 552 
5 50 552 
5 51 552 
5 52 552 
5 53 552 
5 54 552 
5 55 552 
5 56 551 
5 57 552 
5 58 552 
5 59 552 
5 60 552 
5 61 552 
5 62 552 
5 63 552 
5 64 552 
5 65 552 
5 66 552 
5 67 552 
5 68 552 
5 69 552 
5 70 552 
5 71 552 
5 72 552 
5 73 552 
5 74 552 
5 75 552 
5 76 552 
5 77 552 
5 78 552 
5 79 552 
5 80 552 
5 81 552 
5 82 552 
5 83 552 
5 84 552 
5 85 552 
5 86 552 
5 87 551 
5 88 551 
5 89 551 
5 90 551 
5 91 551 
5 92 551 
5 93 551 
5 94 551 
5 95 551 
5 96 551 
5 97 551 
5 98 551 
5 99 551 
5 100 551 
5 101 552 
5 102 552 
5 103 552 
5 104 552 
5 105 552 
5 106 552 
5 107 552 
5 108 552 
5 109 552 
5 110 552 
5 111 552 
5 112 552 
5 113 552 
