301 5662
1 2 587 
1 3 587 
1 4 587 
1 5 587 
1 6 587 
1 11 587 
1 16 587 
1 21 587 
1 26 587 
1 31 587 
1 36 587 
1 41 587 
1 46 587 
1 51 587 
1 56 587 
1 61 587 
1 66 587 
1 71 587 
1 76 587 
1 81 587 
1 86 587 
1 91 587 
1 96 587 
1 101 587 
1 106 587 
1 111 587 
1 116 587 
1 121 587 
1 126 587 
1 131 587 
1 136 587 
1 141 587 
1 146 587 
1 151 587 
1 156 587 
1 161 587 
1 166 587 
1 171 587 
1 176 587 
1 181 587 
1 186 587 
1 191 587 
1 196 587 
1 201 587 
1 206 587 
1 211 587 
1 216 587 
1 221 587 
1 226 587 
1 231 587 
1 236 587 
1 241 587 
1 246 587 
1 251 587 
1 256 587 
1 261 587 
1 266 587 
1 271 587 
1 276 587 
1 281 587 
1 286 587 
1 291 587 
1 296 587 
1 301 25241 
2 3 587 
2 4 587 
2 5 587 
2 7 10 
2 8 2 
2 9 5 
2 10 8 
2 12 3 
2 13 1 
2 14 2 
2 15 2 
2 42 8 
2 43 2 
2 44 4 
2 45 6 
2 47 5 
2 48 1 
2 49 2 
2 50 4 
2 301 1826 
3 4 587 
3 5 587 
3 7 2 
3 8 10 
3 9 2 
3 10 5 
3 12 1 
3 13 3 
3 14 1 
3 15 2 
3 42 2 
3 43 8 
3 44 2 
3 45 4 
3 47 1 
3 48 5 
3 49 1 
3 50 2 
3 301 1813 
4 5 587 
4 7 5 
4 8 2 
4 9 10 
4 10 2 
4 12 2 
4 13 1 
4 14 3 
4 15 1 
4 42 4 
4 43 2 
4 44 8 
4 45 2 
4 47 2 
4 48 1 
4 49 5 
4 50 1 
4 301 1813 
5 7 8 
5 8 5 
5 9 2 
5 10 10 
5 12 2 
5 13 2 
5 14 1 
5 15 3 
5 42 6 
5 43 4 
5 44 2 
5 45 8 
5 47 4 
5 48 2 
5 49 1 
5 50 5 
5 301 1826 
6 7 587 
6 8 587 
6 9 587 
6 10 587 
6 11 587 
6 16 587 
6 21 587 
6 26 587 
6 31 587 
6 36 587 
6 41 587 
6 46 587 
6 51 587 
6 56 587 
6 61 587 
6 66 587 
6 71 587 
6 76 587 
6 81 587 
6 86 587 
6 91 587 
6 96 587 
6 101 587 
6 106 587 
6 111 587 
6 116 587 
6 121 587 
6 126 587 
6 131 587 
6 136 587 
6 141 587 
6 146 587 
6 151 587 
6 156 587 
6 161 587 
6 166 587 
6 171 587 
6 176 587 
6 181 587 
6 186 587 
6 191 587 
6 196 587 
6 201 587 
6 206 587 
6 211 587 
6 216 587 
6 221 587 
6 226 587 
6 231 587 
6 236 587 
6 241 587 
6 246 587 
6 251 587 
6 256 587 
6 261 587 
6 266 587 
6 271 587 
6 276 587 
6 281 587 
6 286 587 
6 291 587 
6 296 587 
6 301 25241 
7 8 587 
7 9 587 
7 10 587 
7 12 10 
7 13 2 
7 14 5 
7 15 8 
7 17 3 
7 18 1 
7 19 2 
7 20 2 
7 42 5 
7 43 1 
7 44 2 
7 45 4 
7 47 8 
7 48 2 
7 49 4 
7 50 6 
7 52 5 
7 53 1 
7 54 2 
7 55 4 
7 301 1864 
8 9 587 
8 10 587 
8 12 2 
8 13 10 
8 14 2 
8 15 5 
8 17 1 
8 18 3 
8 19 1 
8 20 2 
8 42 1 
8 43 5 
8 44 1 
8 45 2 
8 47 2 
8 48 8 
8 49 2 
8 50 4 
8 52 1 
8 53 5 
8 54 1 
8 55 2 
8 301 1843 
9 10 587 
9 12 5 
9 13 2 
9 14 10 
9 15 2 
9 17 2 
9 18 1 
9 19 3 
9 20 1 
9 42 2 
9 43 1 
9 44 5 
9 45 1 
9 47 4 
9 48 2 
9 49 8 
9 50 2 
9 52 2 
9 53 1 
9 54 5 
9 55 1 
9 301 1843 
10 12 8 
10 13 5 
10 14 2 
10 15 10 
10 17 2 
10 18 2 
10 19 1 
10 20 3 
10 42 4 
10 43 2 
10 44 1 
10 45 5 
10 47 6 
10 48 4 
10 49 2 
10 50 8 
10 52 4 
10 53 2 
10 54 1 
10 55 5 
10 301 1864 
11 12 587 
11 13 587 
11 14 587 
11 15 587 
11 16 587 
11 21 587 
11 26 587 
11 31 587 
11 36 587 
11 41 587 
11 46 587 
11 51 587 
11 56 587 
11 61 587 
11 66 587 
11 71 587 
11 76 587 
11 81 587 
11 86 587 
11 91 587 
11 96 587 
11 101 587 
11 106 587 
11 111 587 
11 116 587 
11 121 587 
11 126 587 
11 131 587 
11 136 587 
11 141 587 
11 146 587 
11 151 587 
11 156 587 
11 161 587 
11 166 587 
11 171 587 
11 176 587 
11 181 587 
11 186 587 
11 191 587 
11 196 587 
11 201 587 
11 206 587 
11 211 587 
11 216 587 
11 221 587 
11 226 587 
11 231 587 
11 236 587 
11 241 587 
11 246 587 
11 251 587 
11 256 587 
11 261 587 
11 266 587 
11 271 587 
11 276 587 
11 281 587 
11 286 587 
11 291 587 
11 296 587 
11 301 25241 
12 13 587 
12 14 587 
12 15 587 
12 17 10 
12 18 2 
12 19 5 
12 20 8 
12 22 3 
12 23 1 
12 24 2 
12 25 2 
12 47 5 
12 48 1 
12 49 2 
12 50 4 
12 52 8 
12 53 2 
12 54 4 
12 55 6 
12 57 5 
12 58 1 
12 59 2 
12 60 4 
12 301 1871 
13 14 587 
13 15 587 
13 17 2 
13 18 10 
13 19 2 
13 20 5 
13 22 1 
13 23 3 
13 24 1 
13 25 2 
13 47 1 
13 48 5 
13 49 1 
13 50 2 
13 52 2 
13 53 8 
13 54 2 
13 55 4 
13 57 1 
13 58 5 
13 59 1 
13 60 2 
13 301 1849 
14 15 587 
14 17 5 
14 18 2 
14 19 10 
14 20 2 
14 22 2 
14 23 1 
14 24 3 
14 25 1 
14 47 2 
14 48 1 
14 49 5 
14 50 1 
14 52 4 
14 53 2 
14 54 8 
14 55 2 
14 57 2 
14 58 1 
14 59 5 
14 60 1 
14 301 1849 
15 17 8 
15 18 5 
15 19 2 
15 20 10 
15 22 2 
15 23 2 
15 24 1 
15 25 3 
15 47 4 
15 48 2 
15 49 1 
15 50 5 
15 52 6 
15 53 4 
15 54 2 
15 55 8 
15 57 4 
15 58 2 
15 59 1 
15 60 5 
15 301 1871 
16 17 587 
16 18 587 
16 19 587 
16 20 587 
16 21 587 
16 26 587 
16 31 587 
16 36 587 
16 41 587 
16 46 587 
16 51 587 
16 56 587 
16 61 587 
16 66 587 
16 71 587 
16 76 587 
16 81 587 
16 86 587 
16 91 587 
16 96 587 
16 101 587 
16 106 587 
16 111 587 
16 116 587 
16 121 587 
16 126 587 
16 131 587 
16 136 587 
16 141 587 
16 146 587 
16 151 587 
16 156 587 
16 161 587 
16 166 587 
16 171 587 
16 176 587 
16 181 587 
16 186 587 
16 191 587 
16 196 587 
16 201 587 
16 206 587 
16 211 587 
16 216 587 
16 221 587 
16 226 587 
16 231 587 
16 236 587 
16 241 587 
16 246 587 
16 251 587 
16 256 587 
16 261 587 
16 266 587 
16 271 587 
16 276 587 
16 281 587 
16 286 587 
16 291 587 
16 296 587 
16 301 25241 
17 18 587 
17 19 587 
17 20 587 
17 22 10 
17 23 2 
17 24 5 
17 25 8 
17 27 3 
17 28 1 
17 29 2 
17 30 2 
17 52 5 
17 53 1 
17 54 2 
17 55 4 
17 57 8 
17 58 2 
17 59 4 
17 60 6 
17 62 5 
17 63 1 
17 64 2 
17 65 4 
17 301 1871 
18 19 587 
18 20 587 
18 22 2 
18 23 10 
18 24 2 
18 25 5 
18 27 1 
18 28 3 
18 29 1 
18 30 2 
18 52 1 
18 53 5 
18 54 1 
18 55 2 
18 57 2 
18 58 8 
18 59 2 
18 60 4 
18 62 1 
18 63 5 
18 64 1 
18 65 2 
18 301 1849 
19 20 587 
19 22 5 
19 23 2 
19 24 10 
19 25 2 
19 27 2 
19 28 1 
19 29 3 
19 30 1 
19 52 2 
19 53 1 
19 54 5 
19 55 1 
19 57 4 
19 58 2 
19 59 8 
19 60 2 
19 62 2 
19 63 1 
19 64 5 
19 65 1 
19 301 1849 
20 22 8 
20 23 5 
20 24 2 
20 25 10 
20 27 2 
20 28 2 
20 29 1 
20 30 3 
20 52 4 
20 53 2 
20 54 1 
20 55 5 
20 57 6 
20 58 4 
20 59 2 
20 60 8 
20 62 4 
20 63 2 
20 64 1 
20 65 5 
20 301 1871 
21 22 587 
21 23 587 
21 24 587 
21 25 587 
21 26 587 
21 31 587 
21 36 587 
21 41 587 
21 46 587 
21 51 587 
21 56 587 
21 61 587 
21 66 587 
21 71 587 
21 76 587 
21 81 587 
21 86 587 
21 91 587 
21 96 587 
21 101 587 
21 106 587 
21 111 587 
21 116 587 
21 121 587 
21 126 587 
21 131 587 
21 136 587 
21 141 587 
21 146 587 
21 151 587 
21 156 587 
21 161 587 
21 166 587 
21 171 587 
