301 5662
1 2 594 
1 3 594 
1 4 594 
1 5 594 
1 6 594 
1 11 594 
1 16 594 
1 21 594 
1 26 594 
1 31 594 
1 36 594 
1 41 594 
1 46 594 
1 51 594 
1 56 594 
1 61 594 
1 66 594 
1 71 594 
1 76 594 
1 81 594 
1 86 594 
1 91 594 
1 96 594 
1 101 594 
1 106 594 
1 111 594 
1 116 594 
1 121 594 
1 126 594 
1 131 594 
1 136 594 
1 141 594 
1 146 594 
1 151 594 
1 156 594 
1 161 594 
1 166 594 
1 171 594 
1 176 594 
1 181 594 
1 186 594 
1 191 594 
1 196 594 
1 201 594 
1 206 594 
1 211 594 
1 216 594 
1 221 594 
1 226 594 
1 231 594 
1 236 594 
1 241 594 
1 246 594 
1 251 594 
1 256 594 
1 261 594 
1 266 594 
1 271 594 
1 276 594 
1 281 594 
1 286 594 
1 291 594 
1 296 594 
1 301 25542 
2 3 594 
2 4 594 
2 5 594 
2 7 10 
2 8 2 
2 9 5 
2 10 8 
2 12 3 
2 13 1 
2 14 2 
2 15 2 
2 42 8 
2 43 2 
2 44 4 
2 45 6 
2 47 5 
2 48 1 
2 49 2 
2 50 4 
2 301 1847 
3 4 594 
3 5 594 
3 7 2 
3 8 10 
3 9 2 
3 10 5 
3 12 1 
3 13 3 
3 14 1 
3 15 2 
3 42 2 
3 43 8 
3 44 2 
3 45 4 
3 47 1 
3 48 5 
3 49 1 
3 50 2 
3 301 1834 
4 5 594 
4 7 5 
4 8 2 
4 9 10 
4 10 2 
4 12 2 
4 13 1 
4 14 3 
4 15 1 
4 42 4 
4 43 2 
4 44 8 
4 45 2 
4 47 2 
4 48 1 
4 49 5 
4 50 1 
4 301 1834 
5 7 8 
5 8 5 
5 9 2 
5 10 10 
5 12 2 
5 13 2 
5 14 1 
5 15 3 
5 42 6 
5 43 4 
5 44 2 
5 45 8 
5 47 4 
5 48 2 
5 49 1 
5 50 5 
5 301 1847 
6 7 594 
6 8 594 
6 9 594 
6 10 594 
6 11 594 
6 16 594 
6 21 594 
6 26 594 
6 31 594 
6 36 594 
6 41 594 
6 46 594 
6 51 594 
6 56 594 
6 61 594 
6 66 594 
6 71 594 
6 76 594 
6 81 594 
6 86 594 
6 91 594 
6 96 594 
6 101 594 
6 106 594 
6 111 594 
6 116 594 
6 121 594 
6 126 594 
6 131 594 
6 136 594 
6 141 594 
6 146 594 
6 151 594 
6 156 594 
6 161 594 
6 166 594 
6 171 594 
6 176 594 
6 181 594 
6 186 594 
6 191 594 
6 196 594 
6 201 594 
6 206 594 
6 211 594 
6 216 594 
6 221 594 
6 226 594 
6 231 594 
6 236 594 
6 241 594 
6 246 594 
6 251 594 
6 256 594 
6 261 594 
6 266 594 
6 271 594 
6 276 594 
6 281 594 
6 286 594 
6 291 594 
6 296 594 
6 301 25542 
7 8 594 
7 9 594 
7 10 594 
7 12 10 
7 13 2 
7 14 5 
7 15 8 
7 17 3 
7 18 1 
7 19 2 
7 20 2 
7 42 5 
7 43 1 
7 44 2 
7 45 4 
7 47 8 
7 48 2 
7 49 4 
7 50 6 
7 52 5 
7 53 1 
7 54 2 
7 55 4 
7 301 1884 
8 9 594 
8 10 594 
8 12 2 
8 13 10 
8 14 2 
8 15 5 
8 17 1 
8 18 3 
8 19 1 
8 20 2 
8 42 1 
8 43 5 
8 44 1 
8 45 2 
8 47 2 
8 48 8 
8 49 2 
8 50 4 
8 52 1 
8 53 5 
8 54 1 
8 55 2 
8 301 1864 
9 10 594 
9 12 5 
9 13 2 
9 14 10 
9 15 2 
9 17 2 
9 18 1 
9 19 3 
9 20 1 
9 42 2 
9 43 1 
9 44 5 
9 45 1 
9 47 4 
9 48 2 
9 49 8 
9 50 2 
9 52 2 
9 53 1 
9 54 5 
9 55 1 
9 301 1864 
10 12 8 
10 13 5 
10 14 2 
10 15 10 
10 17 2 
10 18 2 
10 19 1 
10 20 3 
10 42 4 
10 43 2 
10 44 1 
10 45 5 
10 47 6 
10 48 4 
10 49 2 
10 50 8 
10 52 4 
10 53 2 
10 54 1 
10 55 5 
10 301 1884 
11 12 594 
11 13 594 
11 14 594 
11 15 594 
11 16 594 
11 21 594 
11 26 594 
11 31 594 
11 36 594 
11 41 594 
11 46 594 
11 51 594 
11 56 594 
11 61 594 
11 66 594 
11 71 594 
11 76 594 
11 81 594 
11 86 594 
11 91 594 
11 96 594 
11 101 594 
11 106 594 
11 111 594 
11 116 594 
11 121 594 
11 126 594 
11 131 594 
11 136 594 
11 141 594 
11 146 594 
11 151 594 
11 156 594 
11 161 594 
11 166 594 
11 171 594 
11 176 594 
11 181 594 
11 186 594 
11 191 594 
11 196 594 
