155 11935
1 2 401 
1 3 402 
1 4 402 
1 5 402 
1 6 402 
1 7 402 
1 8 402 
1 9 402 
1 10 402 
1 11 402 
1 12 402 
1 13 402 
1 14 402 
1 15 402 
1 16 402 
1 17 402 
1 18 402 
1 19 401 
1 20 401 
1 21 401 
1 22 401 
1 23 401 
1 24 401 
1 25 401 
1 26 401 
1 27 401 
1 28 401 
1 29 401 
1 30 401 
1 31 401 
1 32 401 
1 33 401 
1 34 401 
1 35 402 
1 36 402 
1 37 402 
1 38 402 
1 39 402 
1 40 402 
1 41 402 
1 42 402 
1 43 402 
1 44 402 
1 45 402 
1 46 402 
1 47 402 
1 48 402 
1 49 402 
1 50 402 
1 51 402 
1 52 402 
1 53 402 
1 54 402 
1 55 402 
1 56 402 
1 57 402 
1 58 402 
1 59 402 
1 60 402 
1 61 402 
1 62 402 
1 63 402 
1 64 402 
1 65 402 
1 66 402 
1 67 402 
1 68 402 
1 69 402 
1 70 402 
1 71 402 
1 72 402 
1 73 402 
1 74 402 
1 75 402 
1 76 402 
1 77 402 
1 78 402 
1 79 402 
1 80 402 
1 81 402 
1 82 402 
1 83 402 
1 84 402 
1 85 402 
1 86 402 
1 87 402 
1 88 402 
1 89 402 
1 90 402 
1 91 402 
1 92 402 
1 93 402 
1 94 402 
1 95 402 
1 96 402 
1 97 402 
1 98 402 
1 99 402 
1 100 402 
1 101 402 
1 102 402 
1 103 402 
1 104 402 
1 105 402 
1 106 402 
1 107 402 
1 108 402 
1 109 402 
1 110 402 
1 111 402 
1 112 402 
1 113 402 
1 114 402 
1 115 402 
1 116 402 
1 117 402 
1 118 402 
1 119 402 
1 120 402 
1 121 402 
1 122 402 
1 123 402 
1 124 402 
1 125 402 
1 126 402 
1 127 402 
1 128 402 
1 129 402 
1 130 402 
1 131 402 
1 132 402 
1 133 402 
1 134 402 
1 135 402 
1 136 402 
1 137 402 
1 138 402 
1 139 402 
1 140 402 
1 141 402 
1 142 402 
1 143 402 
1 144 402 
1 145 402 
1 146 402 
1 147 402 
1 148 402 
1 149 402 
1 150 402 
1 151 402 
1 152 402 
1 153 402 
1 154 402 
1 155 804 
2 3 401 
2 4 402 
2 5 402 
2 6 402 
2 7 402 
2 8 402 
2 9 402 
2 10 402 
2 11 402 
2 12 402 
2 13 402 
2 14 402 
2 15 402 
2 16 402 
2 17 402 
2 18 402 
2 19 402 
2 20 402 
2 21 402 
2 22 402 
2 23 402 
2 24 402 
2 25 402 
2 26 402 
2 27 402 
2 28 402 
2 29 402 
2 30 402 
2 31 402 
2 32 402 
2 33 402 
2 34 402 
2 35 401 
2 36 401 
2 37 401 
2 38 401 
2 39 401 
2 40 401 
2 41 401 
2 42 401 
2 43 401 
2 44 401 
2 45 401 
2 46 401 
2 47 401 
2 48 401 
2 49 401 
2 50 402 
2 51 402 
2 52 402 
2 53 402 
2 54 402 
2 55 402 
2 56 402 
2 57 402 
2 58 402 
2 59 402 
2 60 402 
2 61 402 
2 62 402 
2 63 402 
2 64 402 
2 65 402 
2 66 402 
2 67 402 
2 68 402 
2 69 402 
2 70 402 
2 71 402 
2 72 402 
2 73 402 
2 74 402 
2 75 402 
2 76 402 
2 77 402 
2 78 402 
2 79 402 
2 80 402 
2 81 402 
2 82 402 
2 83 402 
2 84 402 
2 85 402 
2 86 402 
2 87 402 
2 88 402 
2 89 402 
2 90 402 
2 91 402 
2 92 402 
2 93 402 
2 94 402 
2 95 402 
2 96 402 
2 97 402 
2 98 402 
2 99 402 
2 100 402 
2 101 402 
2 102 402 
