163 13187
1 2 24361 
1 3 24376 
1 4 24376 
1 5 24376 
1 6 24376 
1 7 24376 
1 8 24376 
1 9 24376 
1 10 24376 
1 11 24376 
1 12 24376 
1 13 24376 
1 14 24376 
1 15 24376 
1 16 24376 
1 17 24376 
1 18 24376 
1 19 24361 
1 20 24361 
1 21 24361 
1 22 24361 
1 23 24361 
1 24 24361 
1 25 24361 
1 26 24361 
1 27 24361 
1 28 24361 
1 29 24361 
1 30 24361 
1 31 24361 
1 32 24361 
1 33 24361 
1 34 24361 
1 35 24376 
1 36 24376 
1 37 24376 
1 38 24376 
1 39 24376 
1 40 24376 
1 41 24376 
1 42 24376 
1 43 24376 
1 44 24376 
1 45 24376 
1 46 24376 
1 47 24376 
1 48 24376 
1 49 24376 
1 50 24376 
1 51 24376 
1 52 24376 
1 53 24376 
1 54 24376 
1 55 24376 
1 56 24376 
1 57 24376 
1 58 24376 
1 59 24376 
1 60 24376 
1 61 24376 
1 62 24376 
1 63 24376 
1 64 24376 
1 65 24376 
1 66 24376 
1 67 24376 
1 68 24376 
1 69 24376 
1 70 24376 
1 71 24376 
1 72 24376 
1 73 24376 
1 74 24376 
1 75 24376 
1 76 24376 
1 77 24376 
1 78 24376 
1 79 24376 
1 80 24376 
1 81 24376 
1 82 24376 
1 83 24376 
1 84 24376 
1 85 24376 
1 86 24376 
1 87 24376 
1 88 24376 
1 89 24376 
1 90 24376 
1 91 24376 
1 92 24376 
1 93 24376 
1 94 24376 
1 95 24376 
1 96 24376 
1 97 24376 
1 98 24376 
1 99 24376 
1 100 24376 
1 101 24376 
1 102 24376 
1 103 24376 
1 104 24376 
1 105 24376 
1 106 24376 
1 107 24376 
1 108 24376 
1 109 24376 
1 110 24376 
1 111 24376 
1 112 24376 
1 113 24376 
1 114 24376 
1 115 24376 
1 116 24376 
1 117 24376 
1 118 24376 
1 119 24376 
1 120 24376 
1 121 24376 
1 122 24376 
1 123 24376 
1 124 24376 
1 125 24376 
1 126 24376 
1 127 24376 
1 128 24376 
1 129 24376 
1 130 24376 
1 131 24376 
1 132 24376 
1 133 24376 
1 134 24376 
1 135 24376 
1 136 24376 
1 137 24376 
1 138 24376 
1 139 24376 
1 140 24376 
1 141 24376 
1 142 24376 
1 143 24376 
1 144 24376 
1 145 24376 
1 146 24376 
1 147 24376 
1 148 24376 
1 149 24376 
1 150 24376 
1 151 24376 
1 152 24376 
1 153 24376 
1 154 24376 
1 155 -12188 
1 156 -24376 
1 157 -48752 
1 158 -97504 
1 159 12188 
1 160 24376 
1 161 48752 
1 162 97504 
1 163 341185 
2 3 24361 
2 4 24376 
2 5 24376 
2 6 24376 
2 7 24376 
2 8 24376 
2 9 24376 
2 10 24376 
2 11 24376 
2 12 24376 
2 13 24376 
2 14 24376 
2 15 24376 
2 16 24376 
2 17 24376 
2 18 24376 
2 19 24376 
2 20 24376 
2 21 24376 
2 22 24376 
2 23 24376 
2 24 24376 
2 25 24376 
2 26 24376 
2 27 24376 
2 28 24376 
2 29 24376 
2 30 24376 
2 31 24376 
2 32 24376 
2 33 24376 
2 34 24376 
2 35 24361 
2 36 24361 
2 37 24361 
2 38 24361 
2 39 24361 
2 40 24361 
2 41 24361 
2 42 24361 
2 43 24361 
2 44 24361 
2 45 24361 
2 46 24361 
2 47 24361 
2 48 24361 
2 49 24361 
2 50 24376 
2 51 24376 
2 52 24376 
2 53 24376 
2 54 24376 
2 55 24376 
2 56 24376 
2 57 24376 
2 58 24376 
2 59 24376 
2 60 24376 
2 61 24376 
2 62 24376 
