380 72010
1 2 26 
1 3 27 
1 4 27 
1 5 27 
1 6 27 
1 7 27 
1 8 27 
1 9 27 
1 10 27 
1 11 27 
1 12 27 
1 13 27 
1 14 27 
1 15 27 
1 16 27 
1 17 27 
1 18 27 
1 19 27 
1 20 27 
1 21 27 
1 22 27 
1 23 27 
1 24 27 
1 25 27 
1 26 27 
1 27 27 
1 28 27 
1 29 26 
1 30 26 
1 31 26 
1 32 26 
1 33 26 
1 34 26 
1 35 26 
1 36 26 
1 37 26 
1 38 26 
1 39 26 
1 40 26 
1 41 26 
1 42 26 
1 43 26 
1 44 26 
1 45 26 
1 46 26 
1 47 26 
1 48 26 
1 49 26 
1 50 26 
1 51 26 
1 52 26 
1 53 26 
1 54 26 
1 55 27 
1 56 27 
1 57 27 
1 58 27 
1 59 27 
1 60 27 
1 61 27 
1 62 27 
1 63 27 
1 64 27 
1 65 27 
1 66 27 
1 67 27 
1 68 27 
1 69 27 
1 70 27 
1 71 27 
1 72 27 
1 73 27 
1 74 27 
1 75 27 
1 76 27 
1 77 27 
1 78 27 
1 79 27 
1 80 27 
1 81 27 
1 82 27 
1 83 27 
1 84 27 
1 85 27 
1 86 27 
1 87 27 
1 88 27 
1 89 27 
1 90 27 
1 91 27 
1 92 27 
1 93 27 
1 94 27 
1 95 27 
1 96 27 
1 97 27 
1 98 27 
1 99 27 
1 100 27 
1 101 27 
1 102 27 
1 103 27 
1 104 27 
1 105 27 
1 106 27 
1 107 27 
1 108 27 
1 109 27 
1 110 27 
1 111 27 
1 112 27 
1 113 27 
1 114 27 
1 115 27 
1 116 27 
1 117 27 
1 118 27 
1 119 27 
1 120 27 
1 121 27 
1 122 27 
1 123 27 
1 124 27 
1 125 27 
1 126 27 
1 127 27 
1 128 27 
1 129 27 
1 130 27 
1 131 27 
1 132 27 
1 133 27 
1 134 27 
1 135 27 
1 136 27 
1 137 27 
1 138 27 
1 139 27 
1 140 27 
1 141 27 
1 142 27 
1 143 27 
1 144 27 
1 145 27 
1 146 27 
1 147 27 
1 148 27 
1 149 27 
1 150 27 
1 151 27 
1 152 27 
1 153 27 
1 154 27 
1 155 27 
1 156 27 
1 157 27 
1 158 27 
1 159 27 
1 160 27 
1 161 27 
1 162 27 
1 163 27 
1 164 27 
1 165 27 
1 166 27 
1 167 27 
1 168 27 
1 169 27 
1 170 27 
1 171 27 
1 172 27 
1 173 27 
1 174 27 
1 175 27 
1 176 27 
1 177 27 
1 178 27 
1 179 27 
1 180 27 
1 181 27 
1 182 27 
1 183 27 
1 184 27 
1 185 27 
1 186 27 
1 187 27 
1 188 27 
1 189 27 
1 190 27 
1 191 27 
1 192 27 
1 193 27 
1 194 27 
1 195 27 
1 196 27 
1 197 27 
1 198 27 
1 199 27 
1 200 27 
1 201 27 
1 202 27 
1 203 27 
1 204 27 
1 205 27 
1 206 27 
1 207 27 
1 208 27 
1 209 27 
1 210 27 
1 211 27 
1 212 27 
1 213 27 
1 214 27 
1 215 27 
1 216 27 
1 217 27 
1 218 27 
1 219 27 
1 220 27 
1 221 27 
1 222 27 
1 223 27 
1 224 27 
1 225 27 
1 226 27 
1 227 27 
1 228 27 
1 229 27 
1 230 27 
1 231 27 
1 232 27 
1 233 27 
1 234 27 
1 235 27 
1 236 27 
1 237 27 
1 238 27 
1 239 27 
1 240 27 
1 241 27 
1 242 27 
1 243 27 
1 244 27 
1 245 27 
1 246 27 
1 247 27 
1 248 27 
1 249 27 
1 250 27 
1 251 27 
1 252 27 
1 253 27 
1 254 27 
1 255 27 
1 256 27 
1 257 27 
1 258 27 
1 259 27 
1 260 27 
1 261 27 
1 262 27 
1 263 27 
1 264 27 
1 265 27 
1 266 27 
1 267 27 
1 268 27 
1 269 27 
1 270 27 
1 271 27 
1 272 27 
1 273 27 
1 274 27 
1 275 27 
1 276 27 
1 277 27 
1 278 27 
1 279 27 
1 280 27 
1 281 27 
1 282 27 
1 283 27 
1 284 27 
1 285 27 
1 286 27 
1 287 27 
1 288 27 
1 289 27 
1 290 27 
1 291 27 
1 292 27 
1 293 27 
1 294 27 
1 295 27 
1 296 27 
1 297 27 
1 298 27 
1 299 27 
1 300 27 
1 301 27 
1 302 27 
1 303 27 
1 304 27 
1 305 27 
1 306 27 
1 307 27 
1 308 27 
1 309 27 
1 310 27 
1 311 27 
1 312 27 
1 313 27 
1 314 27 
1 315 27 
1 316 27 
1 317 27 
1 318 27 
1 319 27 
1 320 27 
1 321 27 
1 322 27 
1 323 27 
1 324 27 
1 325 27 
1 326 27 
1 327 27 
1 328 27 
1 329 27 
1 330 27 
1 331 27 
1 332 27 
1 333 27 
1 334 27 
1 335 27 
1 336 27 
1 337 27 
1 338 27 
1 339 27 
1 340 27 
1 341 27 
1 342 27 
1 343 27 
1 344 27 
1 345 27 
1 346 27 
1 347 27 
1 348 27 
1 349 27 
1 350 27 
1 351 27 
1 352 27 
1 353 27 
1 354 27 
1 355 27 
1 356 27 
1 357 27 
1 358 27 
1 359 27 
1 360 27 
1 361 27 
1 362 27 
1 363 27 
1 364 27 
1 365 27 
1 366 27 
1 367 27 
1 368 27 
1 369 27 
1 370 27 
1 371 27 
1 372 27 
1 373 27 
1 374 27 
1 375 27 
1 376 27 
1 377 27 
1 378 27 
1 379 27 
1 380 -10179 
2 3 26 
2 4 27 
2 5 27 
2 6 27 
2 7 27 
2 8 27 
2 9 27 
2 10 27 
2 11 27 
2 12 27 
2 13 27 
2 14 27 
2 15 27 
2 16 27 
2 17 27 
2 18 27 
2 19 27 
2 20 27 
2 21 27 
2 22 27 
2 23 27 
2 24 27 
2 25 27 
2 26 27 
2 27 27 
2 28 27 
2 29 27 
2 30 27 
2 31 27 
2 32 27 
2 33 27 
2 34 27 
2 35 27 
2 36 27 
2 37 27 
2 38 27 
2 39 27 
2 40 27 
2 41 27 
2 42 27 
2 43 27 
2 44 27 
2 45 27 
2 46 27 
2 47 27 
2 48 27 
2 49 27 
2 50 27 
2 51 27 
2 52 27 
2 53 27 
2 54 27 
2 55 26 
2 56 26 
2 57 26 
2 58 26 
2 59 26 
2 60 26 
2 61 26 
2 62 26 
2 63 26 
2 64 26 
2 65 26 
2 66 26 
2 67 26 
2 68 26 
2 69 26 
2 70 26 
2 71 26 
2 72 26 
2 73 26 
2 74 26 
2 75 26 
2 76 26 
2 77 26 
2 78 26 
2 79 26 
2 80 27 
2 81 27 
2 82 27 
2 83 27 
2 84 27 
2 85 27 
2 86 27 
2 87 27 
2 88 27 
2 89 27 
2 90 27 
2 91 27 
2 92 27 
2 93 27 
2 94 27 
2 95 27 
2 96 27 
2 97 27 
2 98 27 
2 99 27 
2 100 27 
2 101 27 
2 102 27 
2 103 27 
2 104 27 
2 105 27 
2 106 27 
2 107 27 
2 108 27 
