212 22366
1 2 647 
1 3 648 
1 4 648 
1 5 648 
1 6 648 
1 7 648 
1 8 648 
1 9 648 
1 10 648 
1 11 648 
1 12 648 
1 13 648 
1 14 648 
1 15 648 
1 16 648 
1 17 648 
1 18 648 
1 19 648 
1 20 648 
1 21 648 
1 22 647 
1 23 647 
1 24 647 
1 25 647 
1 26 647 
1 27 647 
1 28 647 
1 29 647 
1 30 647 
1 31 647 
1 32 647 
1 33 647 
1 34 647 
1 35 647 
1 36 647 
1 37 647 
1 38 647 
1 39 647 
1 40 647 
1 41 648 
1 42 648 
1 43 648 
1 44 648 
1 45 648 
1 46 648 
1 47 648 
1 48 648 
1 49 648 
1 50 648 
1 51 648 
1 52 648 
1 53 648 
1 54 648 
1 55 648 
1 56 648 
1 57 648 
1 58 648 
1 59 648 
1 60 648 
1 61 648 
1 62 648 
1 63 648 
1 64 648 
1 65 648 
1 66 648 
1 67 648 
1 68 648 
1 69 648 
1 70 648 
1 71 648 
1 72 648 
1 73 648 
1 74 648 
1 75 648 
1 76 648 
1 77 648 
1 78 648 
1 79 648 
1 80 648 
1 81 648 
1 82 648 
1 83 648 
1 84 648 
1 85 648 
1 86 648 
1 87 648 
1 88 648 
1 89 648 
1 90 648 
1 91 648 
1 92 648 
1 93 648 
1 94 648 
1 95 648 
1 96 648 
1 97 648 
1 98 648 
1 99 648 
1 100 648 
1 101 648 
1 102 648 
1 103 648 
1 104 648 
1 105 648 
1 106 648 
1 107 648 
1 108 648 
1 109 648 
1 110 648 
1 111 648 
1 112 648 
1 113 648 
1 114 648 
1 115 648 
1 116 648 
1 117 648 
1 118 648 
1 119 648 
1 120 648 
1 121 648 
1 122 648 
1 123 648 
1 124 648 
1 125 648 
1 126 648 
1 127 648 
1 128 648 
1 129 648 
1 130 648 
1 131 648 
1 132 648 
1 133 648 
1 134 648 
1 135 648 
1 136 648 
1 137 648 
1 138 648 
1 139 648 
1 140 648 
1 141 648 
1 142 648 
1 143 648 
1 144 648 
1 145 648 
1 146 648 
1 147 648 
1 148 648 
1 149 648 
1 150 648 
1 151 648 
1 152 648 
1 153 648 
1 154 648 
1 155 648 
1 156 648 
1 157 648 
1 158 648 
1 159 648 
1 160 648 
1 161 648 
1 162 648 
1 163 648 
1 164 648 
1 165 648 
1 166 648 
1 167 648 
1 168 648 
1 169 648 
1 170 648 
1 171 648 
1 172 648 
1 173 648 
1 174 648 
1 175 648 
1 176 648 
1 177 648 
1 178 648 
1 179 648 
1 180 648 
1 181 648 
1 182 648 
1 183 648 
1 184 648 
1 185 648 
1 186 648 
1 187 648 
1 188 648 
1 189 648 
1 190 648 
1 191 648 
1 192 648 
1 193 648 
1 194 648 
1 195 648 
1 196 648 
1 197 648 
1 198 648 
1 199 648 
1 200 648 
1 201 648 
1 202 648 
1 203 648 
1 204 648 
1 205 648 
1 206 648 
1 207 648 
1 208 648 
1 209 648 
1 210 648 
1 211 648 
1 212 4536 
2 3 647 
2 4 648 
2 5 648 
2 6 648 
2 7 648 
2 8 648 
2 9 648 
2 10 648 
2 11 648 
2 12 648 
2 13 648 
2 14 648 
2 15 648 
2 16 648 
2 17 648 
2 18 648 
2 19 648 
2 20 648 
2 21 648 
2 22 648 
2 23 648 
2 24 648 
2 25 648 
2 26 648 
2 27 648 
2 28 648 
2 29 648 
2 30 648 
2 31 648 
2 32 648 
2 33 648 
2 34 648 
2 35 648 
2 36 648 
2 37 648 
2 38 648 
2 39 648 
2 40 648 
2 41 647 
2 42 647 
2 43 647 
2 44 647 
2 45 647 
2 46 647 
2 47 647 
2 48 647 
2 49 647 
2 50 647 
2 51 647 
2 52 647 
2 53 647 
2 54 647 
2 55 647 
2 56 647 
2 57 647 
2 58 647 
2 59 648 
2 60 648 
2 61 648 
2 62 648 
2 63 648 
2 64 648 
2 65 648 
2 66 648 
2 67 648 
2 68 648 
2 69 648 
2 70 648 
2 71 648 
2 72 648 
2 73 648 
2 74 648 
2 75 648 
2 76 648 
2 77 648 
2 78 648 
2 79 648 
2 80 648 
2 81 648 
2 82 648 
2 83 648 
2 84 648 
2 85 648 
2 86 648 
2 87 648 
2 88 648 
2 89 648 
2 90 648 
2 91 648 
2 92 648 
2 93 648 
2 94 648 
2 95 648 
2 96 648 
2 97 648 
2 98 648 
2 99 648 
2 100 648 
2 101 648 
2 102 648 
2 103 648 
2 104 648 
2 105 648 
2 106 648 
2 107 648 
2 108 648 
2 109 648 
2 110 648 
2 111 648 
2 112 648 
2 113 648 
2 114 648 
2 115 648 
2 116 648 
2 117 648 
2 118 648 
2 119 648 
2 120 648 
2 121 648 
2 122 648 
2 123 648 
2 124 648 
2 125 648 
2 126 648 
2 127 648 
2 128 648 
2 129 648 
2 130 648 
2 131 648 
2 132 648 
2 133 648 
2 134 648 
2 135 648 
2 136 648 
2 137 648 
2 138 648 
2 139 648 
2 140 648 
2 141 648 
2 142 648 
2 143 648 
2 144 648 
2 145 648 
2 146 648 
2 147 648 
2 148 648 
2 149 648 
2 150 648 
2 151 648 
2 152 648 
2 153 648 
2 154 648 
2 155 648 
2 156 648 
2 157 648 
2 158 648 
2 159 648 
2 160 648 
2 161 648 
2 162 648 
2 163 648 
2 164 648 
2 165 648 
2 166 648 
2 167 648 
2 168 648 
2 169 648 
2 170 648 
2 171 648 
2 172 648 
2 173 648 
2 174 648 
2 175 648 
2 176 648 
2 177 648 
2 178 648 
2 179 648 
2 180 648 
2 181 648 
2 182 648 
2 183 648 
2 184 648 
2 185 648 
2 186 648 
2 187 648 
2 188 648 
2 189 648 
2 190 648 
2 191 648 
2 192 648 
2 193 648 
2 194 648 
2 195 648 
2 196 648 
2 197 648 
2 198 648 
2 199 648 
2 200 648 
2 201 648 
2 202 648 
2 203 648 
2 204 648 
2 205 648 
2 206 648 
2 207 648 
2 208 648 
2 209 648 
2 210 648 
2 211 648 
2 212 4536 
3 4 647 
3 5 648 
3 6 648 
3 7 648 
3 8 648 
3 9 648 
3 10 648 
3 11 648 
3 12 648 
3 13 648 
3 14 648 
3 15 648 
3 16 648 
3 17 648 
3 18 648 
3 19 648 
3 20 648 
3 21 648 
3 22 647 
3 23 648 
3 24 648 
3 25 648 
3 26 648 
3 27 648 
3 28 648 
3 29 648 
3 30 648 
3 31 648 
3 32 648 
3 33 648 
3 34 648 
3 35 648 
3 36 648 
3 37 648 
3 38 648 
3 39 648 
3 40 648 
3 41 648 
3 42 648 
3 43 648 
3 44 648 
3 45 648 
3 46 648 
3 47 648 
3 48 648 
3 49 648 
3 50 648 
3 51 648 
3 52 648 
3 53 648 
3 54 648 
3 55 648 
3 56 648 
3 57 648 
3 58 648 
3 59 647 
3 60 647 
3 61 647 
3 62 647 
3 63 647 
3 64 647 
3 65 647 
3 66 647 
3 67 647 
3 68 647 
3 69 647 
3 70 647 
3 71 647 
3 72 647 
3 73 647 
3 74 647 
3 75 647 
3 76 648 
3 77 648 
3 78 648 
3 79 648 
3 80 648 
3 81 648 
3 82 648 
3 83 648 
3 84 648 
3 85 648 
3 86 648 
3 87 648 
3 88 648 
3 89 648 
3 90 648 
3 91 648 
3 92 648 
3 93 648 
3 94 648 
3 95 648 
3 96 648 
3 97 648 
3 98 648 
3 99 648 
3 100 648 
3 101 648 
3 102 648 
3 103 648 
3 104 648 
3 105 648 
3 106 648 
3 107 648 
3 108 648 
3 109 648 
3 110 648 
3 111 648 
3 112 648 
3 113 648 
3 114 648 
3 115 648 
3 116 648 
3 117 648 
3 118 648 
3 119 648 
3 120 648 
3 121 648 
3 122 648 
3 123 648 
3 124 648 
3 125 648 
3 126 648 
3 127 648 
3 128 648 
3 129 648 
3 130 648 
3 131 648 
3 132 648 
3 133 648 
3 134 648 
3 135 648 
3 136 648 
3 137 648 
3 138 648 
3 139 648 
3 140 648 
3 141 648 
3 142 648 
3 143 648 
3 144 648 
3 145 648 
3 146 648 
3 147 648 
3 148 648 
3 149 648 
3 150 648 
3 151 648 
3 152 648 
3 153 648 
3 154 648 
3 155 648 
3 156 648 
3 157 648 
3 158 648 
3 159 648 
3 160 648 
3 161 648 
3 162 648 
3 163 648 
3 164 648 
3 165 648 
3 166 648 
3 167 648 
3 168 648 
3 169 648 
3 170 648 
3 171 648 
3 172 648 
3 173 648 
3 174 648 
3 175 648 
3 176 648 
3 177 648 
3 178 648 
3 179 648 
3 180 648 
3 181 648 
3 182 648 
3 183 648 
3 184 648 
3 185 648 
3 186 648 
3 187 648 
3 188 648 
3 189 648 
3 190 648 
3 191 648 
3 192 648 
3 193 648 
3 194 648 
3 195 648 
3 196 648 
3 197 648 
3 198 648 
3 199 648 
3 200 648 
3 201 648 
3 202 648 
3 203 648 
3 204 648 
3 205 648 
3 206 648 
3 207 648 
3 208 648 
3 209 648 
3 210 648 
3 211 648 
3 212 4536 
4 5 647 
4 6 648 
4 7 648 
4 8 648 
4 9 648 
4 10 648 
4 11 648 
4 12 648 
4 13 648 
4 14 648 
4 15 648 
4 16 648 
4 17 648 
4 18 648 
4 19 648 
4 20 648 
4 21 648 
4 22 648 
4 23 647 
4 24 648 
4 25 648 
4 26 648 
4 27 648 
4 28 648 
4 29 648 
4 30 648 
4 31 648 
4 32 648 
4 33 648 
4 34 648 
4 35 648 
4 36 648 
4 37 648 
4 38 648 
4 39 648 
4 40 648 
4 41 647 
4 42 648 
4 43 648 
4 44 648 
4 45 648 
4 46 648 
4 47 648 
4 48 648 
4 49 648 
4 50 648 
4 51 648 
4 52 648 
4 53 648 
4 54 648 
4 55 648 
4 56 648 
4 57 648 
4 58 648 
4 59 648 
4 60 648 
4 61 648 
4 62 648 
4 63 648 
4 64 648 
4 65 648 
4 66 648 
4 67 648 
4 68 648 
4 69 648 
4 70 648 
4 71 648 
4 72 648 
4 73 648 
4 74 648 
4 75 648 
4 76 647 
4 77 647 
4 78 647 
4 79 647 
4 80 647 
4 81 647 
4 82 647 
4 83 647 
4 84 647 
4 85 647 
4 86 647 
4 87 647 
4 88 647 
4 89 647 
4 90 647 
4 91 647 
4 92 648 
4 93 648 
4 94 648 
4 95 648 
4 96 648 
4 97 648 
4 98 648 
4 99 648 
4 100 648 
4 101 648 
4 102 648 
4 103 648 
4 104 648 
4 105 648 
4 106 648 
4 107 648 
4 108 648 
4 109 648 
4 110 648 
4 111 648 
4 112 648 
4 113 648 
4 114 648 
4 115 648 
4 116 648 
4 117 648 
4 118 648 
4 119 648 
4 120 648 
4 121 648 
4 122 648 
4 123 648 
4 124 648 
4 125 648 
4 126 648 
4 127 648 
4 128 648 
4 129 648 
4 130 648 
4 131 648 
4 132 648 
4 133 648 
4 134 648 
4 135 648 
4 136 648 
4 137 648 
4 138 648 
4 139 648 
4 140 648 
4 141 648 
4 142 648 
4 143 648 
4 144 648 
4 145 648 
4 146 648 
4 147 648 
4 148 648 
4 149 648 
4 150 648 
4 151 648 
4 152 648 
4 153 648 
4 154 648 
4 155 648 
4 156 648 
4 157 648 
4 158 648 
4 159 648 
4 160 648 
4 161 648 
4 162 648 
4 163 648 
4 164 648 
4 165 648 
4 166 648 
4 167 648 
4 168 648 
4 169 648 
4 170 648 
4 171 648 
4 172 648 
4 173 648 
4 174 648 
4 175 648 
4 176 648 
4 177 648 
4 178 648 
4 179 648 
4 180 648 
4 181 648 
4 182 648 
4 183 648 
4 184 648 
4 185 648 
4 186 648 
4 187 648 
4 188 648 
4 189 648 
4 190 648 
4 191 648 
4 192 648 
4 193 648 
4 194 648 
4 195 648 
4 196 648 
4 197 648 
4 198 648 
4 199 648 
4 200 648 
4 201 648 
4 202 648 
4 203 648 
4 204 648 
4 205 648 
4 206 648 
4 207 648 
4 208 648 
4 209 648 
4 210 648 
4 211 648 
4 212 4536 
5 6 647 
5 7 648 
5 8 648 
5 9 648 
5 10 648 
5 11 648 
5 12 648 
5 13 648 
5 14 648 
5 15 648 
5 16 648 
5 17 648 
5 18 648 
5 19 648 
5 20 648 
5 21 648 
5 22 648 
5 23 648 
5 24 647 
5 25 648 
5 26 648 
5 27 648 
5 28 648 
5 29 648 
5 30 648 
5 31 648 
5 32 648 
5 33 648 
5 34 648 
5 35 648 
5 36 648 
5 37 648 
5 38 648 
5 39 648 
5 40 648 
5 41 648 
5 42 647 
5 43 648 
5 44 648 
5 45 648 
5 46 648 
5 47 648 
5 48 648 
5 49 648 
5 50 648 
5 51 648 
5 52 648 
5 53 648 
5 54 648 
5 55 648 
5 56 648 
5 57 648 
5 58 648 
5 59 647 
5 60 648 
5 61 648 
5 62 648 
5 63 648 
5 64 648 
5 65 648 
5 66 648 
5 67 648 
5 68 648 
5 69 648 
5 70 648 
5 71 648 
5 72 648 
5 73 648 
5 74 648 
5 75 648 
5 76 648 
5 77 648 
5 78 648 
5 79 648 
5 80 648 
5 81 648 
5 82 648 
5 83 648 
5 84 648 
5 85 648 
5 86 648 
5 87 648 
5 88 648 
5 89 648 
5 90 648 
5 91 648 
5 92 647 
5 93 647 
5 94 647 
5 95 647 
5 96 647 
5 97 647 
5 98 647 
5 99 647 
5 100 647 
5 101 647 
5 102 647 
5 103 647 
5 104 647 
5 105 647 
5 106 647 
5 107 648 
5 108 648 
5 109 648 
5 110 648 
5 111 648 
5 112 648 
5 113 648 
5 114 648 
5 115 648 
5 116 648 
5 117 648 
5 118 648 
5 119 648 
5 120 648 
5 121 648 
5 122 648 
5 123 648 
5 124 648 
5 125 648 
5 126 648 
5 127 648 
5 128 648 
5 129 648 
5 130 648 
5 131 648 
5 132 648 
5 133 648 
5 134 648 
5 135 648 
5 136 648 
5 137 648 
5 138 648 
5 139 648 
5 140 648 
5 141 648 
5 142 648 
5 143 648 
5 144 648 
5 145 648 
5 146 648 
5 147 648 
