380 72010
1 2 51 
1 3 52 
1 4 52 
1 5 52 
1 6 52 
1 7 52 
1 8 52 
1 9 52 
1 10 52 
1 11 52 
1 12 52 
1 13 52 
1 14 52 
1 15 52 
1 16 52 
1 17 52 
1 18 52 
1 19 52 
1 20 52 
1 21 52 
1 22 52 
1 23 52 
1 24 52 
1 25 52 
1 26 52 
1 27 52 
1 28 52 
1 29 51 
1 30 51 
1 31 51 
1 32 51 
1 33 51 
1 34 51 
1 35 51 
1 36 51 
1 37 51 
1 38 51 
1 39 51 
1 40 51 
1 41 51 
1 42 51 
1 43 51 
1 44 51 
1 45 51 
1 46 51 
1 47 51 
1 48 51 
1 49 51 
1 50 51 
1 51 51 
1 52 51 
1 53 51 
1 54 51 
1 55 52 
1 56 52 
1 57 52 
1 58 52 
1 59 52 
1 60 52 
1 61 52 
1 62 52 
1 63 52 
1 64 52 
1 65 52 
1 66 52 
1 67 52 
1 68 52 
1 69 52 
1 70 52 
1 71 52 
1 72 52 
1 73 52 
1 74 52 
1 75 52 
1 76 52 
1 77 52 
1 78 52 
1 79 52 
1 80 52 
1 81 52 
1 82 52 
1 83 52 
1 84 52 
1 85 52 
1 86 52 
1 87 52 
1 88 52 
1 89 52 
1 90 52 
1 91 52 
1 92 52 
1 93 52 
1 94 52 
1 95 52 
1 96 52 
1 97 52 
1 98 52 
1 99 52 
1 100 52 
1 101 52 
1 102 52 
1 103 52 
1 104 52 
1 105 52 
1 106 52 
1 107 52 
1 108 52 
1 109 52 
1 110 52 
1 111 52 
1 112 52 
1 113 52 
1 114 52 
1 115 52 
1 116 52 
1 117 52 
1 118 52 
1 119 52 
1 120 52 
1 121 52 
1 122 52 
1 123 52 
1 124 52 
1 125 52 
1 126 52 
1 127 52 
1 128 52 
1 129 52 
1 130 52 
1 131 52 
1 132 52 
1 133 52 
1 134 52 
1 135 52 
1 136 52 
1 137 52 
1 138 52 
1 139 52 
1 140 52 
1 141 52 
1 142 52 
1 143 52 
1 144 52 
1 145 52 
1 146 52 
1 147 52 
1 148 52 
1 149 52 
1 150 52 
1 151 52 
1 152 52 
1 153 52 
1 154 52 
1 155 52 
1 156 52 
1 157 52 
1 158 52 
1 159 52 
1 160 52 
1 161 52 
1 162 52 
1 163 52 
1 164 52 
1 165 52 
1 166 52 
1 167 52 
1 168 52 
1 169 52 
1 170 52 
1 171 52 
1 172 52 
1 173 52 
1 174 52 
1 175 52 
1 176 52 
1 177 52 
1 178 52 
1 179 52 
1 180 52 
1 181 52 
1 182 52 
1 183 52 
1 184 52 
1 185 52 
1 186 52 
1 187 52 
1 188 52 
1 189 52 
1 190 52 
1 191 52 
1 192 52 
1 193 52 
1 194 52 
1 195 52 
1 196 52 
1 197 52 
1 198 52 
1 199 52 
1 200 52 
1 201 52 
1 202 52 
1 203 52 
1 204 52 
1 205 52 
1 206 52 
1 207 52 
1 208 52 
1 209 52 
1 210 52 
1 211 52 
1 212 52 
1 213 52 
1 214 52 
1 215 52 
1 216 52 
1 217 52 
1 218 52 
1 219 52 
1 220 52 
1 221 52 
1 222 52 
1 223 52 
1 224 52 
1 225 52 
1 226 52 
1 227 52 
1 228 52 
1 229 52 
1 230 52 
1 231 52 
1 232 52 
1 233 52 
1 234 52 
1 235 52 
1 236 52 
1 237 52 
1 238 52 
1 239 52 
1 240 52 
1 241 52 
1 242 52 
1 243 52 
1 244 52 
1 245 52 
1 246 52 
1 247 52 
1 248 52 
1 249 52 
1 250 52 
1 251 52 
1 252 52 
1 253 52 
1 254 52 
1 255 52 
1 256 52 
1 257 52 
1 258 52 
1 259 52 
1 260 52 
1 261 52 
1 262 52 
1 263 52 
1 264 52 
1 265 52 
1 266 52 
1 267 52 
1 268 52 
1 269 52 
1 270 52 
1 271 52 
1 272 52 
1 273 52 
1 274 52 
1 275 52 
1 276 52 
1 277 52 
1 278 52 
1 279 52 
1 280 52 
1 281 52 
1 282 52 
1 283 52 
1 284 52 
1 285 52 
1 286 52 
1 287 52 
1 288 52 
1 289 52 
1 290 52 
1 291 52 
1 292 52 
1 293 52 
1 294 52 
1 295 52 
1 296 52 
1 297 52 
1 298 52 
1 299 52 
1 300 52 
1 301 52 
1 302 52 
1 303 52 
1 304 52 
1 305 52 
1 306 52 
1 307 52 
1 308 52 
1 309 52 
1 310 52 
1 311 52 
1 312 52 
1 313 52 
1 314 52 
1 315 52 
1 316 52 
1 317 52 
1 318 52 
1 319 52 
1 320 52 
1 321 52 
1 322 52 
1 323 52 
1 324 52 
1 325 52 
1 326 52 
1 327 52 
1 328 52 
1 329 52 
1 330 52 
1 331 52 
1 332 52 
1 333 52 
1 334 52 
1 335 52 
1 336 52 
1 337 52 
1 338 52 
1 339 52 
1 340 52 
1 341 52 
1 342 52 
1 343 52 
1 344 52 
1 345 52 
1 346 52 
1 347 52 
1 348 52 
1 349 52 
1 350 52 
1 351 52 
1 352 52 
1 353 52 
1 354 52 
1 355 52 
1 356 52 
1 357 52 
1 358 52 
1 359 52 
1 360 52 
1 361 52 
1 362 52 
1 363 52 
1 364 52 
1 365 52 
1 366 52 
1 367 52 
1 368 52 
1 369 52 
1 370 52 
1 371 52 
1 372 52 
1 373 52 
1 374 52 
1 375 52 
1 376 52 
1 377 52 
1 378 52 
1 379 52 
1 380 -19500 
2 3 51 
2 4 52 
2 5 52 
2 6 52 
2 7 52 
2 8 52 
2 9 52 
2 10 52 
2 11 52 
2 12 52 
2 13 52 
2 14 52 
2 15 52 
2 16 52 
2 17 52 
2 18 52 
2 19 52 
2 20 52 
2 21 52 
2 22 52 
2 23 52 
2 24 52 
2 25 52 
2 26 52 
2 27 52 
2 28 52 
2 29 52 
2 30 52 
2 31 52 
2 32 52 
2 33 52 
2 34 52 
2 35 52 
2 36 52 
2 37 52 
2 38 52 
2 39 52 
2 40 52 
2 41 52 
2 42 52 
2 43 52 
2 44 52 
2 45 52 
2 46 52 
2 47 52 
2 48 52 
2 49 52 
2 50 52 
2 51 52 
2 52 52 
2 53 52 
2 54 52 
2 55 51 
2 56 51 
2 57 51 
2 58 51 
2 59 51 
2 60 51 
2 61 51 
2 62 51 
2 63 51 
2 64 51 
2 65 51 
2 66 51 
2 67 51 
2 68 51 
2 69 51 
2 70 51 
2 71 51 
2 72 51 
2 73 51 
2 74 51 
2 75 51 
2 76 51 
2 77 51 
2 78 51 
2 79 51 
2 80 52 
2 81 52 
2 82 52 
2 83 52 
2 84 52 
2 85 52 
2 86 52 
2 87 52 
2 88 52 
2 89 52 
2 90 52 
2 91 52 
2 92 52 
2 93 52 
2 94 52 
2 95 52 
2 96 52 
2 97 52 
2 98 52 
2 99 52 
2 100 52 
2 101 52 
2 102 52 
2 103 52 
2 104 52 
2 105 52 
2 106 52 
2 107 52 
2 108 52 
2 109 52 
2 110 52 
2 111 52 
2 112 52 
2 113 52 
2 114 52 
2 115 52 
2 116 52 
2 117 52 
2 118 52 
2 119 52 
2 120 52 
2 121 52 
2 122 52 
2 123 52 
2 124 52 
2 125 52 
2 126 52 
2 127 52 
2 128 52 
2 129 52 
2 130 52 
2 131 52 
2 132 52 
2 133 52 
2 134 52 
2 135 52 
2 136 52 
2 137 52 
2 138 52 
2 139 52 
2 140 52 
2 141 52 
2 142 52 
2 143 52 
2 144 52 
2 145 52 
2 146 52 
2 147 52 
2 148 52 
2 149 52 
2 150 52 
2 151 52 
2 152 52 
2 153 52 
2 154 52 
2 155 52 
2 156 52 
2 157 52 
2 158 52 
2 159 52 
2 160 52 
2 161 52 
2 162 52 
2 163 52 
2 164 52 
2 165 52 
2 166 52 
2 167 52 
2 168 52 
2 169 52 
2 170 52 
2 171 52 
2 172 52 
2 173 52 
2 174 52 
2 175 52 
2 176 52 
2 177 52 
2 178 52 
2 179 52 
