155 11935
1 2 398 
1 3 399 
1 4 399 
1 5 399 
1 6 399 
1 7 399 
1 8 399 
1 9 399 
1 10 399 
1 11 399 
1 12 399 
1 13 399 
1 14 399 
1 15 399 
1 16 399 
1 17 399 
1 18 399 
1 19 398 
1 20 398 
1 21 398 
1 22 398 
1 23 398 
1 24 398 
1 25 398 
1 26 398 
1 27 398 
1 28 398 
1 29 398 
1 30 398 
1 31 398 
1 32 398 
1 33 398 
1 34 398 
1 35 399 
1 36 399 
1 37 399 
1 38 399 
1 39 399 
1 40 399 
1 41 399 
1 42 399 
1 43 399 
1 44 399 
1 45 399 
1 46 399 
1 47 399 
1 48 399 
1 49 399 
1 50 399 
1 51 399 
1 52 399 
1 53 399 
1 54 399 
1 55 399 
1 56 399 
1 57 399 
1 58 399 
1 59 399 
1 60 399 
1 61 399 
1 62 399 
1 63 399 
1 64 399 
1 65 399 
1 66 399 
1 67 399 
1 68 399 
1 69 399 
1 70 399 
1 71 399 
1 72 399 
1 73 399 
1 74 399 
1 75 399 
1 76 399 
1 77 399 
1 78 399 
1 79 399 
1 80 399 
1 81 399 
1 82 399 
1 83 399 
1 84 399 
1 85 399 
1 86 399 
1 87 399 
1 88 399 
1 89 399 
1 90 399 
1 91 399 
1 92 399 
1 93 399 
1 94 399 
1 95 399 
1 96 399 
1 97 399 
1 98 399 
1 99 399 
1 100 399 
1 101 399 
1 102 399 
1 103 399 
1 104 399 
1 105 399 
1 106 399 
1 107 399 
1 108 399 
1 109 399 
1 110 399 
1 111 399 
1 112 399 
1 113 399 
1 114 399 
1 115 399 
1 116 399 
1 117 399 
1 118 399 
1 119 399 
1 120 399 
1 121 399 
1 122 399 
1 123 399 
1 124 399 
1 125 399 
1 126 399 
1 127 399 
1 128 399 
1 129 399 
1 130 399 
1 131 399 
1 132 399 
1 133 399 
1 134 399 
1 135 399 
1 136 399 
1 137 399 
1 138 399 
1 139 399 
1 140 399 
1 141 399 
1 142 399 
1 143 399 
1 144 399 
1 145 399 
1 146 399 
1 147 399 
1 148 399 
1 149 399 
1 150 399 
1 151 399 
1 152 399 
1 153 399 
1 154 399 
1 155 2394 
2 3 398 
2 4 399 
2 5 399 
2 6 399 
2 7 399 
2 8 399 
2 9 399 
2 10 399 
2 11 399 
2 12 399 
2 13 399 
2 14 399 
2 15 399 
2 16 399 
2 17 399 
2 18 399 
2 19 399 
2 20 399 
2 21 399 
2 22 399 
2 23 399 
2 24 399 
2 25 399 
2 26 399 
2 27 399 
2 28 399 
2 29 399 
2 30 399 
2 31 399 
2 32 399 
2 33 399 
2 34 399 
2 35 398 
2 36 398 
2 37 398 
2 38 398 
2 39 398 
2 40 398 
2 41 398 
2 42 398 
2 43 398 
2 44 398 
2 45 398 
2 46 398 
2 47 398 
